,what,commission,was,censured,in,1999,",",and,paved,the,way,for,commissioners,to,abuse,their,power,?
commissioners,0.2072983682155609,0.8064931035041809,0.3281562924385071,0.35904717445373535,0.2803903818130493,0.09058079868555069,0.24960196018218994,0.29613837599754333,0.2470843344926834,0.30569928884506226,0.18018335103988647,0.2634572386741638,1.0,0.27257397770881653,0.21695993840694427,0.2598041892051697,0.21269363164901733,0.12729458510875702
have,0.39808809757232666,0.1714901328086853,0.2863433063030243,0.2944818139076233,0.36843645572662354,-0.04911213740706444,0.3541618287563324,0.4711785912513733,0.24251757562160492,0.40389683842658997,0.4185628294944763,0.41175219416618347,0.22658610343933105,0.4544740617275238,0.3501974940299988,0.523270845413208,0.20906804502010345,0.32991164922714233
sometimes,0.34229418635368347,0.11709266901016235,0.20651423931121826,0.22513334453105927,0.31462913751602173,-0.07878798991441727,0.26600122451782227,0.35151126980781555,0.2035905420780182,0.35816407203674316,0.3898511528968811,0.28293126821517944,0.18709217011928558,0.4055429697036743,0.17224280536174774,0.37100598216056824,0.21766877174377441,0.1751544177532196
been,0.2567804455757141,0.20047038793563843,0.518218457698822,0.30400320887565613,0.3515113592147827,-0.03996792063117027,0.34873589873313904,0.3424558639526367,0.23940443992614746,0.3563927710056305,0.2884248197078705,0.39068686962127686,0.22421395778656006,0.34945759177207947,0.29723602533340454,0.25529929995536804,0.17676851153373718,0.24354910850524902
found,0.1796332150697708,0.12157006561756134,0.18447895348072052,0.2158852219581604,0.39141854643821716,0.0018862395081669092,0.27385151386260986,0.27978911995887756,0.18017683923244476,0.3452354073524475,0.20652781426906586,0.19707661867141724,0.11112937331199646,0.25225648283958435,0.14561444520950317,0.16267240047454834,0.0814623311161995,0.16790300607681274
to,0.455847829580307,0.24674905836582184,0.3636345863342285,0.25618577003479004,0.45010748505592346,0.03205801546573639,0.44245919585227966,0.48971283435821533,0.25113391876220703,0.535392165184021,0.4772548973560333,0.4451248347759247,0.27257397770881653,1.0,0.263949990272522,0.44619059562683105,0.27001675963401794,0.29463258385658264
have,0.39808809757232666,0.1714901328086853,0.2863433063030243,0.2944818139076233,0.36843645572662354,-0.04911213740706444,0.3541618287563324,0.4711785912513733,0.24251757562160492,0.40389683842658997,0.4185628294944763,0.41175219416618347,0.22658610343933105,0.4544740617275238,0.3501974940299988,0.523270845413208,0.20906804502010345,0.32991164922714233
abused,0.26775622367858887,0.16844969987869263,0.2371172308921814,0.32339078187942505,0.13404719531536102,-0.06807113438844681,0.2329738885164261,0.22703509032726288,0.17944084107875824,0.12672726809978485,0.24591518938541412,0.2598557472229004,0.20767565071582794,0.22643253207206726,0.8140408396720886,0.2895563840866089,0.23401731252670288,0.23559819161891937
their,0.35142919421195984,0.14912183582782745,0.2396296262741089,0.25854983925819397,0.34976133704185486,-0.0866469293832779,0.3045167922973633,0.45114588737487793,0.1918521225452423,0.516537070274353,0.34286630153656006,0.3406745493412018,0.2598041892051697,0.44619059562683105,0.23728369176387787,1.0,0.21364916861057281,0.1898253709077835
offices,0.1431061029434204,0.32235339283943176,0.25200366973876953,0.2756030261516571,0.30102822184562683,0.10337240993976593,0.25164398550987244,0.24569359421730042,0.24414893984794617,0.2803647518157959,0.1633632630109787,0.25942909717559814,0.44982603192329407,0.22308531403541565,0.12777797877788544,0.2044312208890915,0.24198128283023834,0.10076487064361572
