,what,is,the,term,for,a,hyperactive,immune,system,that,attacks,normal,tissues,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27866655588150024,0.4322226941585541,0.539380669593811,0.13041959702968597,0.14682820439338684,0.21978288888931274,0.435920387506485,0.223388671875,0.25896620750427246,0.18891920149326324,0.20430970191955566
contrast,0.2773490250110626,0.2659924328327179,0.25799670815467834,0.36540746688842773,0.20690715312957764,0.29432156682014465,0.2567823827266693,0.23172810673713684,0.22354324162006378,0.31651821732521057,0.1371975988149643,0.30796322226524353,0.30106693506240845,0.15469981729984283
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21599270403385162,0.4464869201183319,0.427140474319458,0.19973260164260864,0.15102852880954742,0.18439900875091553,0.4137537479400635,0.25300389528274536,0.25911128520965576,0.16667009890079498,0.31091248989105225
autoimmunity,0.2846944034099579,0.24599945545196533,0.28476887941360474,0.1755022555589676,0.2676715850830078,0.2770236134529114,0.4068859815597534,0.601526141166687,0.35826539993286133,0.3129342198371887,0.2889304757118225,0.336446613073349,0.4620232880115509,0.2550005614757538
results,0.2425258755683899,0.20523308217525482,0.2863679826259613,0.23247811198234558,0.2949832081794739,0.2899290919303894,0.1848125457763672,0.16776737570762634,0.22656206786632538,0.339158296585083,0.16413339972496033,0.3069073259830475,0.2512322962284088,0.21797199547290802
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.25269290804862976,0.314039945602417,0.322764128446579,0.091335728764534,0.13325795531272888,0.22092437744140625,0.3477667272090912,0.16038696467876434,0.24054940044879913,0.21378295123577118,0.19969791173934937
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.44038116931915283,1.0,0.21278023719787598,0.20466765761375427,0.2589043080806732,0.47537946701049805,0.24573074281215668,0.3121098279953003,0.22599223256111145,0.23916715383529663
hyperactive,0.24471446871757507,0.1887582242488861,0.12734180688858032,0.183198943734169,0.2094164937734604,0.21278023719787598,1.0,0.3399285674095154,0.20810572803020477,0.24877697229385376,0.19560477137565613,0.3679077923297882,0.3081536889076233,0.18151898682117462
immune,0.2410416603088379,0.2092347890138626,0.21364226937294006,0.173069030046463,0.1448224037885666,0.20466765761375427,0.3399285674095154,1.0,0.3962631821632385,0.30237793922424316,0.31198155879974365,0.20758959650993347,0.45840537548065186,0.16080476343631744
system,0.23557309806346893,0.2282046526670456,0.3233085572719574,0.19368985295295715,0.2630598843097687,0.2589043080806732,0.20810572803020477,0.3962631821632385,1.0000001192092896,0.3088737428188324,0.18609555065631866,0.2756127715110779,0.28325286507606506,0.15556083619594574
attacking,0.24085265398025513,0.21514460444450378,0.3005821406841278,0.13968521356582642,0.2796705663204193,0.27435624599456787,0.1332307904958725,0.3053421378135681,0.1684916466474533,0.30515792965888977,0.688725471496582,0.17192186415195465,0.19873887300491333,0.14137868583202362
normal,0.32813265919685364,0.2731911838054657,0.25256022810935974,0.18079611659049988,0.2764380872249603,0.3121098279953003,0.3679077923297882,0.20758959650993347,0.2756127715110779,0.3682374656200409,0.16236209869384766,0.9999999403953552,0.37282684445381165,0.19617988169193268
tissues,0.22605282068252563,0.19952771067619324,0.25059279799461365,0.22709938883781433,0.21586398780345917,0.22599223256111145,0.3081536889076233,0.45840537548065186,0.28325286507606506,0.2756805121898651,0.23215770721435547,0.37282684445381165,0.9999999403953552,0.17531797289848328
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3224089443683624,0.44774648547172546,0.39550232887268066,0.1562015861272812,0.17487213015556335,0.1973835676908493,0.4735107421875,0.20575103163719177,0.27432510256767273,0.16746962070465088,0.27043893933296204
if,0.5277165174484253,0.30927813053131104,0.33724796772003174,0.20444554090499878,0.3609124422073364,0.41272827982902527,0.2914155125617981,0.28697746992111206,0.23173311352729797,0.5634250640869141,0.23227658867835999,0.3868860900402069,0.32719185948371887,0.4441644251346588
they,0.4431931674480438,0.330102801322937,0.49925389885902405,0.2276555597782135,0.3466525673866272,0.3528250455856323,0.27435147762298584,0.29530614614486694,0.24734781682491302,0.5710820555686951,0.2385377138853073,0.34611091017723083,0.3264843821525574,0.2753053903579712
were,0.22298263013362885,0.29386836290359497,0.3906462490558624,0.12587958574295044,0.33592689037323,0.17203083634376526,0.10821264982223511,0.1750321239233017,0.1800099015235901,0.35517072677612305,0.2431853711605072,0.1625637263059616,0.1575281023979187,0.17890112102031708
foreign,0.1784719079732895,0.14707332849502563,0.2946566939353943,0.21055416762828827,0.3257881999015808,0.16994866728782654,0.13330969214439392,0.2221337854862213,0.11286413669586182,0.17737965285778046,0.22263330221176147,0.17892712354660034,0.18215440213680267,0.13770383596420288
organisms,0.22214920818805695,0.1773757040500641,0.22463196516036987,0.28406983613967896,0.21865904331207275,0.1930171549320221,0.26765191555023193,0.3922001123428345,0.2424149215221405,0.2768743634223938,0.10673177242279053,0.2954772114753723,0.5438687801361084,0.22621455788612366
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18456575274467468,0.4726039469242096,0.50484299659729,0.1989177018404007,0.18267881870269775,0.2277725487947464,0.4460422694683075,0.295037180185318,0.2961207330226898,0.212555930018425,0.4130953550338745
