,who,hosts,the,weeknight,talk,show,featured,on,abc,networks,?
late,0.19296042621135712,0.22858422994613647,0.31481194496154785,0.3183947801589966,0.16403940320014954,0.296935498714447,0.26636359095573425,0.2571752071380615,0.21952039003372192,0.19728364050388336,0.11339222639799118
nights,0.20742183923721313,0.23262593150138855,0.2459263801574707,0.5499953627586365,0.19973739981651306,0.22966255247592926,0.3204425573348999,0.2920009195804596,0.2151530534029007,0.19318926334381104,0.12477648258209229
feature,0.20225825905799866,0.20426684617996216,0.3053930699825287,0.27227845788002014,0.23779408633708954,0.27085286378860474,0.6036866903305054,0.29385992884635925,0.23343506455421448,0.20411713421344757,0.2893312871456146
the,0.3733934462070465,0.31077179312705994,1.0,0.34641730785369873,0.2565208673477173,0.319829523563385,0.28660184144973755,0.5107308030128479,0.2068762183189392,0.24705806374549866,0.22068053483963013
weeknight,0.314973384141922,0.2855108082294464,0.34641730785369873,1.0,0.28384828567504883,0.29532647132873535,0.3467351794242859,0.3396299183368683,0.31460097432136536,0.19009363651275635,0.24154944717884064
talk,0.21593186259269714,0.18037906289100647,0.2565208673477173,0.28384828567504883,1.0000001192092896,0.32384613156318665,0.23102210462093353,0.2979150712490082,0.2639772891998291,0.2539575397968292,0.6033820509910583
show,0.2095358669757843,0.39942455291748047,0.319829523563385,0.29532647132873535,0.32384613156318665,0.9999999403953552,0.3722992241382599,0.3708709180355072,0.4449407458305359,0.2811821699142456,0.2520138621330261
jimmy,0.2521668076515198,0.18531763553619385,0.20836526155471802,0.23087547719478607,0.18075576424598694,0.20500656962394714,0.2174392193555832,0.22407884895801544,0.2765234112739563,0.11303171515464783,0.1695522665977478
kimmel,0.22567227482795715,0.25604838132858276,0.21777403354644775,0.4064255654811859,0.3155808448791504,0.38113144040107727,0.3167659640312195,0.24752198159694672,0.39454230666160583,0.18337322771549225,0.30075642466545105
live,0.21460703015327454,0.25994884967803955,0.2995128035545349,0.24797369539737701,0.19372180104255676,0.21052707731723785,0.2427142858505249,0.24591919779777527,0.20379731059074402,0.181322380900383,0.19481121003627777
!,0.1789553463459015,0.13317382335662842,0.208593487739563,0.24895964562892914,0.4390083849430084,0.2798598110675812,0.2235947847366333,0.2269664704799652,0.1729615330696106,0.20220500230789185,0.45165371894836426
.,0.3541337847709656,0.21701855957508087,0.5934505462646484,0.30394691228866577,0.2742018699645996,0.3016606271266937,0.27540460228919983,0.49257001280784607,0.2567209303379059,0.24027101695537567,0.4130953550338745
