,which,archaeologist,proposed,the,idea,that,the,amazon,rainforest,could,n't,sustain,large,populations,?
archeologist,0.11460062116384506,0.8765332698822021,0.1597946584224701,0.210653156042099,0.17256416380405426,0.1600622981786728,0.210653156042099,0.12172019481658936,0.2049216330051422,0.10954590141773224,0.2816453278064728,0.0894056111574173,0.12580949068069458,0.164764404296875,0.16521774232387543
betty,0.1329135298728943,0.15453903377056122,0.06101793795824051,0.15101419389247894,0.11428668349981308,0.15872733294963837,0.15101419389247894,0.03930913284420967,0.13209055364131927,0.09384401142597198,0.148622065782547,0.1174645647406578,0.1553431898355484,0.10887622833251953,0.13832208514213562
meggers,0.2492765635251999,0.24263109266757965,0.14800125360488892,0.2656703293323517,0.20981009304523468,0.2730470597743988,0.2656703293323517,0.1924430876970291,0.20133766531944275,0.219390407204628,0.16077901422977448,0.19422517716884613,0.25759002566337585,0.19925443828105927,0.20317037403583527
was,0.2830964922904968,0.2527676820755005,0.2461901754140854,0.48711544275283813,0.2835119664669037,0.33670201897621155,0.48711544275283813,0.14616160094738007,0.13883572816848755,0.39896807074546814,0.06924254447221756,0.11312083154916763,0.21717436611652374,0.1152937039732933,0.18412111699581146
a,0.56894451379776,0.1846969872713089,0.2374454140663147,0.5829201340675354,0.3483608067035675,0.47537946701049805,0.5829201340675354,0.1865728348493576,0.2497720569372177,0.3736826181411743,0.013574101030826569,0.263516902923584,0.3740714490413666,0.20712152123451233,0.23916715383529663
prominent,0.2020394504070282,0.24220295250415802,0.21332263946533203,0.30881059169769287,0.12666383385658264,0.18118028342723846,0.30881059169769287,0.13690361380577087,0.11667139828205109,0.13930989801883698,0.1568221002817154,0.21106134355068207,0.29206228256225586,0.23140065371990204,0.12940338253974915
proponent,0.18101456761360168,0.21053682267665863,0.4610857665538788,0.2463405430316925,0.4852563142776489,0.26068201661109924,0.2463405430316925,0.08247791230678558,0.0924324095249176,0.20379512012004852,0.12028959393501282,0.2637205719947815,0.19680634140968323,0.2050195187330246,0.19390621781349182
of,0.5011631846427917,0.16963735222816467,0.26188141107559204,0.733189046382904,0.2342950403690338,0.41498205065727234,0.733189046382904,0.20143137872219086,0.22522282600402832,0.29043012857437134,-0.021397603675723076,0.18719439208507538,0.3569655418395996,0.2561377286911011,0.1826142966747284
this,0.6719430088996887,0.12313258647918701,0.34555110335350037,0.6274310946464539,0.46331271529197693,0.6909449696540833,0.6274310946464539,0.15259569883346558,0.23467609286308289,0.4042564332485199,-0.11459717154502869,0.24885427951812744,0.3440819978713989,0.2236473262310028,0.3155723512172699
idea,0.3808409571647644,0.15618552267551422,0.530822217464447,0.2839161455631256,1.0,0.49277663230895996,0.2839161455631256,0.13118991255760193,0.16100867092609406,0.4133228361606598,-0.07617110759019852,0.25457510352134705,0.18284903466701508,0.13988442718982697,0.2952161729335785
",",0.3658004403114319,0.22650521993637085,0.23817701637744904,0.4933079481124878,0.22699743509292603,0.4137537479400635,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.27399855852127075,0.11016341298818588,0.25453680753707886,0.2263888567686081,0.2880891263484955,0.31091248989105225
as,0.41006597876548767,0.14167363941669464,0.2582518458366394,0.48381632566452026,0.25607582926750183,0.4735107421875,0.48381632566452026,0.1877562403678894,0.15180876851081848,0.32771480083465576,-0.08284513652324677,0.19950729608535767,0.24282054603099823,0.24266624450683594,0.27043893933296204
described,0.2776082456111908,0.22609010338783264,0.3384602963924408,0.2878154516220093,0.2713732123374939,0.3262448310852051,0.2878154516220093,0.18942902982234955,0.17349986732006073,0.1540316343307495,0.10616769641637802,0.15926918387413025,0.19742688536643982,0.22272974252700806,0.1374269425868988
in,0.4840516746044159,0.22005704045295715,0.2148248553276062,0.6662389636039734,0.20288406312465668,0.435920387506485,0.6662389636039734,0.12227833271026611,0.2207682877779007,0.29357993602752686,-0.0012929976219311357,0.23164546489715576,0.2841601073741913,0.29535284638404846,0.20430970191955566
her,0.3091151714324951,0.20153360068798065,0.11952460557222366,0.354963481426239,0.16676703095436096,0.33159515261650085,0.354963481426239,0.20009556412696838,0.14486649632453918,0.23307810723781586,0.10008347034454346,0.096962571144104,0.1863638162612915,0.06454790383577347,0.20310723781585693
book,0.24807968735694885,0.1964268684387207,0.183271124958992,0.2652374505996704,0.2921050488948822,0.31481462717056274,0.2652374505996704,0.30601218342781067,0.21573308110237122,0.2001878321170807,0.14569255709648132,0.18294353783130646,0.14648069441318512,0.14697322249412537,0.20572158694267273
amazonia,0.2199927568435669,0.21434536576271057,0.09311684966087341,0.27672475576400757,0.07498288154602051,0.19638384878635406,0.27672475576400757,0.7831899523735046,0.5159031748771667,0.12362772226333618,0.0035159047693014145,0.1849730759859085,0.1980767548084259,0.32169806957244873,0.15856796503067017
:,-0.11049769818782806,0.009326622821390629,-0.12525834143161774,-0.03403344005346298,-0.049959514290094376,-0.12200210988521576,-0.03403344005346298,-0.12260514497756958,-0.15356512367725372,-0.10395435243844986,0.10720322281122208,-0.08295293897390366,-0.14476947486400604,-0.06641127914190292,-0.07156077772378922
man,0.20038147270679474,0.2238035500049591,0.192959263920784,0.23171134293079376,0.2965587377548218,0.25507083535194397,0.23171134293079376,0.20862756669521332,0.176812544465065,0.22551387548446655,0.0187606792896986,0.21377992630004883,0.19053588807582855,0.09408080577850342,0.2528940737247467
and,0.506277859210968,0.18380214273929596,0.20594197511672974,0.5171257257461548,0.24201342463493347,0.4731321930885315,0.5171257257461548,0.23464977741241455,0.26834338903427124,0.3385082483291626,-0.0602874718606472,0.2981291115283966,0.3404269814491272,0.26962190866470337,0.20544172823429108
culture,0.21281319856643677,0.31914573907852173,0.0796501636505127,0.27157285809516907,0.21847012639045715,0.24586836993694305,0.27157285809516907,0.19349196553230286,0.18047985434532166,0.12754406034946442,0.18009355664253235,0.14694446325302124,0.1028537005186081,0.2525147795677185,0.13093146681785583
in,0.4840516746044159,0.22005704045295715,0.2148248553276062,0.6662389636039734,0.20288406312465668,0.435920387506485,0.6662389636039734,0.12227833271026611,0.2207682877779007,0.29357993602752686,-0.0012929976219311357,0.23164546489715576,0.2841601073741913,0.29535284638404846,0.20430970191955566
a,0.56894451379776,0.1846969872713089,0.2374454140663147,0.5829201340675354,0.3483608067035675,0.47537946701049805,0.5829201340675354,0.1865728348493576,0.2497720569372177,0.3736826181411743,0.013574101030826569,0.263516902923584,0.3740714490413666,0.20712152123451233,0.23916715383529663
counterfeit,0.3012487590312958,0.07331705838441849,0.14502418041229248,0.2676233947277069,0.18685171008110046,0.3213541805744171,0.2676233947277069,0.17082272469997406,0.073883056640625,0.2809281051158905,-0.09671497344970703,0.19320611655712128,0.20473754405975342,0.1141783818602562,0.09599736332893372
paradise,0.23275887966156006,0.14476075768470764,0.0653923898935318,0.20165380835533142,0.22079487144947052,0.13976450264453888,0.20165380835533142,0.18222296237945557,0.33965662121772766,0.10786481946706772,0.0058863842859864235,0.11860885471105576,0.21170620620250702,0.15254345536231995,0.16137857735157013
.,0.45942068099975586,0.19180575013160706,0.22405166923999786,0.5934505462646484,0.26084083318710327,0.4460422694683075,0.5934505462646484,0.262887567281723,0.25713270902633667,0.3200591504573822,0.01884327083826065,0.2136199176311493,0.2304532378911972,0.25785329937934875,0.4130953550338745
