,where,is,peridinin,found,?
the,0.5003893971443176,0.5823672413825989,0.357619047164917,0.3452354073524475,0.22068053483963013
most,0.3678402900695801,0.41165053844451904,0.22491776943206787,0.2697452902793884,0.2107497900724411
common,0.21611684560775757,0.2952355444431305,0.20954175293445587,0.2702949643135071,0.20434872806072235
dinophyte,0.14387327432632446,0.23675218224525452,0.38833490014076233,0.2598455846309662,0.21492615342140198
chloroplast,0.2127864807844162,0.20798198878765106,0.3532528281211853,0.22485198080539703,0.12532055377960205
is,0.3586711287498474,1.0,0.3188054859638214,0.3526395261287689,0.22961433231830597
the,0.5003893971443176,0.5823672413825989,0.357619047164917,0.3452354073524475,0.22068053483963013
peridinin-type,0.25404536724090576,0.39773768186569214,0.7857310175895691,0.24948222935199738,0.24264028668403625
chloroplast,0.2127864807844162,0.20798198878765106,0.3532528281211853,0.22485198080539703,0.12532055377960205
",",0.3149496018886566,0.4691906273365021,0.37833863496780396,0.27385151386260986,0.31091248989105225
characterized,0.24032677710056305,0.26732131838798523,0.400661826133728,0.30299898982048035,0.03949757292866707
by,0.2641284465789795,0.3899846076965332,0.25896337628364563,0.17248263955116272,0.17966607213020325
the,0.5003893971443176,0.5823672413825989,0.357619047164917,0.3452354073524475,0.22068053483963013
carotenoid,0.2090594619512558,0.298306405544281,0.37177520990371704,0.2478920817375183,0.19019073247909546
pigment,0.2011159211397171,0.2555147111415863,0.3143821060657501,0.2179277092218399,0.17858020961284637
peridinin,0.2476889193058014,0.3188054859638214,1.0,0.24294018745422363,0.16034066677093506
in,0.5344807505607605,0.5394441485404968,0.3417854309082031,0.39141854643821716,0.20430970191955566
their,0.3356108069419861,0.2101074606180191,0.20096731185913086,0.16267240047454834,0.1898253709077835
chloroplasts,0.22257623076438904,0.22550933063030243,0.35932162404060364,0.23219403624534607,0.13049766421318054
",",0.3149496018886566,0.4691906273365021,0.37833863496780396,0.27385151386260986,0.31091248989105225
along,0.3530636131763458,0.23571021854877472,0.17905521392822266,0.19864152371883392,0.17134909331798553
with,0.4142743945121765,0.3250955045223236,0.21097593009471893,0.2364431470632553,0.2433311939239502
chlorophyll,0.1898372620344162,0.2015603631734848,0.3834822177886963,0.22111766040325165,0.1099696233868599
a,0.40997210144996643,0.658733606338501,0.3299764394760132,0.2869448959827423,0.23916715383529663
and,0.43859338760375977,0.3859752118587494,0.31875625252723694,0.27978911995887756,0.20544172823429108
chlorophyll,0.1898372620344162,0.2015603631734848,0.3834822177886963,0.22111766040325165,0.1099696233868599
c2,-0.08766014873981476,0.0402664877474308,-0.0844494178891182,0.07717049866914749,0.06887445598840714
.,0.41390106081962585,0.4569662809371948,0.3264316916465759,0.3618174195289612,0.4130953550338745
