,in,a,progressive,tax,",",what,increases,as,the,taxable,base,amount,increases,?
a,0.539380669593811,1.0,0.2718779742717743,0.23702840507030487,0.427140474319458,0.3320399522781372,0.3119737505912781,0.39550232887268066,0.5829201340675354,0.32547223567962646,0.27513372898101807,0.3439450263977051,0.3119737505912781,0.23916715383529663
progressive,0.21065156161785126,0.2718779742717743,1.0,0.26907187700271606,0.18273064494132996,0.20924389362335205,0.3346504867076874,0.19707521796226501,0.2495650351047516,0.3091093599796295,0.07990062981843948,0.19776636362075806,0.3346504867076874,0.12022990733385086
tax,0.20513993501663208,0.23702840507030487,0.26907187700271606,0.9999999403953552,0.140306293964386,0.21278929710388184,0.32018688321113586,0.15733236074447632,0.19507044553756714,0.6455044746398926,0.1616012305021286,0.34067606925964355,0.32018688321113586,0.2097984105348587
is,0.5394441485404968,0.658733606338501,0.19127468764781952,0.12364397197961807,0.4691906273365021,0.28837618231773376,0.24743452668190002,0.43216490745544434,0.5823672413825989,0.25915637612342834,0.28868359327316284,0.3016021251678467,0.24743452668190002,0.22961433231830597
a,0.539380669593811,1.0,0.2718779742717743,0.23702840507030487,0.427140474319458,0.3320399522781372,0.3119737505912781,0.39550232887268066,0.5829201340675354,0.32547223567962646,0.27513372898101807,0.3439450263977051,0.3119737505912781,0.23916715383529663
tax,0.20513993501663208,0.23702840507030487,0.26907187700271606,0.9999999403953552,0.140306293964386,0.21278929710388184,0.32018688321113586,0.15733236074447632,0.19507044553756714,0.6455044746398926,0.1616012305021286,0.34067606925964355,0.32018688321113586,0.2097984105348587
by,0.370934396982193,0.32094135880470276,0.22185124456882477,0.17775239050388336,0.3680937886238098,0.2455483376979828,0.20222704112529755,0.3815547823905945,0.4408751428127289,0.2951596975326538,0.21752656996250153,0.19143085181713104,0.20222704112529755,0.17966607213020325
which,0.4840516746044159,0.56894451379776,0.3030937612056732,0.22960160672664642,0.3658004403114319,0.5261979103088379,0.4255077838897705,0.41006597876548767,0.6521818041801453,0.3919907212257385,0.2855173349380493,0.38932931423187256,0.4255077838897705,0.25814583897590637
the,0.6662389636039734,0.5829201340675354,0.2495650351047516,0.19507044553756714,0.4933079481124878,0.42745697498321533,0.38141000270843506,0.48381632566452026,1.0,0.3077660799026489,0.2870652377605438,0.3336862325668335,0.38141000270843506,0.22068053483963013
tax,0.20513993501663208,0.23702840507030487,0.26907187700271606,0.9999999403953552,0.140306293964386,0.21278929710388184,0.32018688321113586,0.15733236074447632,0.19507044553756714,0.6455044746398926,0.1616012305021286,0.34067606925964355,0.32018688321113586,0.2097984105348587
rate,0.24951417744159698,0.24373900890350342,0.2211216539144516,0.33589982986450195,0.18156792223453522,0.21845893561840057,0.5145103335380554,0.17456910014152527,0.24881242215633392,0.35650834441185,0.19042198359966278,0.4187385141849518,0.5145103335380554,0.1308269053697586
increases,0.2302049696445465,0.3119737505912781,0.3346504867076874,0.32018688321113586,0.17835964262485504,0.23849372565746307,1.0000001192092896,0.24451245367527008,0.38141000270843506,0.44346046447753906,0.2565684914588928,0.5037626028060913,1.0000001192092896,0.10270863026380539
as,0.3887844979763031,0.39550232887268066,0.19707521796226501,0.15733236074447632,0.48816442489624023,0.31749409437179565,0.24451245367527008,1.0,0.48381632566452026,0.29244759678840637,0.20152351260185242,0.19476667046546936,0.24451245367527008,0.27043893933296204
the,0.6662389636039734,0.5829201340675354,0.2495650351047516,0.19507044553756714,0.4933079481124878,0.42745697498321533,0.38141000270843506,0.48381632566452026,1.0,0.3077660799026489,0.2870652377605438,0.3336862325668335,0.38141000270843506,0.22068053483963013
taxable,0.2340211719274521,0.32547223567962646,0.3091093599796295,0.6455044746398926,0.3098839223384857,0.32343634963035583,0.44346046447753906,0.29244759678840637,0.3077660799026489,0.9999999403953552,0.191438227891922,0.41037097573280334,0.44346046447753906,0.3143687844276428
base,0.2292785793542862,0.27513372898101807,0.07990062981843948,0.1616012305021286,0.24008820950984955,0.1336955726146698,0.2565684914588928,0.20152351260185242,0.2870652377605438,0.191438227891922,1.0000001192092896,0.19317787885665894,0.2565684914588928,0.10518061369657516
amount,0.2569429874420166,0.3439450263977051,0.19776636362075806,0.34067606925964355,0.21125462651252747,0.2602839767932892,0.5037626028060913,0.19476667046546936,0.3336862325668335,0.41037097573280334,0.19317787885665894,1.0000001192092896,0.5037626028060913,0.17984020709991455
increases,0.2302049696445465,0.3119737505912781,0.3346504867076874,0.32018688321113586,0.17835964262485504,0.23849372565746307,1.0000001192092896,0.24451245367527008,0.38141000270843506,0.44346046447753906,0.2565684914588928,0.5037626028060913,1.0000001192092896,0.10270863026380539
.,0.5591574311256409,0.50484299659729,0.21317042410373688,0.23817123472690582,0.6812511086463928,0.3567904531955719,0.22987256944179535,0.515582263469696,0.5934505462646484,0.3102189600467682,0.26800644397735596,0.24893930554389954,0.22987256944179535,0.4130953550338745
