,what,are,the,two,different,types,of,immunity,?
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.36463531851768494,0.29409363865852356,0.18516337871551514,0.5696388483047485,0.16387996077537537,0.20430970191955566
many,0.36131182312965393,0.5655534863471985,0.4335206151008606,0.5147606730461121,0.6061229109764099,0.4814179539680481,0.37253960967063904,0.2048606276512146,0.2124512493610382
species,0.14617158472537994,0.3297041952610016,0.2522439956665039,0.22015008330345154,0.292740136384964,0.32874083518981934,0.23307405412197113,0.18666180968284607,0.1957087516784668
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.32220861315727234,0.24108222126960754,0.4946078956127167,0.21605436503887177,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.36412742733955383,0.23509301245212555,0.733189046382904,0.25992491841316223,0.22068053483963013
immune,0.2410416603088379,0.23878547549247742,0.21364226937294006,0.15377098321914673,0.23503915965557098,0.2538298964500427,0.16620753705501556,0.635888397693634,0.16080476343631744
system,0.23557309806346893,0.21917270123958588,0.3233085572719574,0.14671745896339417,0.2699776887893677,0.2489754855632782,0.25597915053367615,0.31006526947021484,0.15556083619594574
can,0.34502777457237244,0.5408529043197632,0.312528520822525,0.282000333070755,0.4908648133277893,0.42601388692855835,0.2603091299533844,0.20928984880447388,0.3226337134838104
be,0.3929833769798279,0.5556803941726685,0.4248143136501312,0.28515341877937317,0.3756779432296753,0.31168943643569946,0.33904364705085754,0.21654635667800903,0.3324260413646698
classified,0.16493408381938934,0.3116118311882019,0.24516408145427704,0.232509046792984,0.26809999346733093,0.3377700746059418,0.1888706386089325,0.19699163734912872,0.1583244353532791
into,0.2180619090795517,0.2930682599544525,0.39493247866630554,0.34175926446914673,0.31681573390960693,0.2332717925310135,0.32255905866622925,0.17740188539028168,0.15662476420402527
subsystems,0.24752198159694672,0.37556418776512146,0.30377060174942017,0.21587757766246796,0.3663578927516937,0.421554833650589,0.2675829231739044,0.23704710602760315,0.23699964582920074
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.32220861315727234,0.24108222126960754,0.4946078956127167,0.21605436503887177,0.31091248989105225
such,0.23989605903625488,0.4654397666454315,0.3575236201286316,0.29377371072769165,0.37860816717147827,0.4367804527282715,0.3209529519081116,0.20058366656303406,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.48381632566452026,0.3029302954673767,0.2646806538105011,0.2006441354751587,0.3886612355709076,0.17137591540813446,0.27043893933296204
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.36412742733955383,0.23509301245212555,0.733189046382904,0.25992491841316223,0.22068053483963013
innate,0.2683543860912323,0.2676650285720825,0.2196919023990631,0.16956093907356262,0.2987254559993744,0.29162466526031494,0.255485475063324,0.44367101788520813,0.16386382281780243
immune,0.2410416603088379,0.23878547549247742,0.21364226937294006,0.15377098321914673,0.23503915965557098,0.2538298964500427,0.16620753705501556,0.635888397693634,0.16080476343631744
system,0.23557309806346893,0.21917270123958588,0.3233085572719574,0.14671745896339417,0.2699776887893677,0.2489754855632782,0.25597915053367615,0.31006526947021484,0.15556083619594574
versus,0.19675661623477936,0.15013527870178223,0.2504773736000061,0.19815295934677124,0.14952118694782257,0.11543583869934082,0.17810623347759247,0.15156668424606323,0.17916910350322723
the,0.42745697498321533,0.40399202704429626,1.0,0.43858039379119873,0.36412742733955383,0.23509301245212555,0.733189046382904,0.25992491841316223,0.22068053483963013
adaptive,0.22806508839130402,0.2328222244977951,0.25968632102012634,0.18843084573745728,0.3007277250289917,0.24636167287826538,0.18422213196754456,0.40294596552848816,0.12147218734025955
immune,0.2410416603088379,0.23878547549247742,0.21364226937294006,0.15377098321914673,0.23503915965557098,0.2538298964500427,0.16620753705501556,0.635888397693634,0.16080476343631744
system,0.23557309806346893,0.21917270123958588,0.3233085572719574,0.14671745896339417,0.2699776887893677,0.2489754855632782,0.25597915053367615,0.31006526947021484,0.15556083619594574
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.35859420895576477,0.32220861315727234,0.24108222126960754,0.4946078956127167,0.21605436503887177,0.31091248989105225
or,0.33867141604423523,0.5374364256858826,0.4174870550632477,0.3349444568157196,0.41923218965530396,0.41673311591148376,0.3792596757411957,0.2634049355983734,0.32389625906944275
humoral,0.33916720747947693,0.21872328221797943,0.2591458559036255,0.1745867282152176,0.2732020914554596,0.2527121603488922,0.2923624813556671,0.3712005317211151,0.23676204681396484
immunity,0.21864116191864014,0.2128283977508545,0.25992491841316223,0.2016933262348175,0.1744782030582428,0.15578491985797882,0.17778201401233673,1.0000001192092896,0.16423189640045166
versus,0.19675661623477936,0.15013527870178223,0.2504773736000061,0.19815295934677124,0.14952118694782257,0.11543583869934082,0.17810623347759247,0.15156668424606323,0.17916910350322723
cell-mediated,0.23655308783054352,0.25667300820350647,0.3188624978065491,0.23273278772830963,0.24405521154403687,0.2074870765209198,0.3360399901866913,0.3448789417743683,0.2367660403251648
immunity,0.21864116191864014,0.2128283977508545,0.25992491841316223,0.2016933262348175,0.1744782030582428,0.15578491985797882,0.17778201401233673,1.0000001192092896,0.16423189640045166
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.3524959683418274,0.31511759757995605,0.2097296416759491,0.5352458953857422,0.20537415146827698,0.4130953550338745
