,when,did,dyrrachium,fall,to,the,normans,?
the,0.5091903209686279,0.34736719727516174,0.2955700159072876,0.3639753758907318,0.535392165184021,1.0,0.2781367897987366,0.22068053483963013
city,0.19592350721359253,0.12266099452972412,0.2714829444885254,0.25042182207107544,0.20300441980361938,0.35769423842430115,0.20040743052959442,0.13423943519592285
's,-0.03368149697780609,0.05069678649306297,0.01204473152756691,-0.05826059728860855,0.03782717138528824,-0.01540423184633255,-0.022665709257125854,-0.023395681753754616
garrison,0.1828574687242508,0.14910924434661865,0.22809572517871857,0.2045319676399231,0.21971097588539124,0.251071572303772,0.3250615894794464,0.1271563321352005
resisted,0.21260429918766022,0.28487497568130493,0.22266432642936707,0.3046233654022217,0.24570605158805847,0.2647842466831207,0.2801540195941925,0.0301983542740345
until,0.494509756565094,0.33905428647994995,0.20558150112628937,0.24783453345298767,0.354556679725647,0.37191009521484375,0.2377571165561676,0.20304496586322784
february,0.2621206045150757,0.25426602363586426,0.1365668773651123,0.19930021464824677,0.20325583219528198,0.26483774185180664,0.10834577679634094,0.29594847559928894
1082,-0.05194653943181038,-0.007605847902595997,0.09309691190719604,0.035812925547361374,-0.08537200093269348,-0.00027852956554852426,0.10259485244750977,0.04040958359837532
",",0.36674630641937256,0.3015086054801941,0.3094370365142822,0.31587862968444824,0.44245919585227966,0.4933079481124878,0.207779198884964,0.31091248989105225
when,0.9999999403953552,0.3228907287120819,0.2973613440990448,0.2653101086616516,0.5423505902290344,0.5091903209686279,0.21106265485286713,0.22841128706932068
dyrrachium,0.2973613440990448,0.18310648202896118,1.0000001192092896,0.2141130119562149,0.2512475550174713,0.2955700159072876,0.28412291407585144,0.2153829038143158
was,0.37326499819755554,0.41399896144866943,0.2753402888774872,0.22278504073619843,0.3636345863342285,0.48711544275283813,0.23244261741638184,0.18412111699581146
betrayed,0.2901795208454132,0.29132699966430664,0.2428867220878601,0.25254324078559875,0.2464798092842102,0.2555851638317108,0.3099060356616974,0.15107960999011993
to,0.5423505902290344,0.4452643394470215,0.2512475550174713,0.1966593861579895,1.0,0.535392165184021,0.2506018877029419,0.29463258385658264
the,0.5091903209686279,0.34736719727516174,0.2955700159072876,0.3639753758907318,0.535392165184021,1.0,0.2781367897987366,0.22068053483963013
normans,0.21106265485286713,0.22847257554531097,0.28412291407585144,0.09998951107263565,0.2506018877029419,0.2781367897987366,1.0,0.12354589998722076
by,0.4376842677593231,0.18574509024620056,0.22257952392101288,0.22717894613742828,0.33534231781959534,0.4408751428127289,0.2394598126411438,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,0.2955700159072876,0.3639753758907318,0.535392165184021,1.0,0.2781367897987366,0.22068053483963013
venetian,0.17502781748771667,0.1293005347251892,0.29133284091949463,0.18205653131008148,0.17106519639492035,0.21322013437747955,0.3715706467628479,0.09660717099905014
and,0.4716290831565857,0.34479495882987976,0.2686789631843567,0.25737735629081726,0.48971283435821533,0.5171257257461548,0.23779046535491943,0.20544172823429108
amalfitan,0.2796557545661926,0.24863265454769135,0.4785073697566986,0.21819478273391724,0.2970356047153473,0.35946032404899597,0.35314205288887024,0.22319522500038147
merchants,0.24856805801391602,0.27954357862472534,0.2503100037574768,0.13728000223636627,0.27027255296707153,0.25689056515693665,0.38141775131225586,0.0864284485578537
who,0.48282691836357117,0.34038686752319336,0.19578295946121216,0.14571887254714966,0.42656609416007996,0.3733934462070465,0.20534200966358185,0.26220351457595825
had,0.37526828050613403,0.540525496006012,0.2908819317817688,0.20530134439468384,0.37984350323677063,0.3875846862792969,0.30812567472457886,0.20728366076946259
settled,0.2473156750202179,0.20065045356750488,0.19989551603794098,0.14490380883216858,0.28114861249923706,0.29293251037597656,0.30246055126190186,0.09694210439920425
there,0.34822648763656616,0.29736605286598206,0.268879234790802,0.16158394515514374,0.40669289231300354,0.47025805711746216,0.21124441921710968,0.29405656456947327
.,0.475719153881073,0.35288307070732117,0.3321150243282318,0.2718521058559418,0.4645031690597534,0.5934505462646484,0.2287112921476364,0.4130953550338745
