,where,did,aristotle,believe,the,natural,place,for,earth,and,water,elements,?
aristotle,0.20458832383155823,0.16725905239582062,1.0000001192092896,0.241163432598114,0.1415858268737793,0.20537060499191284,0.11070989072322845,0.13349127769470215,0.29153817892074585,0.21236920356750488,0.16165651381015778,0.18464519083499908,0.129203200340271
believed,0.24182157218456268,0.3807709813117981,0.2945721447467804,0.6664041876792908,0.324635773897171,0.16169537603855133,0.18262122571468353,0.212932750582695,0.21996000409126282,0.280531644821167,0.25237250328063965,0.17491760849952698,0.17606885731220245
that,0.4876193106174469,0.47518548369407654,0.30206596851348877,0.533393383026123,0.5473989248275757,0.23673862218856812,0.32320237159729004,0.4137635827064514,0.33014219999313354,0.4731321930885315,0.3326379060745239,0.30113428831100464,0.32716336846351624
motionless,0.2790798246860504,0.13273070752620697,0.19552789628505707,0.1896173357963562,0.288786917924881,0.22535564005374908,0.21151040494441986,0.25807130336761475,0.36357107758522034,0.2443142980337143,0.34144458174705505,0.21709690988063812,0.3040981888771057
objects,0.27781185507774353,0.16254889965057373,0.277997761964798,0.272759348154068,0.24716724455356598,0.2560039758682251,0.19697655737400055,0.240665465593338,0.4236848056316376,0.2794862985610962,0.27183642983436584,0.4106591045856476,0.15479016304016113
on,0.37630224227905273,0.2670976221561432,0.1333668828010559,0.2112082839012146,0.5107308030128479,0.23858477175235748,0.32431602478027344,0.36199691891670227,0.20645220577716827,0.4077630043029785,0.18117135763168335,0.17918545007705688,0.2714994251728058
earth,0.23126177489757538,0.15510493516921997,0.29153817892074585,0.22558200359344482,0.2801888585090637,0.25525230169296265,0.242840975522995,0.20491120219230652,1.0,0.27524080872535706,0.3175065517425537,0.30537623167037964,0.17717236280441284
",",0.3149496018886566,0.3015086054801941,0.21875548362731934,0.2459280639886856,0.4933079481124878,0.30864179134368896,0.34068408608436584,0.4464869201183319,0.23186853528022766,0.6633074283599854,0.26706066727638245,0.2555456757545471,0.31091248989105225
those,0.3665519058704376,0.38519078493118286,0.2504408061504364,0.38271039724349976,0.42861196398735046,0.21076731383800507,0.2736439108848572,0.3446582555770874,0.2484724223613739,0.43169310688972473,0.20918156206607819,0.27261391282081604,0.3328189253807068
composed,0.13344234228134155,0.15944603085517883,0.08953800052404404,0.08784348517656326,0.21816956996917725,0.12920135259628296,0.02809246815741062,0.21257592737674713,0.17983998358249664,0.25432297587394714,0.11453510820865631,0.29361823201179504,0.0784355029463768
mostly,0.33554813265800476,0.20761212706565857,0.15265780687332153,0.23249593377113342,0.3490641117095947,0.189846932888031,0.21106989681720734,0.3518475294113159,0.1965077668428421,0.45551156997680664,0.21541106700897217,0.15742293000221252,0.09124795347452164
of,0.38066378235816956,0.2513895630836487,0.22867590188980103,0.2925758957862854,0.733189046382904,0.2963479459285736,0.2685627043247223,0.4185989499092102,0.2329314798116684,0.5116966962814331,0.2741255462169647,0.23613712191581726,0.1826142966747284
the,0.5003893971443176,0.34736719727516174,0.1415858268737793,0.2972484529018402,1.0,0.2291368842124939,0.4179787337779999,0.4739971458911896,0.2801888585090637,0.5171257257461548,0.297396719455719,0.22297804057598114,0.22068053483963013
elements,0.21226710081100464,0.14570437371730804,0.18464519083499908,0.17187857627868652,0.22297804057598114,0.22002676129341125,0.1992223858833313,0.21664150059223175,0.30537623167037964,0.2731180787086487,0.20951899886131287,1.0000001192092896,0.15222592651844025
earth,0.23126177489757538,0.15510493516921997,0.29153817892074585,0.22558200359344482,0.2801888585090637,0.25525230169296265,0.242840975522995,0.20491120219230652,1.0,0.27524080872535706,0.3175065517425537,0.30537623167037964,0.17717236280441284
and,0.43859338760375977,0.34479495882987976,0.21236920356750488,0.29652947187423706,0.5171257257461548,0.3004496097564697,0.2813849449157715,0.5064792633056641,0.27524080872535706,1.0,0.3054247498512268,0.2731180787086487,0.20544172823429108
water,0.2081080675125122,0.1909485161304474,0.16165651381015778,0.1952075958251953,0.297396719455719,0.2544097602367401,0.21284803748130798,0.189085453748703,0.3175065517425537,0.3054247498512268,0.9999998807907104,0.20951899886131287,0.14731885492801666
