,what,is,another,name,for,the,west,side,of,fresno,?
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,1.0,0.32918402552604675,0.37146830558776855,0.733189046382904,0.22571885585784912,0.22068053483963013
``,0.008517155423760414,0.058766357600688934,0.06123349070549011,0.1001104861497879,0.01270448137074709,0.029072100296616554,0.07479795068502426,0.02200741320848465,0.06780257821083069,0.05810604989528656,0.0685480609536171
west,0.1946573108434677,0.25201764702796936,0.16636788845062256,0.1751140058040619,0.17698325216770172,0.32918402552604675,1.0,0.31045854091644287,0.2891985774040222,0.2787109911441803,0.12088293582201004
side,0.2532914876937866,0.27624061703681946,0.2786620855331421,0.13782621920108795,0.14891928434371948,0.37146830558776855,0.31045854091644287,1.0,0.2452700436115265,0.2175837755203247,0.07831130921840668
'',0.08143015950918198,0.0793738141655922,0.0015353172784671187,0.003883055876940489,-0.04479556903243065,0.041273195296525955,0.013031438924372196,0.04956745356321335,0.13035868108272552,0.00738918874412775,0.018684765323996544
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.24075818061828613,0.4185989499092102,0.733189046382904,0.2891985774040222,0.2452700436115265,1.0,0.1875009983778,0.1826142966747284
fresno,0.159109428524971,0.2127077877521515,0.13304947316646576,0.17195947468280792,0.17504577338695526,0.22571885585784912,0.2787109911441803,0.2175837755203247,0.1875009983778,1.0000001192092896,0.13224096596240997
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.28857502341270447,0.24522119760513306,0.4946078956127167,0.2561432421207428,0.31091248989105225
also,0.42747777700424194,0.5012649297714233,0.4885459244251251,0.34663957357406616,0.5373267531394958,0.6021018624305725,0.25940629839897156,0.30676403641700745,0.4924938678741455,0.2253323197364807,0.21848613023757935
often,0.3849453330039978,0.3856629431247711,0.3346259295940399,0.15621964633464813,0.37495917081832886,0.38004449009895325,0.14431533217430115,0.2745130658149719,0.3351972997188568,0.17762219905853271,0.23748154938220978
called,0.3235960602760315,0.430266410112381,0.4362754225730896,0.30947911739349365,0.29870352149009705,0.489897221326828,0.1848684400320053,0.2423306107521057,0.4222904443740845,0.2189018428325653,0.18963319063186646
``,0.008517155423760414,0.058766357600688934,0.06123349070549011,0.1001104861497879,0.01270448137074709,0.029072100296616554,0.07479795068502426,0.02200741320848465,0.06780257821083069,0.05810604989528656,0.0685480609536171
southwest,0.17507365345954895,0.26429513096809387,0.12383527308702469,0.19077159464359283,0.10577867925167084,0.2974209487438202,0.6194190979003906,0.1663774698972702,0.2579437494277954,0.25223955512046814,0.11322080343961716
fresno,0.159109428524971,0.2127077877521515,0.13304947316646576,0.17195947468280792,0.17504577338695526,0.22571885585784912,0.2787109911441803,0.2175837755203247,0.1875009983778,1.0000001192092896,0.13224096596240997
'',0.08143015950918198,0.0793738141655922,0.0015353172784671187,0.003883055876940489,-0.04479556903243065,0.041273195296525955,0.013031438924372196,0.04956745356321335,0.13035868108272552,0.00738918874412775,0.018684765323996544
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.28857502341270447,0.24522119760513306,0.4946078956127167,0.2561432421207428,0.31091248989105225
is,0.28837618231773376,1.0,0.41278526186943054,0.3359788954257965,0.43268078565597534,0.5823672413825989,0.25201764702796936,0.27624061703681946,0.4854315221309662,0.2127077877521515,0.22961433231830597
one,0.376489520072937,0.4544198513031006,0.5444791913032532,0.27018114924430847,0.384836345911026,0.5514441132545471,0.2184508889913559,0.2901005446910858,0.4999135136604309,0.1632690131664276,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.24075818061828613,0.4185989499092102,0.733189046382904,0.2891985774040222,0.2452700436115265,1.0,0.1875009983778,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,1.0,0.32918402552604675,0.37146830558776855,0.733189046382904,0.22571885585784912,0.22068053483963013
oldest,0.12504005432128906,0.3135911226272583,0.19743795692920685,0.14531870186328888,0.16757676005363464,0.30836519598960876,0.20529991388320923,0.12176981568336487,0.33351290225982666,0.15427438914775848,0.14864160120487213
neighborhoods,0.14153429865837097,0.1998712420463562,0.13077062368392944,0.13491161167621613,0.16354502737522125,0.21224050223827362,0.25482046604156494,0.19335870444774628,0.18215446174144745,0.2985343933105469,0.09573350846767426
in,0.30808621644973755,0.5394441485404968,0.3397690951824188,0.2459065467119217,0.4322226941585541,0.6662389636039734,0.34078434109687805,0.2626299262046814,0.5696388483047485,0.26126348972320557,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.3171212375164032,0.4739971458911896,1.0,0.32918402552604675,0.37146830558776855,0.733189046382904,0.22571885585784912,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.14786472916603088,0.22892655432224274,0.18687109649181366,0.35769423842430115,0.37476465106010437,0.16394010186195374,0.32503411173820496,0.2780216634273529,0.13423943519592285
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.24737101793289185,0.4726039469242096,0.5934505462646484,0.2804967761039734,0.3030071258544922,0.5352458953857422,0.2480216920375824,0.4130953550338745
