,the,umc,condemns,what,type,of,punishment,?
the,1.0,0.21262750029563904,0.2421407252550125,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2503047287464142,0.22068053483963013
united,0.34367692470550537,0.1928277611732483,0.22260287404060364,0.20036718249320984,0.14191332459449768,0.3187655806541443,0.19906409084796906,0.17266890406608582
methodist,0.21922016143798828,0.2650960683822632,0.30605727434158325,0.17637217044830322,0.0813259556889534,0.28458893299102783,0.10906179249286652,0.1436992734670639
church,0.23846197128295898,0.20494024455547333,0.37012484669685364,0.1944202184677124,0.06279973685741425,0.3079429268836975,0.11263202875852585,0.18081501126289368
",",0.4933079481124878,0.1953766793012619,0.20811358094215393,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2216428816318512,0.31091248989105225
along,0.39495137333869934,0.12356443703174591,0.1325143724679947,0.22421957552433014,0.054106924682855606,0.34889817237854004,0.10970427095890045,0.17134909331798553
with,0.4223487675189972,0.11891178786754608,0.1940648853778839,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.14433805644512177,0.2433311939239502
other,0.44152235984802246,0.20790895819664001,0.2178407907485962,0.341873437166214,0.2522227168083191,0.38583824038505554,0.25079578161239624,0.24682199954986572
methodist,0.21922016143798828,0.2650960683822632,0.30605727434158325,0.17637217044830322,0.0813259556889534,0.28458893299102783,0.10906179249286652,0.1436992734670639
churches,0.2626241147518158,0.2951754331588745,0.43343108892440796,0.17877253890037537,0.10238692164421082,0.29080384969711304,0.1424081027507782,0.19824735820293427
",",0.4933079481124878,0.1953766793012619,0.20811358094215393,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2216428816318512,0.31091248989105225
condemns,0.2421407252550125,0.2080952376127243,1.0,0.22621285915374756,0.07475268840789795,0.2543969452381134,0.35103070735931396,0.21374772489070892
capital,0.3049491047859192,0.1499861776828766,0.18354074656963348,0.17967931926250458,0.14035964012145996,0.30823585391044617,0.2934531569480896,0.0907452180981636
punishment,0.2503047287464142,0.14321526885032654,0.35103070735931396,0.31300443410873413,0.11259355396032333,0.2056395560503006,1.0000001192092896,0.23842233419418335
",",0.4933079481124878,0.1953766793012619,0.20811358094215393,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2216428816318512,0.31091248989105225
saying,0.30105578899383545,0.252700537443161,0.3591121435165405,0.5164517760276794,0.1232905387878418,0.2578328251838684,0.34146302938461304,0.36382168531417847
that,0.5473989248275757,0.26325681805610657,0.2547858655452728,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.35341644287109375,0.32716336846351624
it,0.6251175999641418,0.2123039811849594,0.1573537439107895,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.24223963916301727,0.25732165575027466
can,0.312528520822525,0.19740550220012665,0.14746345579624176,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.18762408196926117,0.3226337134838104
not,0.4310511648654938,0.2476341724395752,0.26855579018592834,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.34782421588897705,0.41942933201789856
accept,0.22203093767166138,0.21375787258148193,0.303531676530838,0.40259191393852234,0.15721255540847778,0.2346213310956955,0.24772173166275024,0.2590680420398712
retribution,0.23835326731204987,0.1365210860967636,0.3319857120513916,0.2727534770965576,0.09969192743301392,0.26131629943847656,0.3648707866668701,0.23311065137386322
or,0.4174870550632477,0.2574913501739502,0.1893380582332611,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.23232755064964294,0.32389625906944275
social,0.21797899901866913,0.16849955916404724,0.2591949701309204,0.22217629849910736,0.10143082588911057,0.2605111300945282,0.22255264222621918,0.1615191102027893
vengeance,0.21740618348121643,0.15420059859752655,0.1962375044822693,0.29002252221107483,0.1571042686700821,0.144492968916893,0.29736486077308655,0.23366034030914307
as,0.48381632566452026,0.24607859551906586,0.17717990279197693,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.24531997740268707,0.27043893933296204
a,0.5829201340675354,0.19728222489356995,0.17792290449142456,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1934642344713211,0.23916715383529663
reason,0.29647648334503174,0.18051369488239288,0.20229309797286987,0.3762516975402832,0.2534213364124298,0.23645815253257751,0.25018009543418884,0.3403966724872589
for,0.4739971458911896,0.20637543499469757,0.18065552413463593,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.25197941064834595,0.264628142118454
taking,0.32714390754699707,0.1426880806684494,0.13912785053253174,0.24635453522205353,0.14883960783481598,0.29240402579307556,0.19488364458084106,0.19960761070251465
human,0.3103327453136444,0.14736421406269073,0.2858259081840515,0.24243313074111938,0.11649816483259201,0.3083189129829407,0.28283625841140747,0.19748784601688385
life,0.23528170585632324,0.10305339097976685,0.21444742381572723,0.24693015217781067,0.15995503962039948,0.2788603901863098,0.26609691977500916,0.21677987277507782
.,0.5934505462646484,0.23154163360595703,0.16527444124221802,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24320337176322937,0.4130953550338745
