,when,did,the,channel,4,documentary,undercover,mosque,air,?
their,0.3682888448238373,0.38078752160072327,0.516537070274353,0.22335146367549896,0.028113318607211113,0.174173966050148,0.262023389339447,0.1085081472992897,0.18326234817504883,0.1898253709077835
presence,0.27367129921913147,0.16884823143482208,0.34114351868629456,0.29151561856269836,0.10556767135858536,0.2316035032272339,0.12718816101551056,0.1451704502105713,0.246856689453125,0.08592845499515533
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.18730267882347107,0.15652385354042053,0.1999746561050415,0.29429706931114197,0.1946001648902893,0.24731357395648956,0.31091248989105225
combined,0.2209634631872177,0.17568819224834442,0.3713363707065582,0.12023507058620453,0.06584460288286209,0.10336575657129288,0.12603624165058136,0.10110155493021011,0.24181336164474487,0.17985320091247559
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.17526158690452576,0.06829915195703506,0.1636398285627365,0.2483493685722351,0.11884912103414536,0.2050205022096634,0.2433311939239502
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.20914222300052643,0.08102071285247803,0.2067284882068634,0.27511414885520935,0.20401568710803986,0.23199330270290375,0.23916715383529663
perceived,0.26000192761421204,0.25820109248161316,0.2552545368671417,0.15467461943626404,0.0038217129185795784,0.16618172824382782,0.22576001286506653,0.17965097725391388,0.15633364021778107,0.20685844123363495
british,0.1642608791589737,0.2039594054222107,0.28973397612571716,0.20009437203407288,0.21945321559906006,0.19376997649669647,0.2647111415863037,0.12324409186840057,0.14075690507888794,0.09711728990077972
policy,0.20549920201301575,0.2751549482345581,0.2358427494764328,0.16278783977031708,0.03304165229201317,0.1839994490146637,0.16793416440486908,0.1639081984758377,0.12787315249443054,0.30462446808815
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.1671900898218155,0.17227263748645782,0.2168540358543396,0.25310128927230835,0.2035342901945114,0.24196814000606537,0.1826142966747284
allowing,0.3974039554595947,0.34487593173980713,0.3440283536911011,0.21412107348442078,0.060513388365507126,0.11474721133708954,0.20450036227703094,0.1551358699798584,0.21077902615070343,0.1434045135974884
them,0.4773717522621155,0.44189682602882385,0.4788833558559418,0.17960935831069946,0.021995490416884422,0.1635681390762329,0.25887587666511536,0.16428716480731964,0.23022675514221191,0.35435691475868225
free,0.25120967626571655,0.1839899867773056,0.22231732308864594,0.14319375157356262,-0.00378427910618484,0.19225502014160156,0.17012731730937958,0.09163107722997665,0.24562489986419678,0.1278279572725296
rein,0.1391112506389618,0.13298483192920685,0.23112499713897705,0.15207745134830475,0.26341429352760315,0.28661394119262695,0.2565251588821411,0.14297893643379211,0.18534031510353088,0.19597680866718292
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.18730267882347107,0.15652385354042053,0.1999746561050415,0.29429706931114197,0.1946001648902893,0.24731357395648956,0.31091248989105225
heightened,0.3090173900127411,0.17703397572040558,0.2489657998085022,0.12840041518211365,-0.0038420106284320354,0.12702755630016327,0.211626335978508,0.2541070878505707,0.14455093443393707,0.10206233710050583
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.20094449818134308,0.14685025811195374,0.2117004692554474,0.22120259702205658,0.1553811877965927,0.19110813736915588,0.17966607213020325
exposés,0.3017207980155945,0.20178714394569397,0.2885580360889435,0.14739498496055603,0.1737055480480194,0.279299259185791,0.38564184308052063,0.2624642252922058,0.24373309314250946,0.17694152891635895
such,0.27679547667503357,0.24497397243976593,0.3575236201286316,0.15162293612957,-0.07235219329595566,0.12371816486120224,0.18539246916770935,0.09595250338315964,0.20415931940078735,0.17851735651493073
