,what,city,has,the,biggest,port,in,germany,?
one,0.376489520072937,0.26093539595603943,0.43032392859458923,0.5514441132545471,0.3640386462211609,0.1711154729127884,0.4129433035850525,0.22185970842838287,0.2673267424106598
of,0.33290785551071167,0.32503411173820496,0.3909035325050354,0.733189046382904,0.35091954469680786,0.19644224643707275,0.5696388483047485,0.2942050099372864,0.1826142966747284
the,0.42745697498321533,0.35769423842430115,0.4177538752555847,1.0,0.3799763321876526,0.2648184895515442,0.6662389636039734,0.3181285262107849,0.22068053483963013
most,0.3219912350177765,0.24853192269802094,0.3426419198513031,0.47635307908058167,0.38048669695854187,0.20258133113384247,0.41416558623313904,0.2064732164144516,0.2107497900724411
important,0.31164905428886414,0.28580164909362793,0.2858242392539978,0.39348116517066956,0.36795347929000854,0.25493890047073364,0.3796374499797821,0.17751094698905945,0.17812499403953552
cities,0.161918506026268,0.5864919424057007,0.17986084520816803,0.2621172070503235,0.2907434403896332,0.3371402621269226,0.32293570041656494,0.24065124988555908,0.13339310884475708
in,0.30808621644973755,0.3911624252796173,0.4173259735107422,0.6662389636039734,0.33434951305389404,0.20519298315048218,1.0,0.3642844259738922,0.20430970191955566
this,0.5489566326141357,0.18438997864723206,0.4198763072490692,0.6274310946464539,0.2541190981864929,0.16663701832294464,0.45205554366111755,0.23882482945919037,0.3155723512172699
region,0.2298986315727234,0.38168054819107056,0.18160095810890198,0.35020557045936584,0.27708670496940613,0.29033759236335754,0.3524819314479828,0.19784685969352722,0.13441751897335052
is,0.28837618231773376,0.3186660706996918,0.5668748617172241,0.5823672413825989,0.3216690123081207,0.26270607113838196,0.5394441485404968,0.2201172411441803,0.22961433231830597
duisburg,0.144659623503685,0.37614569067955017,0.12951664626598358,0.2369861900806427,0.21843865513801575,0.21899282932281494,0.254626601934433,0.4774593114852905,0.18542204797267914
with,0.2464839518070221,0.19554263353347778,0.44092974066734314,0.4223487675189972,0.20545731484889984,0.15417149662971497,0.4080928862094879,0.19588488340377808,0.2433311939239502
the,0.42745697498321533,0.35769423842430115,0.4177538752555847,1.0,0.3799763321876526,0.2648184895515442,0.6662389636039734,0.3181285262107849,0.22068053483963013
largest,0.13463157415390015,0.3647192716598511,0.24081888794898987,0.3757036626338959,0.737842857837677,0.216330423951149,0.3017216920852661,0.19323766231536865,0.12401245534420013
river,0.13815869390964508,0.3428632318973541,0.19486697018146515,0.2894456386566162,0.180319145321846,0.31388694047927856,0.2149806171655655,0.13062797486782074,0.15390869975090027
port,0.1327695995569229,0.39055103063583374,0.20369522273540497,0.2648184895515442,0.21934820711612701,1.0,0.20519298315048218,0.10461851954460144,0.06519711017608643
in,0.30808621644973755,0.3911624252796173,0.4173259735107422,0.6662389636039734,0.33434951305389404,0.20519298315048218,1.0,0.3642844259738922,0.20430970191955566
europe,0.17179538309574127,0.1816747784614563,0.23662522435188293,0.34463706612586975,0.26912301778793335,0.15705451369285583,0.33061710000038147,0.44431573152542114,0.18278923630714417
(,0.2411840260028839,0.19590984284877777,0.2498389035463333,0.33289089798927307,0.13072092831134796,0.14913664758205414,0.3087427020072937,0.14963670074939728,0.40561532974243164
duisport,0.18405424058437347,0.33787766098976135,0.21894237399101257,0.19788454473018646,0.16965830326080322,0.4160591959953308,0.2707782983779907,0.27385252714157104,0.25885120034217834
),0.26259949803352356,0.2113075703382492,0.26944878697395325,0.3456730246543884,0.13579978048801422,0.14162464439868927,0.3326910734176636,0.16241523623466492,0.42300865054130554
.,0.3567904531955719,0.29856356978416443,0.4105546176433563,0.5934505462646484,0.23587781190872192,0.22629979252815247,0.5591574311256409,0.28498756885528564,0.4130953550338745
