,southern,california,'s,economy,can,be,described,as,one,of,the,largest,in,the,united,states,and,what,other,characteristic,?
southern,1.0,0.2983402609825134,0.02131068892776966,0.20250599086284637,0.0867943987250328,0.13618789613246918,0.062064096331596375,0.17950406670570374,0.18585622310638428,0.31933003664016724,0.3282862603664398,0.29432255029678345,0.3190481662750244,0.3282862603664398,0.2923206686973572,0.29004350304603577,0.24232792854309082,0.18679563701152802,0.22025135159492493,0.14449046552181244,0.11225555837154388
california,0.2983402609825134,1.0,-0.0475497767329216,0.11905400454998016,0.16841033101081848,0.17179958522319794,0.11838503926992416,0.1933012157678604,0.19388975203037262,0.24929828941822052,0.2750805914402008,0.1669350564479828,0.2772824168205261,0.2750805914402008,0.33969607949256897,0.3858724534511566,0.2441616654396057,0.1811584085226059,0.19346874952316284,0.11668804287910461,0.1409905105829239
's,0.02131068892776966,-0.0475497767329216,0.9999999403953552,0.05879175290465355,-0.02075597457587719,0.025217169895768166,-0.013899330981075764,-0.05775856226682663,0.06913424283266068,-0.03817026689648628,-0.01540423184633255,-0.02050611935555935,-0.037580832839012146,-0.01540423184633255,-0.03853745758533478,-0.004298824816942215,0.06895173341035843,0.02692362666130066,0.04445967823266983,-0.0215691439807415,-0.023395681753754616
economy,0.20250599086284637,0.11905400454998016,0.05879175290465355,1.0,0.14292535185813904,0.22250409424304962,0.13473917543888092,0.2277245819568634,0.18449002504348755,0.2583308815956116,0.24644890427589417,0.24516059458255768,0.2588731348514557,0.24644890427589417,0.1988813877105713,0.2084074169397354,0.26484790444374084,0.21764783561229706,0.19991272687911987,0.1509358286857605,0.11486924439668655
is,0.2419366091489792,0.20727038383483887,0.02396530658006668,0.2698528468608856,0.44256699085235596,0.4819129705429077,0.2517563998699188,0.43216490745544434,0.4544198513031006,0.4854315221309662,0.5823672413825989,0.3413417339324951,0.5394441485404968,0.5823672413825989,0.22408509254455566,0.21939043700695038,0.3859752118587494,0.28837618231773376,0.25895947217941284,0.2790224850177765,0.22961433231830597
diverse,0.18361937999725342,0.16634514927864075,0.027039075270295143,0.2779492437839508,0.23374123871326447,0.2016422301530838,0.314299076795578,0.24159374833106995,0.21698686480522156,0.27690666913986206,0.2793438136577606,0.32033151388168335,0.1994941383600235,0.2793438136577606,0.1859811246395111,0.19703161716461182,0.27046138048171997,0.18528151512145996,0.30704793334007263,0.3746126890182495,0.07389035075902939
and,0.24232792854309082,0.2441616654396057,0.06895173341035843,0.26484790444374084,0.3675691485404968,0.41766801476478577,0.2681671977043152,0.49487000703811646,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.24602696299552917,0.4954058527946472,0.5171257257461548,0.28213179111480713,0.2974761426448822,1.0,0.31309178471565247,0.5504306554794312,0.3171210289001465,0.20544172823429108
one,0.18585622310638428,0.19388975203037262,0.06913424283266068,0.18449002504348755,0.34032124280929565,0.4154875874519348,0.3081560432910919,0.3954789340496063,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.3001094460487366,0.4129433035850525,0.5514441132545471,0.28796783089637756,0.2856254577636719,0.42438167333602905,0.376489520072937,0.45956575870513916,0.2611638903617859,0.2673267424106598
of,0.31933003664016724,0.24929828941822052,-0.03817026689648628,0.2583308815956116,0.2603091299533844,0.33904364705085754,0.297532320022583,0.3886612355709076,0.4999135136604309,1.0,0.733189046382904,0.36650770902633667,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.5116966962814331,0.33290785551071167,0.38583824038505554,0.2943860590457916,0.1826142966747284
the,0.3282862603664398,0.2750805914402008,-0.01540423184633255,0.24644890427589417,0.312528520822525,0.4248143136501312,0.2878154516220093,0.48381632566452026,0.5514441132545471,0.733189046382904,1.0,0.3757036626338959,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.28210532665252686,0.22068053483963013
