,what,sin,were,the,leaders,the,extremists,attacked,guilty,of,?
unlike,0.25655338168144226,0.1984948068857193,0.3421386480331421,0.35607239603996277,0.18320754170417786,0.35607239603996277,0.26101401448249817,0.18174922466278076,0.10382606089115143,0.34768372774124146,0.12876726686954498
earlier,0.22624605894088745,0.09409920871257782,0.31243637204170227,0.26843780279159546,0.1499727964401245,0.26843780279159546,0.16632609069347382,0.1817481517791748,0.2160143405199051,0.27635854482650757,0.13306351006031036
anti-colonial,0.21838143467903137,0.16564379632472992,0.27277374267578125,0.3057573139667511,0.2828024923801422,0.3057573139667511,0.2771575152873993,0.21668490767478943,0.17201359570026398,0.3440152406692505,0.1794319450855255
movements,0.23197974264621735,0.04225334897637367,0.23067548871040344,0.31594985723495483,0.34657353162765503,0.31594985723495483,0.3917480409145355,0.1641317754983902,0.0726301372051239,0.24170123040676117,0.1501890867948532
the,0.42745697498321533,0.18401655554771423,0.3906462490558624,1.0,0.3157886564731598,1.0,0.3279869258403778,0.27774572372436523,0.17396102845668793,0.733189046382904,0.22068053483963013
extremist,0.2331146001815796,0.14853733777999878,0.24144823849201202,0.2740326523780823,0.41452065110206604,0.2740326523780823,0.8533763289451599,0.3519548773765564,0.2911102771759033,0.24641986191272736,0.14525245130062103
group,0.2114069163799286,0.09727683663368225,0.2810588777065277,0.30795547366142273,0.2872234880924225,0.30795547366142273,0.3714500963687897,0.23992016911506653,0.11379043757915497,0.25542253255844116,0.13827809691429138
directed,0.1783117949962616,0.21225713193416595,0.14666499197483063,0.21284286677837372,0.12368592619895935,0.21284286677837372,0.2092786282300949,0.26277613639831543,0.23408208787441254,0.14901293814182281,0.1359327733516693
its,0.30393704771995544,0.12794065475463867,0.20452921092510223,0.559237003326416,0.1226489469408989,0.559237003326416,0.23253506422042847,0.12933816015720367,0.07089263200759888,0.48690423369407654,0.15103481709957123
attacks,0.19946885108947754,0.10309143364429474,0.2431853711605072,0.2845265567302704,0.22898580133914948,0.2845265567302704,0.41503289341926575,0.6332329511642456,0.23332293331623077,0.18891674280166626,0.14532065391540527
against,0.24561616778373718,0.21486760675907135,0.2829659581184387,0.3090755045413971,0.26796412467956543,0.3090755045413971,0.3561858534812927,0.3889724314212799,0.30651167035102844,0.2669808566570282,0.18095137178897858
what,0.9999998807907104,0.2028670310974121,0.22298263013362885,0.42745697498321533,0.2629711329936981,0.42745697498321533,0.3039838373661041,0.1623094528913498,0.2844175100326538,0.33290785551071167,0.5051238536834717
it,0.45803478360176086,0.20607715845108032,0.25487732887268066,0.6251175999641418,0.1517004817724228,0.6251175999641418,0.2364528328180313,0.18903449177742004,0.21016354858875275,0.38761502504348755,0.25732165575027466
believed,0.32626157999038696,0.25002986192703247,0.35804519057273865,0.324635773897171,0.3411756753921509,0.324635773897171,0.38868066668510437,0.2690506875514984,0.23246735334396362,0.2945859134197235,0.17606885731220245
were,0.22298263013362885,0.0605660155415535,1.0000001192092896,0.3906462490558624,0.33411720395088196,0.3906462490558624,0.33105751872062683,0.33864057064056396,0.16493947803974152,0.34038281440734863,0.17890112102031708
``,0.008517155423760414,0.0677720159292221,0.006090171169489622,0.029072100296616554,0.05010681226849556,0.029072100296616554,0.11456272006034851,0.06302756816148758,-0.01962808147072792,0.06780257821083069,0.0685480609536171
apostate,0.2158070206642151,0.1852979212999344,0.0806383490562439,0.23570898175239563,0.26792851090431213,0.23570898175239563,0.2829720377922058,0.12058444321155548,0.24985451996326447,0.28060662746429443,0.1807953119277954
'',0.08143015950918198,0.027544500306248665,0.007215402089059353,0.041273195296525955,0.03726577013731003,0.041273195296525955,-0.026027332991361618,-0.06608741730451584,-0.003525231033563614,0.13035868108272552,0.018684765323996544
leaders,0.2629711329936981,0.18270425498485565,0.33411720395088196,0.3157886564731598,1.0,0.3157886564731598,0.4865788519382477,0.2459375411272049,0.22023047506809235,0.2602892220020294,0.13927052915096283
of,0.33290785551071167,0.1845542937517166,0.34038281440734863,0.733189046382904,0.2602892220020294,0.733189046382904,0.27835696935653687,0.1974567323923111,0.15539902448654175,1.0,0.1826142966747284
muslim,0.2631456255912781,0.20862236618995667,0.21627043187618256,0.28099653124809265,0.35802891850471497,0.28099653124809265,0.4662037789821625,0.14872069656848907,0.15431322157382965,0.267849862575531,0.17456822097301483
states,0.21526020765304565,0.09161068499088287,0.19797217845916748,0.3463578522205353,0.23323588073253632,0.3463578522205353,0.22639580070972443,0.13696609437465668,0.1991320252418518,0.30884552001953125,0.16272737085819244
",",0.3087472915649414,0.19355511665344238,0.36755475401878357,0.4933079481124878,0.21003474295139313,0.4933079481124878,0.20946316421031952,0.26381224393844604,0.23272031545639038,0.4946078956127167,0.31091248989105225
leaders,0.2629711329936981,0.18270425498485565,0.33411720395088196,0.3157886564731598,1.0,0.3157886564731598,0.4865788519382477,0.2459375411272049,0.22023047506809235,0.2602892220020294,0.13927052915096283
