,what,might,also,be,required,of,a,teacher,to,pass,",",in,addition,to,certification,?
in,0.30808621644973755,0.26443570852279663,0.5073733329772949,0.3481820821762085,0.20162324607372284,0.5696388483047485,0.539380669593811,0.22632350027561188,0.45010748505592346,0.18748411536216736,0.5201468467712402,1.0,0.3033084571361542,0.45010748505592346,0.20362921059131622,0.20430970191955566
addition,0.20643717050552368,0.2897281348705292,0.4427105188369751,0.34787413477897644,0.36121031641960144,0.27503931522369385,0.2617819607257843,0.15092501044273376,0.29394859075546265,0.13707277178764343,0.3040202856063843,0.3033084571361542,1.0,0.29394859075546265,0.288269579410553,0.19187232851982117
to,0.455847829580307,0.5153919458389282,0.5348826050758362,0.4972836375236511,0.3613971471786499,0.41548454761505127,0.45503583550453186,0.1991342306137085,1.0,0.28446894884109497,0.44245919585227966,0.45010748505592346,0.29394859075546265,1.0,0.19069352746009827,0.29463258385658264
certification,0.17934301495552063,0.152298703789711,0.21695199608802795,0.21215490996837616,0.3822140097618103,0.23614463210105896,0.24446265399456024,0.2183842957019806,0.19069352746009827,0.21171733736991882,0.2424149215221405,0.20362921059131622,0.288269579410553,0.19069352746009827,1.0,0.2274744212627411
",",0.3087472915649414,0.2533247768878937,0.4717654287815094,0.39254459738731384,0.22653338313102722,0.4946078956127167,0.427140474319458,0.2884024977684021,0.44245919585227966,0.22301842272281647,1.0000001192092896,0.5201468467712402,0.3040202856063843,0.44245919585227966,0.2424149215221405,0.31091248989105225
many,0.36131182312965393,0.40663015842437744,0.6258217096328735,0.3961109519004822,0.24403242766857147,0.37253960967063904,0.2872205972671509,0.16581547260284424,0.40243685245513916,0.16345158219337463,0.40610817074775696,0.41474202275276184,0.3811662197113037,0.40243685245513916,0.20836777985095978,0.2124512493610382
educational,0.2158561795949936,0.2586824893951416,0.28919923305511475,0.23227958381175995,0.25791600346565247,0.3187834620475769,0.25668084621429443,0.3756338655948639,0.28994840383529663,0.12669678032398224,0.27889060974121094,0.29241177439689636,0.24647507071495056,0.28994840383529663,0.3868962824344635,0.20904642343521118
institutions,0.22018329799175262,0.250043660402298,0.2620064616203308,0.23006395995616913,0.24757006764411926,0.3371490240097046,0.20288343727588654,0.24004051089286804,0.21708254516124725,0.10380399972200394,0.25403106212615967,0.2592448890209198,0.23491577804088593,0.21708254516124725,0.34388479590415955,0.19119486212730408
especially,0.3590192496776581,0.3831099569797516,0.4825287461280823,0.36800456047058105,0.27938809990882874,0.37220633029937744,0.3264579772949219,0.22534964978694916,0.37744608521461487,0.21417075395584106,0.3689771592617035,0.3526567816734314,0.402299165725708,0.37744608521461487,0.1728350818157196,0.19751401245594025
within,0.2498195916414261,0.288436621427536,0.2688477635383606,0.29054832458496094,0.3000641465187073,0.39594778418540955,0.3858051896095276,0.103411003947258,0.34980177879333496,0.17448577284812927,0.2513136863708496,0.40576374530792236,0.24620594084262848,0.34980177879333496,0.18564970791339874,0.1870293766260147
