,how,much,british,military,was,in,north,america,at,start,of,war,?
at,0.2154216170310974,0.23158283531665802,0.21751968562602997,0.17305372655391693,0.36707764863967896,0.4374977946281433,0.2535056173801422,0.1539384126663208,1.0,0.3116826117038727,0.42558613419532776,0.23910050094127655,0.21978627145290375
the,0.33890387415885925,0.35023224353790283,0.28973397612571716,0.2290858030319214,0.48711544275283813,0.6662389636039734,0.36298373341560364,0.37090015411376953,0.457212895154953,0.3656389117240906,0.733189046382904,0.366199791431427,0.22068053483963013
start,0.29369035363197327,0.2591973543167114,0.1395164579153061,0.12376287579536438,0.20079405605793,0.29979339241981506,0.18893708288669586,0.19595599174499512,0.3116826117038727,0.9999999403953552,0.23166994750499725,0.22081641852855682,0.26634979248046875
of,0.2480744868516922,0.2671096920967102,0.23701532185077667,0.27347031235694885,0.4069072902202606,0.5696388483047485,0.3604778051376343,0.28803038597106934,0.42558613419532776,0.23166994750499725,1.0,0.31680163741111755,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.28973397612571716,0.2290858030319214,0.48711544275283813,0.6662389636039734,0.36298373341560364,0.37090015411376953,0.457212895154953,0.3656389117240906,0.733189046382904,0.366199791431427,0.22068053483963013
war,0.22947508096694946,0.19383686780929565,0.3060368299484253,0.46499648690223694,0.3560331463813782,0.29904094338417053,0.2980347275733948,0.23212303221225739,0.23910050094127655,0.22081641852855682,0.31680163741111755,1.0000001192092896,0.15510529279708862
",",0.22659391164779663,0.36182254552841187,0.25734075903892517,0.2611614465713501,0.45456063747406006,0.5201468467712402,0.31834840774536133,0.253568559885025,0.38314947485923767,0.2934366464614868,0.4946078956127167,0.2671184241771698,0.31091248989105225
no,0.2603875398635864,0.3037329912185669,0.09040936827659607,0.12474627047777176,0.19955526292324066,0.24372287094593048,0.0986899584531784,0.13575398921966553,0.203653946518898,0.22338111698627472,0.24809792637825012,0.15743450820446014,0.32165053486824036
french,0.14884154498577118,0.1541515290737152,0.43574923276901245,0.23023447394371033,0.2523815333843231,0.22093388438224792,0.14223402738571167,0.15473008155822754,0.17825756967067719,0.15454748272895813,0.19450366497039795,0.2536753714084625,0.1386883556842804
regular,0.2358456701040268,0.2605017125606537,0.19160345196723938,0.14852802455425262,0.15137939155101776,0.23172755539417267,0.154256671667099,0.17321030795574188,0.25247499346733093,0.29863178730010986,0.22916868329048157,0.15607576072216034,0.18334713578224182
