,which,retired,ref,disagreed,with,the,outcome,of,the,challenge,of,a,incomplete,pass,?
cbs,0.18413257598876953,0.22092489898204803,0.18222084641456604,0.18952812254428864,0.20131054520606995,0.2283918708562851,0.16600258648395538,0.16151919960975647,0.2283918708562851,0.2013760656118393,0.16151919960975647,0.16314536333084106,0.1478850096464157,0.07778449356555939,0.14594407379627228
analyst,0.20005472004413605,0.2949618399143219,0.19732020795345306,0.20780888199806213,0.14874672889709473,0.24423721432685852,0.222528874874115,0.15686160326004028,0.24423721432685852,0.1962461918592453,0.15686160326004028,0.25531309843063354,0.16197101771831512,0.17997388541698456,0.14693133533000946
and,0.506277859210968,0.17111437022686005,0.2148706465959549,0.2884655296802521,0.5477725267410278,0.5171257257461548,0.17887553572654724,0.5116966962814331,0.5171257257461548,0.18762853741645813,0.5116966962814331,0.3739250600337982,0.22793281078338623,0.2433357536792755,0.20544172823429108
retired,0.08150959759950638,1.0,0.16816885769367218,0.23230361938476562,0.13367979228496552,0.1808674931526184,0.16128280758857727,0.15906205773353577,0.1808674931526184,0.20937971770763397,0.15906205773353577,0.2141808271408081,0.11695950478315353,0.07214046269655228,0.16394437849521637
referee,0.08451035618782043,0.23311969637870789,0.345987468957901,0.17165476083755493,0.1615763008594513,0.12151769548654556,0.14143098890781403,0.060054514557123184,0.12151769548654556,0.2302197962999344,0.060054514557123184,0.12235228717327118,0.09591933339834213,0.11870309710502625,0.12022203952074051
mike,0.1683032363653183,0.22032508254051208,0.1788480132818222,0.20180992782115936,0.12550413608551025,0.1855325549840927,0.08874441683292389,0.08880706131458282,0.1855325549840927,0.1562473326921463,0.08880706131458282,0.2168344259262085,0.21237510442733765,0.11334234476089478,0.1076895147562027
carey,0.19797782599925995,0.2755061089992523,0.15705659985542297,0.17576029896736145,0.20186108350753784,0.2215646356344223,0.18524169921875,0.16527409851551056,0.2215646356344223,0.1296810507774353,0.16527409851551056,0.17652100324630737,0.15709874033927917,0.08024220168590546,0.1994398981332779
stated,0.2548240125179291,0.15469367802143097,0.20124037563800812,0.43642449378967285,0.23135985434055328,0.2814950942993164,0.31136414408683777,0.22148488461971283,0.2814950942993164,0.2702030539512634,0.22148488461971283,0.22154705226421356,0.2759929597377777,0.1481345295906067,0.24280361831188202
he,0.3415409028530121,0.3944415748119354,0.11959268897771835,0.316374808549881,0.2845253646373749,0.4571082592010498,0.18704186379909515,0.38706058263778687,0.4571082592010498,0.25362417101860046,0.38706058263778687,0.4393508732318878,0.14080755412578583,0.11830402165651321,0.2089974731206894
disagreed,0.22476699948310852,0.23230361938476562,0.1746261864900589,1.0000001192092896,0.30821868777275085,0.2514760196208954,0.32012519240379333,0.27179938554763794,0.2514760196208954,0.29044342041015625,0.27179938554763794,0.16220976412296295,0.18533317744731903,0.10324672609567642,0.24631625413894653
with,0.46403205394744873,0.13367979228496552,0.1896740049123764,0.30821868777275085,0.9999999403953552,0.4223487675189972,0.20475590229034424,0.41827285289764404,0.4223487675189972,0.22841988503932953,0.41827285289764404,0.3783375024795532,0.23225899040699005,0.16526761651039124,0.2433311939239502
the,0.6521818041801453,0.1808674931526184,0.16893702745437622,0.2514760196208954,0.4223487675189972,1.0,0.23770277202129364,0.733189046382904,1.0,0.28209173679351807,0.733189046382904,0.5829201340675354,0.2598716616630554,0.25961899757385254,0.22068053483963013
call,0.25027644634246826,0.11477556824684143,0.18622757494449615,0.2897135615348816,0.22334177792072296,0.26640447974205017,0.1824888437986374,0.2378445267677307,0.26640447974205017,0.173135906457901,0.2378445267677307,0.2774817645549774,0.06423988938331604,0.1488819420337677,0.23091886937618256
and,0.506277859210968,0.17111437022686005,0.2148706465959549,0.2884655296802521,0.5477725267410278,0.5171257257461548,0.17887553572654724,0.5116966962814331,0.5171257257461548,0.18762853741645813,0.5116966962814331,0.3739250600337982,0.22793281078338623,0.2433357536792755,0.20544172823429108
felt,0.2373969405889511,0.20627698302268982,0.09013023227453232,0.4086208641529083,0.27416718006134033,0.28054580092430115,0.2130861133337021,0.2637780010700226,0.28054580092430115,0.17865200340747833,0.2637780010700226,0.24427424371242523,0.15950727462768555,0.12738941609859467,0.17489777505397797
the,0.6521818041801453,0.1808674931526184,0.16893702745437622,0.2514760196208954,0.4223487675189972,1.0,0.23770277202129364,0.733189046382904,1.0,0.28209173679351807,0.733189046382904,0.5829201340675354,0.2598716616630554,0.25961899757385254,0.22068053483963013
review,0.18274706602096558,0.1283470243215561,0.29754745960235596,0.31982487440109253,0.13687945902347565,0.245576411485672,0.292721688747406,0.18473945558071136,0.245576411485672,0.17845766246318817,0.18473945558071136,0.2132924199104309,0.23897482454776764,0.19090893864631653,0.27187594771385193
clearly,0.46585381031036377,0.1210111528635025,0.2880247235298157,0.3603121340274811,0.31566503643989563,0.37195420265197754,0.4041528105735779,0.2792348265647888,0.37195420265197754,0.2539583444595337,0.2792348265647888,0.2978687882423401,0.40788403153419495,0.2015528380870819,0.40760257840156555
showed,0.2747635841369629,0.11161145567893982,0.1263628900051117,0.28667762875556946,0.27643677592277527,0.3101346790790558,0.2007761299610138,0.31843405961990356,0.3101346790790558,0.12822331488132477,0.31843405961990356,0.2502788305282593,0.2776740789413452,0.08005747199058533,0.17389845848083496
the,0.6521818041801453,0.1808674931526184,0.16893702745437622,0.2514760196208954,0.4223487675189972,1.0,0.23770277202129364,0.733189046382904,1.0,0.28209173679351807,0.733189046382904,0.5829201340675354,0.2598716616630554,0.25961899757385254,0.22068053483963013
pass,0.25938987731933594,0.07214046269655228,0.03457983583211899,0.10324672609567642,0.16526761651039124,0.25961899757385254,0.11142080277204514,0.18302802741527557,0.25961899757385254,0.1381831020116806,0.18302802741527557,0.19894953072071075,0.16806188225746155,1.0000001192092896,0.09478675574064255
was,0.2830964922904968,0.28931909799575806,0.15596908330917358,0.2856687605381012,0.27411898970603943,0.48711544275283813,0.16111096739768982,0.4069072902202606,0.48711544275283813,0.21645358204841614,0.4069072902202606,0.4508470594882965,0.13755717873573303,0.1040167361497879,0.18412111699581146
complete,0.33639606833457947,0.1252681165933609,0.25132378935813904,0.15576156973838806,0.20904628932476044,0.277624249458313,0.25739625096321106,0.3009350895881653,0.277624249458313,0.22274410724639893,0.3009350895881653,0.29913821816444397,0.8146076202392578,0.18746964633464813,0.11962060630321503
.,0.45942068099975586,0.1850108951330185,0.25515997409820557,0.25933948159217834,0.4446153938770294,0.5934505462646484,0.22835712134838104,0.5352458953857422,0.5934505462646484,0.21849171817302704,0.5352458953857422,0.50484299659729,0.2535707652568817,0.1901644617319107,0.4130953550338745
