,what,use,was,suggested,for,the,system
a,0.3320399522781372,0.30793872475624084,0.4508470594882965,0.2665110230445862,0.44038116931915283,0.5829201340675354,0.2589043080806732
member,0.09932345896959305,0.13026414811611176,0.31559354066848755,0.18879809975624084,0.2718653976917267,0.2806392312049866,0.1573132425546646
of,0.33290785551071167,0.2750902473926544,0.4069072902202606,0.29373469948768616,0.4185989499092102,0.733189046382904,0.25597915053367615
davies,0.14111879467964172,0.20556627213954926,0.2509008049964905,0.20306484401226044,0.22298221290111542,0.22865624725818634,0.036007627844810486
',0.3245812654495239,0.2601005434989929,0.33675912022590637,0.25618064403533936,0.31184524297714233,0.474788099527359,0.15434524416923523
team,0.17632107436656952,0.18721827864646912,0.13986483216285706,0.12388374656438828,0.25615394115448,0.22564226388931274,0.07540419697761536
(,0.2411840260028839,0.2174896001815796,0.2980341613292694,0.2011171281337738,0.3357032239437103,0.33289089798927307,0.15626809000968933
roger,0.1456337571144104,0.1037302240729332,0.26313790678977966,0.09866059571504593,0.202398419380188,0.1998666524887085,0.06389988958835602
scantlebury,0.27987539768218994,0.20940357446670532,0.3184419572353363,0.3150007426738739,0.28261783719062805,0.3742935061454773,0.17883925139904022
),0.26259949803352356,0.23662498593330383,0.3267642855644226,0.20355874300003052,0.3639558255672455,0.3456730246543884,0.15207810699939728
met,0.2157946228981018,0.12829381227493286,0.3100595772266388,0.30696967244148254,0.276699960231781,0.2303115278482437,0.05503563582897186
lawrence,0.17999349534511566,0.0703187957406044,0.206548273563385,0.12228991091251373,0.17504645884037018,0.2352556735277176,0.14870446920394897
roberts,0.1479903757572174,0.1367362141609192,0.26560845971107483,0.12118427455425262,0.20710350573062897,0.2579696774482727,0.09756447374820709
at,0.2838611304759979,0.22117964923381805,0.36707764863967896,0.22737403213977814,0.34237727522850037,0.457212895154953,0.1684759259223938
the,0.42745697498321533,0.34342584013938904,0.48711544275283813,0.28443726897239685,0.4739971458911896,1.0,0.3233085572719574
1967,-0.0218155886977911,-0.06990125775337219,0.059212569147348404,0.03536595404148102,0.033193573355674744,-0.012038951739668846,-0.06822383403778076
acm,0.18937039375305176,0.2721872925758362,0.20171700417995453,0.14826467633247375,0.25415295362472534,0.24140942096710205,0.23942118883132935
symposium,0.22630378603935242,0.16788093745708466,0.226090207695961,0.2138422280550003,0.22173579037189484,0.20559418201446533,0.2443929761648178
on,0.34226128458976746,0.2776605486869812,0.3909217119216919,0.231298565864563,0.36199691891670227,0.5107308030128479,0.21675898134708405
operating,0.25311869382858276,0.35593563318252563,0.22596235573291779,0.12047168612480164,0.27157214283943176,0.28778329491615295,0.48663395643234253
system,0.23557309806346893,0.32895785570144653,0.2147521674633026,0.18025240302085876,0.2630598843097687,0.3233085572719574,1.0000001192092896
principles,0.3122304081916809,0.2684427499771118,0.15514956414699554,0.2790316939353943,0.23085176944732666,0.21452596783638,0.27107056975364685
and,0.31309178471565247,0.34145063161849976,0.3740963041782379,0.2645586431026459,0.5064792633056641,0.5171257257461548,0.231138214468956
suggested,0.30050885677337646,0.24385641515254974,0.30712512135505676,0.9999999403953552,0.3348638117313385,0.28443726897239685,0.18025240302085876
it,0.45803478360176086,0.34436097741127014,0.4577186405658722,0.26964178681373596,0.32171204686164856,0.6251175999641418,0.30691424012184143
for,0.3017193675041199,0.47655582427978516,0.3863949179649353,0.3348638117313385,0.9999999403953552,0.4739971458911896,0.2630598843097687
use,0.3453877568244934,1.0,0.17744606733322144,0.24385641515254974,0.47655582427978516,0.34342584013938904,0.32895785570144653
in,0.30808621644973755,0.2715643048286438,0.45514053106307983,0.23595884442329407,0.4322226941585541,0.6662389636039734,0.21978288888931274
the,0.42745697498321533,0.34342584013938904,0.48711544275283813,0.28443726897239685,0.4739971458911896,1.0,0.3233085572719574
arpanet,0.21845723688602448,0.2766202986240387,0.19370940327644348,0.2727094292640686,0.21990735828876495,0.26561665534973145,0.3196571171283722
.,0.3567904531955719,0.3711656630039215,0.40146201848983765,0.2633555829524994,0.4726039469242096,0.5934505462646484,0.2277725487947464
