,which,californio,is,located,in,the,upper,part,?
though,0.4655933380126953,0.18231715261936188,0.3265945613384247,0.07632234692573547,0.3193182945251465,0.38776206970214844,0.16195456683635712,0.2677866816520691,0.3188856542110443
there,0.45256471633911133,0.169082373380661,0.3904260993003845,0.34069621562957764,0.5361666083335876,0.47025805711746216,0.22588421404361725,0.32553666830062866,0.29405656456947327
is,0.4457404911518097,0.23558245599269867,1.0,0.35717159509658813,0.5394441485404968,0.5823672413825989,0.2177516371011734,0.4582172930240631,0.22961433231830597
no,0.32479003071784973,0.1485653817653656,0.19581134617328644,0.09055279940366745,0.24372287094593048,0.3461136817932129,0.10499006509780884,0.10804712027311325,0.32165053486824036
official,0.18692700564861298,0.1857134848833084,0.21236078441143036,0.2094145268201828,0.25180214643478394,0.3133983910083771,0.08292297273874283,0.1932961791753769,0.18097688257694244
definition,0.31308257579803467,0.19595611095428467,0.29006320238113403,0.13901734352111816,0.20306213200092316,0.23176956176757812,0.0708540752530098,0.2687399089336395,0.2796523869037628
for,0.44095608592033386,0.19524136185646057,0.43268078565597534,0.1493360996246338,0.4322226941585541,0.4739971458911896,0.12166716158390045,0.250704288482666,0.264628142118454
the,0.6521818041801453,0.25723758339881897,0.5823672413825989,0.407527357339859,0.6662389636039734,1.0,0.35289278626441956,0.527681291103363,0.22068053483963013
northern,0.2470913678407669,0.21228106319904327,0.25616052746772766,0.32189637422561646,0.3545122444629669,0.3422943353652954,0.276008278131485,0.3608819246292114,0.13149388134479523
boundary,0.34568116068840027,0.08037284761667252,0.23768730461597443,0.29797935485839844,0.28667783737182617,0.3356972932815552,0.32526272535324097,0.34835657477378845,0.0720028504729271
of,0.5011631846427917,0.22935593128204346,0.4854315221309662,0.32520920038223267,0.5696388483047485,0.733189046382904,0.25818127393722534,0.452393114566803,0.1826142966747284
southern,0.2648681700229645,0.31638437509536743,0.2419366091489792,0.3350563645362854,0.3190481662750244,0.3282862603664398,0.2357340008020401,0.37757623195648193,0.11225555837154388
