,who,ruled,cyprus,in,1191,?
survivors,0.27655908465385437,0.1898992508649826,0.16797147691249847,0.21941231191158295,0.17198452353477478,0.1608695685863495
of,0.2827862501144409,0.29798635840415955,0.24310660362243652,0.5696388483047485,0.15980975329875946,0.1826142966747284
the,0.3733934462070465,0.2668108344078064,0.19548389315605164,0.6662389636039734,0.18893873691558838,0.22068053483963013
wrecks,0.21537043154239655,0.06366302073001862,0.14534235000610352,0.2391054630279541,0.15484222769737244,0.13066300749778748
had,0.36173108220100403,0.3202840983867645,0.16909822821617126,0.385026752948761,0.14473885297775269,0.20728366076946259
been,0.3295723795890808,0.2058761566877365,0.16596582531929016,0.3515113592147827,0.18150508403778076,0.24354910850524902
taken,0.23395919799804688,0.2860878109931946,0.22003231942653656,0.2500644326210022,0.07196397334337234,0.17662954330444336
prisoner,0.32111212611198425,0.30155593156814575,0.1793687641620636,0.23853087425231934,0.03215719759464264,0.12990006804466248
by,0.39727845788002014,0.21958500146865845,0.06797947734594345,0.370934396982193,0.14819535613059998,0.17966607213020325
the,0.3733934462070465,0.2668108344078064,0.19548389315605164,0.6662389636039734,0.18893873691558838,0.22068053483963013
island,0.222096249461174,0.18765464425086975,0.27993038296699524,0.24730545282363892,0.18163491785526276,0.0887429490685463
's,0.05599616840481758,-0.0068405005149543285,0.017239850014448166,-0.037580832839012146,0.021073084324598312,-0.023395681753754616
despot,0.36142027378082275,0.31612998247146606,0.17352531850337982,0.10816481709480286,0.1180836483836174,0.15524280071258545
isaac,0.23285824060440063,0.1300988346338272,0.0640801414847374,0.16879957914352417,0.09876266121864319,0.1153682991862297
komnenos,0.32738617062568665,0.42728352546691895,0.3725409507751465,0.1471671462059021,0.21374571323394775,0.3032175898551941
.,0.3541337847709656,0.22453029453754425,0.20954088866710663,0.5591574311256409,0.17682071030139923,0.4130953550338745
,who,ruled,cyprus,in,1191,?
he,0.5500732064247131,0.24114055931568146,0.204347625374794,0.41690486669540405,0.20433063805103302,0.2089974731206894
ordered,0.2055833488702774,0.30682483315467834,0.12008734047412872,0.24971742928028107,0.09862547367811203,0.11423391848802567
isaac,0.23285824060440063,0.1300988346338272,0.0640801414847374,0.16879957914352417,0.09876266121864319,0.1153682991862297
to,0.42656609416007996,0.15009452402591705,0.15472561120986938,0.45010748505592346,0.17134051024913788,0.29463258385658264
release,0.10399705171585083,0.06285867840051651,0.07541704922914505,0.2109319418668747,0.08825404942035675,0.14489315450191498
the,0.3733934462070465,0.2668108344078064,0.19548389315605164,0.6662389636039734,0.18893873691558838,0.22068053483963013
prisoners,0.30020418763160706,0.2865202724933624,0.1414078176021576,0.2508719265460968,0.11642025411128998,0.15790729224681854
and,0.41279885172843933,0.1996956765651703,0.27088847756385803,0.4954058527946472,0.17808540165424347,0.20544172823429108
the,0.3733934462070465,0.2668108344078064,0.19548389315605164,0.6662389636039734,0.18893873691558838,0.22068053483963013
treasure,0.23424921929836273,0.1328212320804596,0.10760755836963654,0.21788805723190308,0.2126999944448471,0.1428249627351761
.,0.3541337847709656,0.22453029453754425,0.20954088866710663,0.5591574311256409,0.17682071030139923,0.4130953550338745
