,from,what,does,photosynthesis,get,oxygen,?
oxygen,0.23457925021648407,0.16781960427761078,0.2380215972661972,0.5679547190666199,0.29348209500312805,0.9999999403953552,0.16786395013332367
is,0.27355384826660156,0.28837618231773376,0.4403602182865143,0.22769613564014435,0.29207053780555725,0.21825239062309265,0.22961433231830597
used,0.25821518898010254,0.27546408772468567,0.3498048484325409,0.256893515586853,0.2549493908882141,0.21276918053627014,0.22430120408535004
in,0.4274188280105591,0.30808621644973755,0.214483380317688,0.2557604908943176,0.24899829924106598,0.1672476977109909,0.20430970191955566
cellular,0.1582397073507309,0.17455364763736725,0.2103206366300583,0.5653448104858398,0.17111261188983917,0.41241124272346497,0.16428864002227783
respiration,0.2900363802909851,0.23671798408031464,0.2966677248477936,0.615482747554779,0.2535812556743622,0.5477889776229858,0.17575538158416748
and,0.3601827025413513,0.31309178471565247,0.3461615741252899,0.2529959976673126,0.37609121203422546,0.22261030972003937,0.20544172823429108
released,0.19112130999565125,0.20228935778141022,0.18354101479053497,0.19958829879760742,0.19174188375473022,0.17016007006168365,0.20329579710960388
by,0.3373257517814636,0.2455483376979828,0.143477201461792,0.2082122266292572,0.2411126047372818,0.1292176991701126,0.17966607213020325
photosynthesis,0.25484031438827515,0.261831134557724,0.2656877040863037,0.9999999403953552,0.2594481408596039,0.5679547190666199,0.1871609091758728
",",0.39760664105415344,0.3087472915649414,0.28617382049560547,0.22675302624702454,0.2926318049430847,0.21812842786312103,0.31091248989105225
which,0.38755592703819275,0.5261979103088379,0.39111801981925964,0.4035046100616455,0.3393840193748474,0.3166238069534302,0.25814583897590637
uses,0.24393776059150696,0.1933930367231369,0.45398131012916565,0.23142023384571075,0.30926868319511414,0.20267243683338165,0.18407079577445984
the,0.40150508284568787,0.42745697498321533,0.35928019881248474,0.27159422636032104,0.29667025804519653,0.20428593456745148,0.22068053483963013
energy,0.19871577620506287,0.190252885222435,0.23927782475948334,0.5107198357582092,0.2723105847835541,0.4261608421802521,0.14860127866268158
of,0.4249346852302551,0.33290785551071167,0.3119818866252899,0.26824626326560974,0.26628199219703674,0.16848602890968323,0.1826142966747284
sunlight,0.22103910148143768,0.21599051356315613,0.2756975591182709,0.6353356838226318,0.3091354966163635,0.4877612292766571,0.17698515951633453
to,0.4069952368736267,0.455847829580307,0.4391997456550598,0.30760520696640015,0.4388369917869568,0.24193501472473145,0.29463258385658264
produce,0.20224905014038086,0.1685742735862732,0.3036338984966278,0.5029282569885254,0.357732355594635,0.2946869134902954,0.19229066371917725
oxygen,0.23457925021648407,0.16781960427761078,0.2380215972661972,0.5679547190666199,0.29348209500312805,0.9999999403953552,0.16786395013332367
from,1.0,0.2737620174884796,0.1777622550725937,0.25484031438827515,0.3159880042076111,0.23457925021648407,0.19969791173934937
water,0.197988361120224,0.17456887662410736,0.29202038049697876,0.45553916692733765,0.22543855011463165,0.4692627191543579,0.14731885492801666
.,0.41536515951156616,0.3567904531955719,0.3022993505001068,0.26637518405914307,0.39392393827438354,0.2554275095462799,0.4130953550338745
