,when,did,walt,disney,productions,purchase,abc,'s,shares,in,the,disneyland,theme,park,?
in,0.4431333839893341,0.2593238651752472,0.24451637268066406,0.18521910905838013,0.23328478634357452,0.18969708681106567,0.1697147786617279,-0.037580832839012146,0.24081222712993622,1.0,0.6662389636039734,0.26357531547546387,0.21164380013942719,0.22758090496063232,0.20430970191955566
1959,0.11907853186130524,0.014086701907217503,-0.00453935144469142,-0.01829627715051174,0.008423781022429466,0.006968045141547918,-0.034490931779146194,0.023679634556174278,0.06185478717088699,0.09894876182079315,0.06652198731899261,0.044662587344646454,-0.0065125469118356705,0.0745595246553421,0.07245876640081406
",",0.36674630641937256,0.3015086054801941,0.19253113865852356,0.2132069319486618,0.2846270501613617,0.220005065202713,0.2097204476594925,-0.0016132977325469255,0.29036593437194824,0.5201468467712402,0.4933079481124878,0.24836018681526184,0.21865783631801605,0.22495080530643463,0.31091248989105225
walt,0.1786840409040451,0.1685073971748352,0.9999999403953552,0.8116229772567749,0.4528430104255676,0.24243281781673431,0.36108773946762085,0.09715674072504044,0.23854878544807434,0.24451637268066406,0.2561357319355011,0.6021803617477417,0.42908740043640137,0.2837597131729126,0.18540392816066742
disney,0.17460092902183533,0.16180537641048431,0.8116229772567749,1.0,0.4040467441082001,0.21842390298843384,0.37895750999450684,0.0786653682589531,0.242331400513649,0.18521910905838013,0.24980762600898743,0.7213653922080994,0.45182034373283386,0.2684294283390045,0.22150784730911255
productions,0.15511907637119293,0.19139394164085388,0.4528430104255676,0.4040467441082001,1.0000001192092896,0.22879613935947418,0.34230175614356995,0.04581885412335396,0.20218192040920258,0.23328478634357452,0.2695383131504059,0.3187669813632965,0.27983802556991577,0.19079221785068512,0.22681239247322083
",",0.36674630641937256,0.3015086054801941,0.19253113865852356,0.2132069319486618,0.2846270501613617,0.220005065202713,0.2097204476594925,-0.0016132977325469255,0.29036593437194824,0.5201468467712402,0.4933079481124878,0.24836018681526184,0.21865783631801605,0.22495080530643463,0.31091248989105225
having,0.4296937882900238,0.3157401978969574,0.14801877737045288,0.16720950603485107,0.1879481077194214,0.17943666875362396,0.13503289222717285,-0.0629785805940628,0.19448509812355042,0.32022708654403687,0.3821379244327545,0.24181710183620453,0.18482528626918793,0.12963567674160004,0.22418256103992462
improved,0.22863540053367615,0.27103501558303833,0.10694558173418045,0.08530470728874207,0.15307137370109558,0.2105541080236435,0.07181845605373383,0.043154362589120865,0.14525049924850464,0.2403203547000885,0.21394658088684082,0.12442146986722946,0.14280900359153748,0.12605275213718414,0.22755856812000275
its,0.34032323956489563,0.19922670722007751,0.17957046627998352,0.19488584995269775,0.23560434579849243,0.2338007539510727,0.19045390188694,0.03202139586210251,0.313991904258728,0.3793783485889435,0.559237003326416,0.2966465651988983,0.21176408231258392,0.2094704955816269,0.15103481709957123
