,who,would,begter,have,married,when,he,came,of,age,?
begter,0.3782765865325928,0.3224853575229645,0.9999998807907104,0.18014323711395264,0.31786441802978516,0.3212567865848541,0.366952121257782,0.32937076687812805,0.27616795897483826,0.22213053703308105,0.22523251175880432
",",0.3365725874900818,0.32586824893951416,0.41059941053390503,0.3541618287563324,0.3299272358417511,0.36674630641937256,0.40251094102859497,0.3049119710922241,0.4946078956127167,0.2693369388580322,0.31091248989105225
temujin,0.3364172577857971,0.2692817449569702,0.26493674516677856,0.3107483386993408,0.22407805919647217,0.2757856249809265,0.3682228922843933,0.20475129783153534,0.31752198934555054,0.24263858795166016,0.23889534175395966
's,0.05599616840481758,0.036968596279621124,0.04033765569329262,-0.02807004563510418,-0.05299868807196617,-0.03368149697780609,0.024063590914011,0.03627123311161995,-0.03817026689648628,0.004176773596554995,-0.023395681753754616
older,0.3146214485168457,0.23315741121768951,0.28062713146209717,0.2828247547149658,0.26751407980918884,0.3374961018562317,0.191935196518898,0.14980262517929077,0.23717735707759857,0.38801634311676025,0.1524270623922348
half-brother,0.42855358123779297,0.24156472086906433,0.4348822832107544,0.2040427327156067,0.4027957618236542,0.3467754125595093,0.40864622592926025,0.26511257886886597,0.2616521120071411,0.2745862901210785,0.19051197171211243
",",0.3365725874900818,0.32586824893951416,0.41059941053390503,0.3541618287563324,0.3299272358417511,0.36674630641937256,0.40251094102859497,0.3049119710922241,0.4946078956127167,0.2693369388580322,0.31091248989105225
began,0.1646115779876709,0.369805246591568,0.48133450746536255,0.1338469535112381,0.22962437570095062,0.25673019886016846,0.29429033398628235,0.47084155678749084,0.2330763041973114,0.28587958216667175,0.1370266228914261
to,0.42656609416007996,0.5965728163719177,0.354262113571167,0.4544740617275238,0.15330412983894348,0.5423505902290344,0.385390967130661,0.3111628592014313,0.41548454761505127,0.23830388486385345,0.29463258385658264
exercise,0.21645592153072357,0.24369460344314575,0.15065927803516388,0.2862117290496826,0.019361527636647224,0.20701296627521515,0.20006008446216583,0.06325417011976242,0.25090140104293823,0.12626172602176666,0.19207993149757385
the,0.3733934462070465,0.4133751392364502,0.34252452850341797,0.40389683842658997,0.10720405727624893,0.5091903209686279,0.4571082592010498,0.39390382170677185,0.733189046382904,0.24711290001869202,0.22068053483963013
power,0.25855374336242676,0.23216183483600616,0.20049570500850677,0.20906804502010345,0.06790268421173096,0.28225177526474,0.20515447854995728,0.19512872397899628,0.25273123383522034,0.16731160879135132,0.15304024517536163
of,0.2827862501144409,0.3353942930698395,0.27616795897483826,0.3802283704280853,0.1619977355003357,0.3757161796092987,0.38706058263778687,0.3201526999473572,1.0,0.2372717410326004,0.1826142966747284
the,0.3733934462070465,0.4133751392364502,0.34252452850341797,0.40389683842658997,0.10720405727624893,0.5091903209686279,0.4571082592010498,0.39390382170677185,0.733189046382904,0.24711290001869202,0.22068053483963013
eldest,0.349020779132843,0.16267605125904083,0.3029996454715729,0.1547454446554184,0.48274847865104675,0.2107202559709549,0.31086209416389465,0.20635491609573364,0.2814321219921112,0.31212374567985535,0.1492495983839035
male,0.32836759090423584,0.16675783693790436,0.1835329681634903,0.2467118501663208,0.18443763256072998,0.20496417582035065,0.18796981871128082,0.10773183405399323,0.22521720826625824,0.15819106996059418,0.14269542694091797
in,0.2792111933231354,0.30461156368255615,0.3404114246368408,0.36843645572662354,0.21549314260482788,0.4431333839893341,0.41690486669540405,0.29996100068092346,0.5696388483047485,0.30576348304748535,0.20430970191955566
the,0.3733934462070465,0.4133751392364502,0.34252452850341797,0.40389683842658997,0.10720405727624893,0.5091903209686279,0.4571082592010498,0.39390382170677185,0.733189046382904,0.24711290001869202,0.22068053483963013
family,0.23428858816623688,0.18406058847904205,0.2202765792608261,0.15777942538261414,0.27539339661598206,0.2021179050207138,0.26473504304885864,0.20204876363277435,0.1893671154975891,0.170701265335083,0.15222905576229095
and,0.41279885172843933,0.34921059012413025,0.367858350276947,0.4711785912513733,0.23728172481060028,0.4716290831565857,0.45427167415618896,0.3049735128879547,0.5116966962814331,0.20936404168605804,0.20544172823429108
eventually,0.3540181517601013,0.420034795999527,0.3287334144115448,0.35098060965538025,0.19266247749328613,0.5233907699584961,0.3871252238750458,0.3370744287967682,0.313495934009552,0.22603338956832886,0.13642115890979767
temujin,0.3364172577857971,0.2692817449569702,0.26493674516677856,0.3107483386993408,0.22407805919647217,0.2757856249809265,0.3682228922843933,0.20475129783153534,0.31752198934555054,0.24263858795166016,0.23889534175395966
's,0.05599616840481758,0.036968596279621124,0.04033765569329262,-0.02807004563510418,-0.05299868807196617,-0.03368149697780609,0.024063590914011,0.03627123311161995,-0.03817026689648628,0.004176773596554995,-0.023395681753754616
mother,0.3498775064945221,0.16519249975681305,0.35910966992378235,0.12952126562595367,0.4522537589073181,0.3469548225402832,0.33828893303871155,0.24520161747932434,0.2170739620923996,0.2815777063369751,0.15180644392967224
