,in,1972,",",did,norway,end,up,joining,the,european,union,?
since,0.4325680434703827,0.04119875654578209,0.3991432189941406,0.27613121271133423,0.26284947991371155,0.2621375322341919,0.2203017771244049,0.1799050122499466,0.4054957628250122,0.27516499161720276,0.2166493833065033,0.2876587212085724
its,0.3793783485889435,-0.05233493819832802,0.33157986402511597,0.19922670722007751,0.17687535285949707,0.19770386815071106,0.2559551000595093,0.19233918190002441,0.559237003326416,0.1742284595966339,0.22658714652061462,0.15103481709957123
establishment,0.329694002866745,0.10672041028738022,0.20188406109809875,0.20103003084659576,0.1967812478542328,0.23177024722099304,0.09356297552585602,0.23266102373600006,0.344906210899353,0.18790550529956818,0.190766379237175,0.1661023646593094
",",0.5201468467712402,0.08021809905767441,1.0000001192092896,0.3015086054801941,0.23151691257953644,0.25448864698410034,0.34193792939186096,0.25060388445854187,0.4933079481124878,0.19684812426567078,0.2362271547317505,0.31091248989105225
more,0.32563260197639465,-0.24310795962810516,0.3696524500846863,0.2803135812282562,0.1436251699924469,0.23106764256954193,0.2851726710796356,0.2301679253578186,0.39758381247520447,0.1796877533197403,0.17267271876335144,0.27894994616508484
member,0.20856694877147675,0.12436754256486893,0.25757819414138794,0.16698363423347473,0.2270500361919403,0.14733904600143433,0.21691420674324036,0.3425852656364441,0.2806392312049866,0.24138560891151428,0.23030449450016022,0.06826172769069672
states,0.3977442979812622,0.15065041184425354,0.3315127193927765,0.21754568815231323,0.2501843273639679,0.15129078924655914,0.15233498811721802,0.2033856064081192,0.3463578522205353,0.25554242730140686,0.30693942308425903,0.16272737085819244
have,0.36843645572662354,-0.24548892676830292,0.3541618287563324,0.3783526122570038,0.16466312110424042,0.24015727639198303,0.34569859504699707,0.1699473112821579,0.40389683842658997,0.19048169255256653,0.16471676528453827,0.32991164922714233
joined,0.29866936802864075,0.10559065639972687,0.23146051168441772,0.2579648792743683,0.1409025937318802,0.21611692011356354,0.2220333367586136,0.7015138268470764,0.2943263649940491,0.14483051002025604,0.23093125224113464,0.06566751003265381
through,0.38533157110214233,-0.0805148333311081,0.3060276508331299,0.14190755784511566,0.13587315380573273,0.2998170554637909,0.3017481863498688,0.3020421862602234,0.44071322679519653,0.18028515577316284,0.1379835307598114,0.16913433372974396
a,0.539380669593811,-0.08910045027732849,0.427140474319458,0.2552328109741211,0.20911905169487,0.28924596309661865,0.32523053884506226,0.23421013355255127,0.5829201340675354,0.2254103124141693,0.18140026926994324,0.23916715383529663
series,0.2914260923862457,-0.03625357151031494,0.24060699343681335,0.15581852197647095,0.038108401000499725,0.21410182118415833,0.21352851390838623,0.11969461292028427,0.31376904249191284,0.1398807317018509,0.028678422793745995,0.1709602326154709
of,0.5696388483047485,0.07561471313238144,0.4946078956127167,0.2513895630836487,0.24524052441120148,0.2215006798505783,0.32945773005485535,0.26950395107269287,0.733189046382904,0.2507138252258301,0.2642118036746979,0.1826142966747284
accession,0.17361333966255188,0.09889908134937286,0.20013773441314697,0.14905796945095062,0.2005826085805893,0.2590377628803253,0.14028659462928772,0.15717720985412598,0.2674614489078522,0.17842797935009003,0.21809691190719604,0.16196151077747345
treaties,0.2564578652381897,0.11903360486030579,0.2152065634727478,0.25577887892723083,0.29339808225631714,0.23885752260684967,0.18554998934268951,0.26216456294059753,0.28970760107040405,0.30161675810813904,0.34353530406951904,0.1693580597639084
",",0.5201468467712402,0.08021809905767441,1.0000001192092896,0.3015086054801941,0.23151691257953644,0.25448864698410034,0.34193792939186096,0.25060388445854187,0.4933079481124878,0.19684812426567078,0.2362271547317505,0.31091248989105225
