,what,evidence,between,and,among,complexity,classes,would,signify,a,theoretical,watershed,for,complexity,theory,?
since,0.29783400893211365,0.23050768673419952,0.25121670961380005,0.3515571057796478,0.21157635748386383,0.2024936079978943,0.1396413892507553,0.3438071310520172,0.1699295938014984,0.3303585946559906,0.17503975331783295,0.19484610855579376,0.36751601099967957,0.2024936079978943,0.15682072937488556,0.2876587212085724
there,0.35085538029670715,0.3399463891983032,0.37209540605545044,0.4242868423461914,0.2721496820449829,0.24157792329788208,0.22966980934143066,0.33190950751304626,0.22704848647117615,0.4214206337928772,0.2027357965707779,0.23844105005264282,0.3728419542312622,0.24157792329788208,0.22224178910255432,0.29405656456947327
are,0.29724663496017456,0.251604288816452,0.2766000032424927,0.48576638102531433,0.3811550438404083,0.27680158615112305,0.2913099527359009,0.32024338841438293,0.19160296022891998,0.265255331993103,0.19839611649513245,0.16193455457687378,0.3895993232727051,0.27680158615112305,0.1918308287858963,0.24591213464736938
many,0.36131182312965393,0.23313815891742706,0.29423660039901733,0.5296266674995422,0.4631800651550293,0.2883065640926361,0.2907905578613281,0.33440667390823364,0.19199490547180176,0.2872205972671509,0.22007080912590027,0.17132297158241272,0.40972793102264404,0.2883065640926361,0.2365858107805252,0.2124512493610382
known,0.20381177961826324,0.16949251294136047,0.19939005374908447,0.3468935489654541,0.35925352573394775,0.17207187414169312,0.16189859807491302,0.23509551584720612,0.19604963064193726,0.30882248282432556,0.1973506659269333,0.19614510238170624,0.363901823759079,0.17207187414169312,0.17634540796279907,0.18314571678638458
complexity,0.33747240900993347,0.2934645712375641,0.17702509462833405,0.2520415782928467,0.23413874208927155,1.0,0.29931116104125977,0.27243655920028687,0.20869247615337372,0.27206721901893616,0.4222896695137024,0.20225889980793,0.27243003249168396,1.0,0.42510488629341125,0.23062916100025177
classes,0.20746955275535583,0.11617247015237808,0.24480338394641876,0.2892279624938965,0.3030005991458893,0.29931116104125977,1.0000001192092896,0.21430085599422455,0.12364507466554642,0.25567445158958435,0.21635213494300842,0.13212192058563232,0.20599915087223053,0.29931116104125977,0.1946049928665161,0.14397528767585754
between,0.2462156116962433,0.18009530007839203,0.9999999403953552,0.40645647048950195,0.39057573676109314,0.17702509462833405,0.24480338394641876,0.2067808359861374,0.226024329662323,0.29385313391685486,0.18138277530670166,0.2902110815048218,0.24671313166618347,0.17702509462833405,0.1496092528104782,0.12887074053287506
p,0.18586504459381104,0.12574701011180878,0.13939055800437927,0.198231041431427,0.17493121325969696,0.2279624342918396,0.15806759893894196,0.1375492513179779,0.11357366293668747,0.15866722166538239,0.15368764102458954,0.1810339242219925,0.13376198709011078,0.2279624342918396,0.16903482377529144,0.20840544998645782
and,0.31309178471565247,0.25004807114601135,0.40645647048950195,1.0,0.39211368560791016,0.2520415782928467,0.2892279624938965,0.34921059012413025,0.2413116991519928,0.3739250600337982,0.18770602345466614,0.2941429316997528,0.5064792633056641,0.2520415782928467,0.1765792816877365,0.20544172823429108
pspace,0.25979843735694885,0.10753383487462997,0.1647448092699051,0.21037064492702484,0.07324538379907608,0.2955028712749481,0.2150283008813858,0.25052541494369507,0.1758338063955307,0.20872430503368378,0.31614938378334045,0.2606732249259949,0.2491494119167328,0.2955028712749481,0.2033982127904892,0.33841776847839355
",",0.3087472915649414,0.2751304507255554,0.27714940905570984,0.6633074283599854,0.2640531659126282,0.27822354435920715,0.26848307251930237,0.32586824893951416,0.2385689914226532,0.427140474319458,0.2542550563812256,0.3274255096912384,0.4464869201183319,0.27822354435920715,0.18095813691616058,0.31091248989105225
