,what,did,the,court,of,justice,reason,were,controlled,in,all,member,states,in,josemans,v,burgemeester,van,maastricht,?
the,0.42745697498321533,0.34736719727516174,1.0,0.2812081575393677,0.733189046382904,0.23470892012119293,0.29647648334503174,0.3906462490558624,0.3320712745189667,0.6662389636039734,0.4860881567001343,0.2806392312049866,0.3463578522205353,0.6662389636039734,0.250165730714798,0.18580520153045654,0.32992467284202576,0.13541297614574432,0.2621105909347534,0.22068053483963013
court,0.23440583050251007,0.23020441830158234,0.2812081575393677,1.0,0.28835242986679077,0.5483176112174988,0.16283929347991943,0.19469791650772095,0.18710622191429138,0.2793687880039215,0.18986862897872925,0.21980570256710052,0.3169350028038025,0.2793687880039215,0.1928902119398117,0.31226083636283875,0.28117039799690247,0.09568195790052414,0.18477392196655273,0.17100423574447632
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.28835242986679077,1.0,0.2658293545246124,0.23645815253257751,0.34038281440734863,0.2840180993080139,0.5696388483047485,0.42798417806625366,0.2701796889305115,0.30884552001953125,0.5696388483047485,0.20956088602542877,0.1655031144618988,0.3231169581413269,0.16833904385566711,0.21534964442253113,0.1826142966747284
justice,0.21462921798229218,0.10621706396341324,0.23470892012119293,0.5483176112174988,0.2658293545246124,1.0,0.18046925961971283,0.11852375417947769,0.1115415096282959,0.2678598463535309,0.19227614998817444,0.26324737071990967,0.30231809616088867,0.2678598463535309,0.16939672827720642,0.22317616641521454,0.25815194845199585,0.06274604052305222,0.11717723309993744,0.19269752502441406
reasoned,0.3524585962295532,0.3266964554786682,0.24338680505752563,0.23167027533054352,0.23683901131153107,0.2087593972682953,0.6556288599967957,0.2592303454875946,0.2557934522628784,0.1634739488363266,0.2531674802303314,0.2074848711490631,0.17985351383686066,0.1634739488363266,0.2652133107185364,0.14900127053260803,0.19401957094669342,0.13445894420146942,0.20132584869861603,0.26703476905822754
that,0.6297725439071655,0.47518548369407654,0.5473989248275757,0.2474849969148636,0.41498205065727234,0.23929592967033386,0.462776243686676,0.35517072677612305,0.3037942051887512,0.435920387506485,0.53305584192276,0.17725452780723572,0.291576623916626,0.435920387506485,0.22589167952537537,0.14623945951461792,0.17565008997917175,0.16476967930793762,0.17690454423427582,0.32716336846351624
narcotic,0.2028372436761856,0.21353380382061005,0.1979035884141922,0.15488968789577484,0.17657624185085297,0.13574634492397308,0.21939194202423096,0.17477752268314362,0.2487543374300003,0.20855344831943512,0.15944205224514008,0.11130072176456451,0.22320164740085602,0.20855344831943512,0.2358914315700531,0.10898380726575851,0.26576489210128784,0.1681213676929474,0.14203956723213196,0.15329156816005707
drugs,0.27091342210769653,0.22819869220256805,0.19485467672348022,0.17634867131710052,0.21399663388729095,0.17640696465969086,0.2719622254371643,0.16607508063316345,0.26694345474243164,0.18405058979988098,0.2418999820947647,0.1421586275100708,0.21036981046199799,0.18405058979988098,0.19463685154914856,0.07774379849433899,0.19284778833389282,0.11502605676651001,0.16596613824367523,0.15436270833015442
were,0.22298263013362885,0.4162326455116272,0.3906462490558624,0.19469791650772095,0.34038281440734863,0.11852375417947769,0.1868613064289093,1.0000001192092896,0.2554461658000946,0.3815755248069763,0.4387909770011902,0.1471366137266159,0.19797217845916748,0.3815755248069763,0.23109103739261627,0.1089601069688797,0.19477085769176483,0.17234674096107483,0.20244598388671875,0.17890112102031708
controlled,0.24713590741157532,0.22843453288078308,0.3320712745189667,0.18710622191429138,0.2840180993080139,0.1115415096282959,0.2034716159105301,0.2554461658000946,1.0,0.2597082853317261,0.2868565320968628,0.12447104603052139,0.21431362628936768,0.2597082853317261,0.1370098739862442,0.13948898017406464,0.13075986504554749,0.018741676583886147,0.1669708788394928,0.1105743944644928
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.2793687880039215,0.5696388483047485,0.2678598463535309,0.21220409870147705,0.3815755248069763,0.2597082853317261,1.0,0.3335905969142914,0.20856694877147675,0.3977442979812622,1.0,0.20762468874454498,0.15216681361198425,0.3606860637664795,0.19506873190402985,0.21295112371444702,0.20430970191955566
all,0.41981086134910583,0.33943864703178406,0.4860881567001343,0.18986862897872925,0.42798417806625366,0.19227614998817444,0.31187599897384644,0.4387909770011902,0.2868565320968628,0.3335905969142914,1.0000001192092896,0.2020397186279297,0.22727420926094055,0.3335905969142914,0.2101728618144989,0.13731379806995392,0.17665913701057434,0.09097043424844742,0.21064619719982147,0.29575422406196594
