,what,is,the,minimum,amount,of,time,before,a,bill,can,go,into,law,?
however,0.4480680823326111,0.33769986033439636,0.49814513325691223,0.30044761300086975,0.39257457852363586,0.3800618350505829,0.41736549139022827,0.4614715874195099,0.38150349259376526,0.2647266983985901,0.4312019944190979,0.33727169036865234,0.34100279211997986,0.28070923686027527,0.2152075469493866
he,0.3114890456199646,0.36230841279029846,0.4571082592010498,0.10950613766908646,0.18310843408107758,0.38706058263778687,0.37626320123672485,0.3621264398097992,0.4393508732318878,0.1681041419506073,0.20159964263439178,0.25558793544769287,0.2263432741165161,0.24450446665287018,0.2089974731206894
can,0.34502777457237244,0.44256699085235596,0.312528520822525,0.3491651713848114,0.4105219542980194,0.2603091299533844,0.2720869183540344,0.2522135078907013,0.3915780484676361,0.17938722670078278,1.0,0.28201326727867126,0.301788330078125,0.13600260019302368,0.3226337134838104
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.29372456669807434,0.3809864819049835,0.3307090103626251,0.3786478340625763,0.391257107257843,0.3791346549987793,0.2060050219297409,0.49270012974739075,0.31132736802101135,0.2764923572540283,0.2588513493537903,0.41942933201789856
do,0.4609605669975281,0.30895981192588806,0.30239659547805786,0.2667977511882782,0.23061631619930267,0.26150479912757874,0.27283716201782227,0.2566060721874237,0.26237669587135315,0.14255335927009583,0.45775556564331055,0.39727410674095154,0.20546826720237732,0.193905308842659,0.4093979299068451
so,0.539469838142395,0.3153412640094757,0.4296516180038452,0.31363457441329956,0.3795411288738251,0.3184450566768646,0.39394915103912354,0.3897486925125122,0.41474464535713196,0.17159032821655273,0.5134525895118713,0.44414761662483215,0.34453660249710083,0.2103404700756073,0.43163934350013733
until,0.2693650424480438,0.23065046966075897,0.37191009521484375,0.14604675769805908,0.1776568591594696,0.2787701487541199,0.37097078561782837,0.5119717717170715,0.2314814180135727,0.13908688724040985,0.15644216537475586,0.2080024927854538,0.2651178538799286,0.16438983380794525,0.20304496586322784
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2512331008911133,0.3439450263977051,0.5052502155303955,0.3292340338230133,0.3583870828151703,1.0,0.24716360867023468,0.3915780484676361,0.24019409716129303,0.3461161255836487,0.2212858349084854,0.23916715383529663
4-week,0.25412681698799133,0.1917576640844345,0.2720770835876465,0.2085341215133667,0.23976024985313416,0.19790403544902802,0.3449769914150238,0.3326356112957001,0.277241051197052,0.306379497051239,0.18779760599136353,0.23178166151046753,0.17773394286632538,0.13579462468624115,0.3147886395454407
period,0.24507179856300354,0.1838376820087433,0.3125074505805969,0.2431635856628418,0.29124030470848083,0.2698146104812622,0.46082159876823425,0.4123643934726715,0.25205814838409424,0.09473501890897751,0.17864547669887543,0.15432310104370117,0.14167553186416626,0.10285747796297073,0.18706195056438446
