,how,many,divisions,are,required,to,verify,the,primality,of,the,number,37,?
for,0.3308170735836029,0.40972793102264404,0.20568406581878662,0.3895993232727051,0.33989444375038147,0.4451248347759247,0.23317159712314606,0.4739971458911896,0.2394213080406189,0.4185989499092102,0.4739971458911896,0.2861633002758026,0.005055142566561699,0.264628142118454
example,0.39914554357528687,0.43096116185188293,0.1977110207080841,0.4108889698982239,0.3303556442260742,0.3451666533946991,0.2256728559732437,0.3755223751068115,0.26901671290397644,0.3570667505264282,0.3755223751068115,0.3581446707248688,0.10916467010974884,0.30374911427497864
",",0.22659391164779663,0.40610817074775696,0.27065619826316833,0.4062570035457611,0.22653338313102722,0.44245919585227966,0.1930188089609146,0.4933079481124878,0.2514013350009918,0.4946078956127167,0.4933079481124878,0.2535701394081116,0.013615413568913937,0.31091248989105225
to,0.44169697165489197,0.40243685245513916,0.20452556014060974,0.3504326641559601,0.3613971471786499,1.0,0.32314109802246094,0.535392165184021,0.22107408940792084,0.41548454761505127,0.535392165184021,0.2706126868724823,0.05855729058384895,0.29463258385658264
check,0.3742365837097168,0.2424081265926361,0.12038050591945648,0.2754609286785126,0.3527719974517822,0.29680517315864563,0.5417559742927551,0.26274681091308594,0.21582934260368347,0.19366183876991272,0.26274681091308594,0.30011388659477234,0.07138542085886002,0.39389175176620483
the,0.33890387415885925,0.4335206151008606,0.3125615119934082,0.40399202704429626,0.27848219871520996,0.535392165184021,0.18094830214977264,1.0,0.25188151001930237,0.733189046382904,1.0,0.35145696997642517,0.03583221137523651,0.22068053483963013
primality,0.2755393981933594,0.226038858294487,0.11948302388191223,0.20207759737968445,0.28349944949150085,0.22107408940792084,0.2989548444747925,0.25188151001930237,1.0,0.28515246510505676,0.25188151001930237,0.32976987957954407,0.043204616755247116,0.24305593967437744
of,0.2480744868516922,0.37253960967063904,0.3138268291950226,0.39081433415412903,0.26183071732521057,0.41548454761505127,0.1309458166360855,0.733189046382904,0.28515246510505676,1.0,0.733189046382904,0.2778518795967102,0.06845362484455109,0.1826142966747284
37,0.0667102113366127,0.14107336103916168,0.15300993621349335,0.02679307572543621,0.059574972838163376,0.05855729058384895,0.12999466061592102,0.03583221137523651,0.043204616755247116,0.06845362484455109,0.03583221137523651,0.0619468092918396,0.9999999403953552,0.08108238875865936
",",0.22659391164779663,0.40610817074775696,0.27065619826316833,0.4062570035457611,0.22653338313102722,0.44245919585227966,0.1930188089609146,0.4933079481124878,0.2514013350009918,0.4946078956127167,0.4933079481124878,0.2535701394081116,0.013615413568913937,0.31091248989105225
only,0.36590442061424255,0.4670507609844208,0.22821734845638275,0.4533037543296814,0.3897126317024231,0.5096819996833801,0.28655922412872314,0.5497692227363586,0.2819788455963135,0.49632513523101807,0.5497692227363586,0.39694860577583313,0.00640071788802743,0.2767370045185089
three,0.23807744681835175,0.4501400589942932,0.27984100580215454,0.38895705342292786,0.21440739929676056,0.3043823838233948,0.07524708658456802,0.43452659249305725,0.1821116954088211,0.3844621181488037,0.43452659249305725,0.37020018696784973,-0.010211183689534664,0.20928427577018738
divisions,0.14686065912246704,0.22984808683395386,1.0,0.24858494102954865,0.20249071717262268,0.20452556014060974,0.19375698268413544,0.3125615119934082,0.11948302388191223,0.3138268291950226,0.3125615119934082,0.2555234730243683,0.15300993621349335,0.14903524518013
are,0.311818927526474,0.5655534863471985,0.24858494102954865,1.0,0.30105841159820557,0.3504326641559601,0.2073671817779541,0.40399202704429626,0.20207759737968445,0.39081433415412903,0.40399202704429626,0.3537501394748688,0.02679307572543621,0.24591213464736938
necessary,0.37167298793792725,0.28069594502449036,0.22312600910663605,0.3163343071937561,0.646235466003418,0.40437278151512146,0.3551011383533478,0.28364068269729614,0.3504903018474579,0.26879626512527466,0.28364068269729614,0.27798667550086975,0.07303131371736526,0.3430270850658417
(,0.1676948219537735,0.1455259770154953,0.21712855994701385,0.23263892531394958,0.22542260587215424,0.30882009863853455,0.20932118594646454,0.33289089798927307,0.23235595226287842,0.35032153129577637,0.33289089798927307,0.16158060729503632,-0.052716176956892014,0.40561532974243164
m,0.17182649672031403,0.12594686448574066,0.08389833569526672,0.22155292332172394,0.06889578700065613,0.17626212537288666,0.24847166240215302,0.15156042575836182,0.12228602916002274,0.14254631102085114,0.15156042575836182,0.1663946658372879,-0.06248494237661362,0.2618667185306549
=,0.005664738826453686,-0.0030256889294832945,0.052501581609249115,0.07531648874282837,-0.01230089645832777,-0.02100103534758091,-0.01568553037941456,-0.01352626271545887,-0.10480082780122757,-0.056689027696847916,-0.01352626271545887,-0.08468206226825714,-0.021154029294848442,-0.005643122363835573
2,-0.02554285153746605,-0.06294522434473038,-0.06255459785461426,-0.028399748727679253,0.04874546825885773,-0.0836251974105835,-0.05073365196585655,-0.019434669986367226,-0.07991699874401093,-0.013777675107121468,-0.019434669986367226,0.04057243838906288,0.06809860467910767,0.001977203879505396
",",0.22659391164779663,0.40610817074775696,0.27065619826316833,0.4062570035457611,0.22653338313102722,0.44245919585227966,0.1930188089609146,0.4933079481124878,0.2514013350009918,0.4946078956127167,0.4933079481124878,0.2535701394081116,0.013615413568913937,0.31091248989105225
3,0.12271612882614136,0.026462629437446594,0.008181827142834663,0.03804425150156021,0.03361432999372482,0.09797177463769913,0.0276752058416605,0.06283142417669296,0.10987743735313416,0.046857766807079315,0.06283142417669296,-0.0164857879281044,0.07724310457706451,0.005975271109491587
",",0.22659391164779663,0.40610817074775696,0.27065619826316833,0.4062570035457611,0.22653338313102722,0.44245919585227966,0.1930188089609146,0.4933079481124878,0.2514013350009918,0.4946078956127167,0.4933079481124878,0.2535701394081116,0.013615413568913937,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.27955541014671326,0.48576638102531433,0.25104308128356934,0.48971283435821533,0.20773613452911377,0.5171257257461548,0.2639926075935364,0.5116966962814331,0.5171257257461548,0.28545793890953064,-0.009439671412110329,0.20544172823429108
5,0.03444203734397888,0.006714559160172939,0.06646019220352173,-0.004890664014965296,0.07354370504617691,0.03588335961103439,0.0856608897447586,0.09255307912826538,0.06619755923748016,0.1043979674577713,0.09255307912826538,0.05234963074326515,-0.06514953821897507,0.06222071498632431
),0.17939934134483337,0.16602720320224762,0.22318662703037262,0.2373749315738678,0.245443657040596,0.31236231327056885,0.23268935084342957,0.3456730246543884,0.22714713215827942,0.3680361211299896,0.3456730246543884,0.19318018853664398,-0.0647796094417572,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.27065619826316833,0.4062570035457611,0.22653338313102722,0.44245919585227966,0.1930188089609146,0.4933079481124878,0.2514013350009918,0.4946078956127167,0.4933079481124878,0.2535701394081116,0.013615413568913937,0.31091248989105225
given,0.2367049753665924,0.2596621513366699,0.19232214987277985,0.20467253029346466,0.3918374180793762,0.3428947925567627,0.2761997878551483,0.37508252263069153,0.24112646281719208,0.39388060569763184,0.37508252263069153,0.24448595941066742,0.03491942211985588,0.2570464313030243
that,0.557814359664917,0.5391656160354614,0.21003998816013336,0.45265161991119385,0.37379229068756104,0.5436353087425232,0.3765433728694916,0.5473989248275757,0.2939705550670624,0.41498205065727234,0.5473989248275757,0.32951247692108154,0.09825833886861801,0.32716336846351624
4,-0.09503452479839325,-0.054631516337394714,0.2290392965078354,-0.08760347217321396,0.016995050013065338,0.059323787689208984,0.04935385286808014,0.15499350428581238,-0.03715638816356659,0.17227263748645782,0.15499350428581238,-0.03914346173405647,-0.02327142469584942,0.010515431873500347
