,to,which,year,has,the,antwerp,city,hall,doors,in,the,v,&,a,collection,been,dated,?
there,0.40669289231300354,0.45256471633911133,0.23605135083198547,0.42909398674964905,0.47025805711746216,0.17408804595470428,0.27553731203079224,0.20509423315525055,0.1792982965707779,0.5361666083335876,0.47025805711746216,0.10717330873012543,0.10558571666479111,0.4214206337928772,0.18927989900112152,0.3571467399597168,0.21016138792037964,0.29405656456947327
are,0.3504326641559601,0.42922598123550415,0.1750577986240387,0.4313911199569702,0.40399202704429626,0.12363361567258835,0.19493703544139862,0.16205555200576782,0.22133426368236542,0.3841303884983063,0.40399202704429626,0.07239489257335663,0.17888472974300385,0.265255331993103,0.22862131893634796,0.4703826308250427,0.06571130454540253,0.24591213464736938
a,0.45503583550453186,0.56894451379776,0.29350247979164124,0.4670248031616211,0.5829201340675354,0.1958206743001938,0.2349124401807785,0.23568391799926758,0.19150517880916595,0.539380669593811,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.24716788530349731,0.3315402865409851,0.19971038401126862,0.23916715383529663
set,0.320547491312027,0.3371303975582123,0.16030070185661316,0.128098264336586,0.2927955985069275,0.16857992112636566,0.20298238098621368,0.1754794418811798,0.18492984771728516,0.2663729190826416,0.2927955985069275,0.18427102267742157,0.1100035235285759,0.2540091574192047,0.25364816188812256,0.16857275366783142,0.14303970336914062,0.1698019951581955
of,0.41548454761505127,0.5011631846427917,0.2578314542770386,0.3909035325050354,0.733189046382904,0.2773493826389313,0.32503411173820496,0.23551815748214722,0.13909965753555298,0.5696388483047485,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.2915455996990204,0.31685134768486023,0.210488960146904,0.1826142966747284
beautiful,0.19225826859474182,0.26197588443756104,0.16695496439933777,0.26432931423187256,0.19110354781150818,0.11925739794969559,0.2054784893989563,0.14846721291542053,0.23543982207775116,0.2500741183757782,0.19110354781150818,0.08667496591806412,0.11335014551877975,0.24241496622562408,0.1757374405860901,0.15422526001930237,0.09272632747888565,0.15274713933467865
inlaid,0.21804115176200867,0.31803062558174133,0.15569350123405457,0.1539798527956009,0.29471835494041443,0.10180522501468658,0.18316592276096344,0.16171656548976898,0.2843870520591736,0.17142152786254883,0.29471835494041443,0.13444016873836517,0.13846762478351593,0.22571705281734467,0.22128280997276306,0.19244873523712158,0.2583291232585907,0.17906951904296875
doors,0.19083057343959808,0.2280818074941635,0.15562602877616882,0.17803855240345,0.2340378314256668,0.1672956347465515,0.15303358435630798,0.2452222853899002,1.0000001192092896,0.18483485281467438,0.2340378314256668,0.10155289620161057,0.11070844531059265,0.19150517880916595,0.15567177534103394,0.1733386367559433,0.11180999875068665,0.12192773818969727
",",0.44245919585227966,0.3658004403114319,0.28560417890548706,0.3734780251979828,0.4933079481124878,0.19908712804317474,0.35839709639549255,0.2648565471172333,0.2020350694656372,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2277175933122635,0.34873589873313904,0.2621086835861206,0.31091248989105225
dated,0.20172762870788574,0.215279221534729,0.26412805914878845,0.2051457166671753,0.2046709507703781,0.1066085696220398,0.09104043990373611,0.11709778010845184,0.11180999875068665,0.1982845962047577,0.2046709507703781,0.06996108591556549,0.09943925589323044,0.19971038401126862,0.19724096357822418,0.31360575556755066,1.0000001192092896,0.215650275349617
1580,0.19256041944026947,0.1511559635400772,0.09921891987323761,0.006819215137511492,0.08766049891710281,0.018896643072366714,-0.04667351022362709,-0.05194041132926941,0.08227864652872086,0.03230065479874611,0.08766049891710281,-0.01445216778665781,-0.01015873346477747,0.07111704349517822,-0.0713229849934578,0.06251590698957443,-0.02890997752547264,0.0664905533194542
from,0.4069952368736267,0.38755592703819275,0.2101740688085556,0.2621968984603882,0.40150508284568787,0.17600581049919128,0.3118290305137634,0.13851745426654816,0.10457995533943176,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.2754948139190674,0.27624839544296265,0.22167015075683594,0.19969791173934937
antwerp,0.19436326622962952,0.14590169489383698,0.15781258046627045,0.13608506321907043,0.21939463913440704,1.0,0.31173864006996155,0.21043761074543,0.1672956347465515,0.210985466837883,0.21939463913440704,0.14164301753044128,0.08022508025169373,0.1958206743001938,0.17765459418296814,0.13573959469795227,0.1066085696220398,0.1106182113289833
city,0.20300441980361938,0.22264601290225983,0.24964560568332672,0.2476206123828888,0.35769423842430115,0.31173864006996155,1.0,0.29909995198249817,0.15303358435630798,0.3911624252796173,0.35769423842430115,0.1576935052871704,0.132121279835701,0.2349124401807785,0.12973342835903168,0.1773093044757843,0.09104043990373611,0.13423943519592285
hall,0.19474083185195923,0.1866033673286438,0.21268776059150696,0.17677751183509827,0.28526565432548523,0.21043761074543,0.29909995198249817,1.0000001192092896,0.2452222853899002,0.23692627251148224,0.28526565432548523,0.05389706790447235,0.14738823473453522,0.23568391799926758,0.18933247029781342,0.1895565390586853,0.11709778010845184,0.13520537316799164
",",0.44245919585227966,0.3658004403114319,0.28560417890548706,0.3734780251979828,0.4933079481124878,0.19908712804317474,0.35839709639549255,0.2648565471172333,0.2020350694656372,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2277175933122635,0.34873589873313904,0.2621086835861206,0.31091248989105225
attributed,0.1937648355960846,0.26605096459388733,0.12296279519796371,0.12263329327106476,0.21220806241035461,0.09848512709140778,0.0860791802406311,0.07042861729860306,0.1777094304561615,0.1462014615535736,0.21220806241035461,0.06902122497558594,0.07989014685153961,0.17105847597122192,0.2697894275188446,0.29563194513320923,0.36044764518737793,0.20030178129673004
to,1.0,0.5345056653022766,0.23523004353046417,0.3619994819164276,0.535392165184021,0.19436326622962952,0.20300441980361938,0.19474083185195923,0.19083057343959808,0.45010748505592346,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.15417452156543732,0.34945759177207947,0.20172762870788574,0.29463258385658264
hans,0.13112299144268036,0.10470873862504959,0.17453205585479736,0.1502741426229477,0.2071325033903122,0.16478560864925385,0.07872048765420914,0.14700499176979065,0.041158776730298996,0.18619494140148163,0.2071325033903122,0.1213705912232399,0.08710277825593948,0.19378378987312317,0.1537172943353653,0.12039858102798462,0.13392575085163116,0.10353465378284454
vredeman,0.2730223536491394,0.22288160026073456,0.18009495735168457,0.27673059701919556,0.3600746691226959,0.2668549716472626,0.2413042038679123,0.34132280945777893,0.21511198580265045,0.3179760277271271,0.3600746691226959,0.15864033997058868,0.19570118188858032,0.334979772567749,0.258688360452652,0.24802689254283905,0.1972607970237732,0.23956653475761414
de,0.15903331339359283,0.13585758209228516,0.14729079604148865,0.16969458758831024,0.23491892218589783,0.299849271774292,0.15923210978507996,0.1910937875509262,0.12818023562431335,0.24818959832191467,0.23491892218589783,0.10887385904788971,0.14760345220565796,0.19532008469104767,0.16278176009655,0.15703131258487701,0.1481511890888214,0.11064168810844421
vries,0.1803123950958252,0.13801755011081696,0.1686314344406128,0.13518963754177094,0.20616327226161957,0.28314733505249023,0.07576930522918701,0.17139314115047455,0.12433630973100662,0.2454938143491745,0.20616327226161957,0.12664899230003357,0.13485774397850037,0.17745985090732574,0.1975167691707611,0.19774985313415527,0.17528752982616425,0.1914483606815338
