,who,were,chu'tsai,'s,forefathers,?
genghis,0.3018350303173065,0.25783681869506836,0.40366360545158386,0.031423866748809814,0.29238447546958923,0.18813461065292358
told,0.42740562558174133,0.37212300300598145,0.19169530272483826,-0.025254787877202034,0.26040777564048767,0.28178566694259644
chu'tsai,0.20748554170131683,0.1623220145702362,0.9999998807907104,-0.021040095016360283,0.2238221913576126,0.22282609343528748
",",0.3365725874900818,0.36755475401878357,0.29266196489334106,-0.0016132977325469255,0.3004986047744751,0.31091248989105225
who,0.9999998807907104,0.3188014328479767,0.20748554170131683,0.05599616840481758,0.3049365282058716,0.26220351457595825
was,0.3318818509578705,0.590133786201477,0.22115546464920044,0.008974763564765453,0.2558201551437378,0.18412111699581146
a,0.36608949303627014,0.17203083634376526,0.2528916597366333,0.04866964742541313,0.22568202018737793,0.23916715383529663
lineal,0.2040804624557495,0.14107279479503632,0.15005047619342804,-0.015383513644337654,0.275307834148407,0.16752170026302338
descendant,0.3264788091182709,0.2547535300254822,0.10894011706113815,-0.07926476746797562,0.4220379889011383,0.109697625041008
of,0.2827862501144409,0.34038281440734863,0.2379515916109085,-0.03817026689648628,0.3422188460826874,0.1826142966747284
khitan,0.2690381407737732,0.23881027102470398,0.4447605013847351,-0.014895584434270859,0.2738310396671295,0.22136270999908447
rulers,0.2367369681596756,0.3249526023864746,0.20509347319602966,0.007448198273777962,0.2986890971660614,0.12284242361783981
",",0.3365725874900818,0.36755475401878357,0.29266196489334106,-0.0016132977325469255,0.3004986047744751,0.31091248989105225
that,0.45444270968437195,0.35517072677612305,0.2229478508234024,0.04397977516055107,0.30343928933143616,0.32716336846351624
he,0.5500732064247131,0.31267037987709045,0.16258780658245087,0.024063590914011,0.24415865540504456,0.2089974731206894
had,0.36173108220100403,0.6150832772254944,0.13865099847316742,-0.004401352722197771,0.26942178606987,0.20728366076946259
avenged,0.2307351529598236,0.20076800882816315,0.19319795072078705,-0.005254564806818962,0.301611065864563,0.1159788966178894
chu'tsai,0.20748554170131683,0.1623220145702362,0.9999998807907104,-0.021040095016360283,0.2238221913576126,0.22282609343528748
's,0.05599616840481758,0.007088581565767527,-0.021040095016360283,0.9999999403953552,0.08154784142971039,-0.023395681753754616
forefathers,0.3049365282058716,0.2858487069606781,0.2238221913576126,0.08154784142971039,1.0,0.16906577348709106
.,0.3541337847709656,0.3378238379955292,0.27911457419395447,-0.003708066651597619,0.2349456399679184,0.4130953550338745
