,to,whom,did,william,maclure,submit,the,map,?
the,0.535392165184021,0.23752936720848083,0.34736719727516174,0.21537061035633087,0.2847614884376526,0.19348543882369995,1.0,0.2702621817588806,0.22068053483963013
results,0.24358662962913513,0.09198757261037827,0.27762722969055176,0.08609709143638611,0.13450023531913757,0.12408588826656342,0.2863679826259613,0.23073217272758484,0.21797199547290802
of,0.41548454761505127,0.2070929855108261,0.2513895630836487,0.20272590219974518,0.25085097551345825,0.2136346697807312,0.733189046382904,0.22708505392074585,0.1826142966747284
his,0.3715193271636963,0.38462314009666443,0.3546801507472992,0.2728368639945984,0.18679992854595184,0.1479661464691162,0.4394008219242096,0.11551425606012344,0.18075084686279297
unaided,0.37908488512039185,0.2768714427947998,0.23502109944820404,0.1796158254146576,0.20688532292842865,0.08871522545814514,0.3689059019088745,0.19469769299030304,0.15710873901844025
labours,0.1848352998495102,0.2712925374507904,0.17311051487922668,0.17395581305027008,0.22785957157611847,0.08321890980005264,0.21150310337543488,0.07727060467004776,0.13939723372459412
were,0.31913647055625916,0.27088287472724915,0.4162326455116272,0.18914814293384552,0.12375123053789139,0.189264178276062,0.3906462490558624,0.13356387615203857,0.17890112102031708
submitted,0.2779480218887329,0.2339886873960495,0.2993742823600769,0.15120379626750946,0.10635188966989517,0.787261962890625,0.2515087127685547,0.09959711879491806,0.2415507286787033
to,1.0,0.3108522593975067,0.4452643394470215,0.19802416861057281,0.20823991298675537,0.28412961959838867,0.535392165184021,0.19639305770397186,0.29463258385658264
the,0.535392165184021,0.23752936720848083,0.34736719727516174,0.21537061035633087,0.2847614884376526,0.19348543882369995,1.0,0.2702621817588806,0.22068053483963013
american,0.16338081657886505,0.22676262259483337,0.21486236155033112,0.31157881021499634,0.3232539892196655,0.08814401179552078,0.24562937021255493,0.07344088703393936,0.18877598643302917
philosophical,0.23708301782608032,0.1952551007270813,0.22330623865127563,0.18683484196662903,0.1884773075580597,0.16639240086078644,0.23365144431591034,0.1517793983221054,0.18311575055122375
society,0.20199917256832123,0.17606621980667114,0.18197309970855713,0.1482287496328354,0.18499985337257385,0.07026960700750351,0.2789285480976105,0.16134794056415558,0.1373005360364914
in,0.45010748505592346,0.20012985169887543,0.2593238651752472,0.21605195105075836,0.2512715756893158,0.1300755739212036,0.6662389636039734,0.2386031597852707,0.20430970191955566
a,0.45503583550453186,0.21455949544906616,0.2552328109741211,0.19269351661205292,0.25419288873672485,0.19167184829711914,0.5829201340675354,0.18429367244243622,0.23916715383529663
memoir,0.10108301788568497,0.14384807646274567,0.18348050117492676,0.2611536979675293,0.21664775907993317,0.1320044994354248,0.16328644752502441,0.09427228569984436,0.2024753987789154
entitled,0.2588021159172058,0.1563182771205902,0.25660303235054016,0.17832627892494202,0.16024145483970642,0.2807568311691284,0.2671615183353424,0.12859050929546356,0.2216128408908844
observations,0.2440076768398285,0.09261436015367508,0.19418998062610626,0.17100851237773895,0.19115900993347168,0.13794323801994324,0.2542272210121155,0.2316485345363617,0.16318461298942566
on,0.41031414270401,0.14539912343025208,0.2670976221561432,0.22346492111682892,0.2152981162071228,0.22931252419948578,0.5107308030128479,0.21447189152240753,0.2714994251728058
the,0.535392165184021,0.23752936720848083,0.34736719727516174,0.21537061035633087,0.2847614884376526,0.19348543882369995,1.0,0.2702621817588806,0.22068053483963013
geology,0.20812717080116272,0.031376421451568604,0.09929928928613663,0.16963179409503937,0.20313972234725952,0.16739661991596222,0.214850515127182,0.3457084596157074,0.1570872962474823
of,0.41548454761505127,0.2070929855108261,0.2513895630836487,0.20272590219974518,0.25085097551345825,0.2136346697807312,0.733189046382904,0.22708505392074585,0.1826142966747284
the,0.535392165184021,0.23752936720848083,0.34736719727516174,0.21537061035633087,0.2847614884376526,0.19348543882369995,1.0,0.2702621817588806,0.22068053483963013
united,0.2715383470058441,0.18133382499217987,0.21137088537216187,0.2399936467409134,0.2443476766347885,0.16701607406139374,0.34367692470550537,0.18356001377105713,0.17266890406608582
states,0.2828785181045532,0.16817618906497955,0.21754568815231323,0.20630286633968353,0.21094712615013123,0.19975587725639343,0.3463578522205353,0.16496706008911133,0.16272737085819244
explanatory,0.3044453263282776,0.11954723298549652,0.20239724218845367,0.07183148711919785,0.26629507541656494,0.21892637014389038,0.21786241233348846,0.24890144169330597,0.3119804859161377
of,0.41548454761505127,0.2070929855108261,0.2513895630836487,0.20272590219974518,0.25085097551345825,0.2136346697807312,0.733189046382904,0.22708505392074585,0.1826142966747284
a,0.45503583550453186,0.21455949544906616,0.2552328109741211,0.19269351661205292,0.25419288873672485,0.19167184829711914,0.5829201340675354,0.18429367244243622,0.23916715383529663
geological,0.21852900087833405,0.0794466957449913,0.14010505378246307,0.20672599971294403,0.20303095877170563,0.10703516751527786,0.2813860774040222,0.3436773717403412,0.16050557792186737
