,what,system,did,tesla,recommend,to,niagara,falls,in,1893,?
tesla,0.23221199214458466,0.18243813514709473,0.09757418930530548,0.9999999403953552,0.15895311534404755,0.17548894882202148,0.21620036661624908,0.07821866124868393,0.17097744345664978,0.030090492218732834,0.10250775516033173
advised,0.26456019282341003,0.16324572265148163,0.3517385721206665,0.0035599679686129093,0.4541912376880646,0.3607461154460907,0.08915877342224121,0.10912065953016281,0.20938405394554138,0.08537445217370987,0.18871766328811646
adams,0.15051817893981934,0.13849171996116638,0.20335952937602997,0.10032384842634201,0.07698225229978561,0.23368042707443237,0.23843158781528473,0.13003933429718018,0.17958872020244598,0.023275818675756454,0.11037187278270721
that,0.6297725439071655,0.3088737428188324,0.47518548369407654,0.22102725505828857,0.35837459564208984,0.5436353087425232,0.14027491211891174,0.17870967090129852,0.435920387506485,0.11332915723323822,0.32716336846351624
a,0.3320399522781372,0.2589043080806732,0.2552328109741211,0.2211925983428955,0.29654836654663086,0.45503583550453186,0.24506419897079468,0.2676706314086914,0.539380669593811,0.11840973794460297,0.23916715383529663
two-phased,0.24758248031139374,0.25952208042144775,0.21445585787296295,0.1665947288274765,0.23811495304107666,0.25387245416641235,0.13832171261310577,0.10442428290843964,0.2544943392276764,0.12467806041240692,0.1768016815185547
system,0.23557309806346893,1.0000001192092896,0.1967303454875946,0.18243813514709473,0.17840664088726044,0.26662686467170715,0.08481656759977341,0.006587758660316467,0.21978288888931274,0.0421348474919796,0.15556083619594574
would,0.45766422152519226,0.22481384873390198,0.6268245577812195,0.14290116727352142,0.44121789932250977,0.5965728163719177,0.1664332151412964,0.17878518998622894,0.30461156368255615,0.08243401348590851,0.37178951501846313
be,0.3929833769798279,0.24878063797950745,0.22657383978366852,0.15180771052837372,0.3921301066875458,0.4972836375236511,0.11133283376693726,0.14131727814674377,0.3481820821762085,0.10335833579301834,0.3324260413646698
the,0.42745697498321533,0.3233085572719574,0.34736719727516174,0.1324402391910553,0.2400718331336975,0.535392165184021,0.27139943838119507,0.2708098292350769,0.6662389636039734,0.10564703494310379,0.22068053483963013
most,0.3219912350177765,0.1998981088399887,0.2822507321834564,0.09699761122465134,0.18067951500415802,0.321603000164032,0.1493646204471588,0.15460380911827087,0.41416558623313904,0.08987241238355637,0.2107497900724411
reliable,0.3740312159061432,0.1462056040763855,0.24264174699783325,0.22648504376411438,0.29162734746932983,0.2514159083366394,0.19478625059127808,0.08813647925853729,0.1770780235528946,0.10986535251140594,0.36605745553970337
