,what,proclamation,abolished,protestantism,in,france,?
they,0.4431931674480438,0.2101738601922989,0.22429881989955902,0.2689608633518219,0.4330179989337921,0.23793530464172363,0.2753053903579712
retained,0.13867077231407166,0.21416456997394562,0.3369567096233368,0.17303986847400665,0.2674095332622528,0.13215966522693634,0.0590956024825573
the,0.42745697498321533,0.3199230134487152,0.3050917983055115,0.2780466079711914,0.6662389636039734,0.35517507791519165,0.22068053483963013
religious,0.26794421672821045,0.2878473401069641,0.22794261574745178,0.587006151676178,0.24099457263946533,0.22017283737659454,0.15727058053016663
provisions,0.2471846491098404,0.4493619501590729,0.4305456280708313,0.2999315559864044,0.17358911037445068,0.25382712483406067,0.22902937233448029
of,0.33290785551071167,0.31100159883499146,0.3066045939922333,0.31892913579940796,0.5696388483047485,0.3265724182128906,0.1826142966747284
the,0.42745697498321533,0.3199230134487152,0.3050917983055115,0.2780466079711914,0.6662389636039734,0.35517507791519165,0.22068053483963013
edict,0.16707053780555725,0.3906402289867401,0.26370969414711,0.43736541271209717,0.18521805107593536,0.2535679042339325,0.16218337416648865
of,0.33290785551071167,0.31100159883499146,0.3066045939922333,0.31892913579940796,0.5696388483047485,0.3265724182128906,0.1826142966747284
nantes,0.13674625754356384,0.2605407238006592,0.2313760370016098,0.27577781677246094,0.19122108817100525,0.5119680166244507,0.15215469896793365
until,0.2693650424480438,0.19881963729858398,0.3503841161727905,0.19367186725139618,0.38338494300842285,0.21410351991653442,0.20304496586322784
the,0.42745697498321533,0.3199230134487152,0.3050917983055115,0.2780466079711914,0.6662389636039734,0.35517507791519165,0.22068053483963013
rule,0.30539435148239136,0.3317548930644989,0.3328361213207245,0.25825005769729614,0.2128441035747528,0.1413644254207611,0.1955260932445526
of,0.33290785551071167,0.31100159883499146,0.3066045939922333,0.31892913579940796,0.5696388483047485,0.3265724182128906,0.1826142966747284
louis,0.11922219395637512,0.17323437333106995,0.2342967838048935,0.2205178588628769,0.2117311805486679,0.43262016773223877,0.09819188714027405
xiv,0.14248216152191162,0.25783202052116394,0.24642091989517212,0.2716881036758423,0.20836922526359558,0.39718514680862427,0.19533176720142365
",",0.3087472915649414,0.30962246656417847,0.2612350583076477,0.27199801802635193,0.5201468467712402,0.28250643610954285,0.31091248989105225
who,0.40942975878715515,0.2125280797481537,0.18192313611507416,0.2580466568470001,0.2792111933231354,0.18489117920398712,0.26220351457595825
progressively,0.22825877368450165,0.150697723031044,0.16040092706680298,0.25963154435157776,0.2224106639623642,0.11270267516374588,0.11113753914833069
increased,0.1599731743335724,0.2437957525253296,0.28336402773857117,0.17343169450759888,0.244624063372612,0.12907259166240692,0.09587585180997849
persecution,0.2927123010158539,0.3884567320346832,0.2924729287624359,0.5453722476959229,0.25926244258880615,0.2094450294971466,0.16299931704998016
of,0.33290785551071167,0.31100159883499146,0.3066045939922333,0.31892913579940796,0.5696388483047485,0.3265724182128906,0.1826142966747284
them,0.4994642734527588,0.28970515727996826,0.1515800952911377,0.24586640298366547,0.29119014739990234,0.20932485163211823,0.35435691475868225
until,0.2693650424480438,0.19881963729858398,0.3503841161727905,0.19367186725139618,0.38338494300842285,0.21410351991653442,0.20304496586322784
he,0.3114890456199646,0.21361413598060608,0.24284860491752625,0.24583843350410461,0.41690486669540405,0.2801939845085144,0.2089974731206894
issued,0.18988175690174103,0.41606447100639343,0.35248619318008423,0.24009136855602264,0.17191201448440552,0.1482848972082138,0.169851616024971
the,0.42745697498321533,0.3199230134487152,0.3050917983055115,0.2780466079711914,0.6662389636039734,0.35517507791519165,0.22068053483963013
edict,0.16707053780555725,0.3906402289867401,0.26370969414711,0.43736541271209717,0.18521805107593536,0.2535679042339325,0.16218337416648865
of,0.33290785551071167,0.31100159883499146,0.3066045939922333,0.31892913579940796,0.5696388483047485,0.3265724182128906,0.1826142966747284
fontainebleau,0.13918337225914001,0.30124741792678833,0.2462078034877777,0.3192136883735657,0.3228435516357422,0.5651376247406006,0.15787631273269653
(,0.2411840260028839,0.22906190156936646,0.18409910798072815,0.15852800011634827,0.3087427020072937,0.16646498441696167,0.40561532974243164
1685,0.011768915690481663,0.18060006201267242,0.2891649305820465,0.09273341298103333,0.17023275792598724,0.11050871014595032,-0.07933684438467026
),0.26259949803352356,0.22156158089637756,0.17777658998966217,0.18222017586231232,0.3326910734176636,0.1968100666999817,0.42300865054130554
