,when,did,the,english,high,court,find,microsoft,'s,use,of,the,term,``,skydrive,'',infringed,on,sky,'s,right,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.19623121619224548,0.2652597725391388,0.2793687880039215,0.2040027230978012,0.15674716234207153,-0.037580832839012146,0.2715643048286438,0.5696388483047485,0.6662389636039734,0.27866655588150024,0.04765888676047325,0.32230144739151,0.07432962208986282,0.13211965560913086,0.46853652596473694,0.20324937999248505,-0.037580832839012146,0.16096803545951843,0.20430970191955566
july,0.24211758375167847,0.25485745072364807,0.2371699959039688,0.29235076904296875,0.14806076884269714,0.1629772037267685,0.1560531109571457,0.17744021117687225,-0.06841624528169632,0.08956007659435272,0.19723743200302124,0.2371699959039688,0.09970857948064804,0.07609877735376358,0.264590322971344,-0.0906042605638504,0.20829761028289795,0.36770564317703247,0.11920204758644104,-0.06841624528169632,0.16809463500976562,0.2897891402244568
2013,-0.3901043236255646,-0.264662504196167,-0.38509321212768555,-0.12082594633102417,-0.2024349570274353,-0.18156597018241882,-0.3032251298427582,-0.17236509919166565,-0.05552978441119194,-0.4325302541255951,-0.2904720902442932,-0.38509321212768555,-0.16847239434719086,-0.03703688085079193,-0.3630344569683075,-0.027504753321409225,-0.292620986700058,-0.3310580551624298,-0.2084750533103943,-0.05552978441119194,-0.2670367956161499,-0.2969330847263336
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.3339248597621918,0.27938312292099,0.24410836398601532,0.27622509002685547,0.21971753239631653,-0.0016132977325469255,0.3276674151420593,0.4946078956127167,0.4933079481124878,0.21599270403385162,0.09681109338998795,0.34465911984443665,-0.037358131259679794,0.2971166670322418,0.49057599902153015,0.22621183097362518,-0.0016132977325469255,0.24165019392967224,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.23982001841068268,0.28034812211990356,0.2812081575393677,0.2696352005004883,0.23993754386901855,-0.01540423184633255,0.34342584013938904,0.733189046382904,1.0,0.2740369141101837,0.029072100296616554,0.36296993494033813,0.041273195296525955,0.23342125117778778,0.5107308030128479,0.26521286368370056,-0.01540423184633255,0.33901116251945496,0.22068053483963013
english,0.17140372097492218,0.18994997441768646,0.23982001841068268,0.9999999403953552,0.13154086470603943,0.17287792265415192,0.2432585060596466,0.1692979484796524,0.04063878208398819,0.24783019721508026,0.17198967933654785,0.23982001841068268,0.14623789489269257,0.03079455904662609,0.20565855503082275,0.058639850467443466,0.21758762001991272,0.20717674493789673,0.10621132701635361,0.04063878208398819,0.118913434445858,0.23251567780971527
high,0.20577524602413177,0.15957149863243103,0.28034812211990356,0.13154086470603943,1.0,0.22039927542209625,0.09365244954824448,0.08412381261587143,-0.04658069461584091,0.1721765547990799,0.2803038954734802,0.28034812211990356,0.16842742264270782,-0.032595276832580566,0.2093210220336914,0.01435898058116436,0.10176282376050949,0.20843200385570526,0.17249977588653564,-0.04658069461584091,0.15150314569473267,0.11137914657592773
court,0.23927445709705353,0.23020441830158234,0.2812081575393677,0.17287792265415192,0.22039927542209625,1.0,0.12711217999458313,0.14010341465473175,-0.0831713154911995,0.13846775889396667,0.28835242986679077,0.2812081575393677,0.1185028925538063,0.041694171726703644,0.1939561367034912,0.02976340800523758,0.3204421401023865,0.23630931973457336,0.1655808836221695,-0.0831713154911995,0.22913949191570282,0.17100423574447632
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.17198967933654785,0.2803038954734802,0.28835242986679077,0.2276865392923355,0.19447508454322815,-0.03817026689648628,0.2750902473926544,1.0,0.733189046382904,0.26047757267951965,0.06780257821083069,0.28183984756469727,0.13035868108272552,0.21162864565849304,0.3966929316520691,0.16284865140914917,-0.03817026689648628,0.22473211586475372,0.1826142966747284
justice,0.15634077787399292,0.10621706396341324,0.23470892012119293,0.1719137728214264,0.1769265979528427,0.5483176112174988,0.16049593687057495,0.19189533591270447,0.013917717151343822,0.10770361870527267,0.2658293545246124,0.23470892012119293,0.11439330130815506,0.009855320677161217,0.221628338098526,0.007334704976528883,0.2730865180492401,0.1708904355764389,0.1769256740808487,0.013917717151343822,0.15651200711727142,0.19269752502441406
found,0.24078510701656342,0.15878844261169434,0.3452354073524475,0.11332632601261139,0.16688138246536255,0.1475227177143097,0.411496639251709,0.12210746109485626,0.005866709165275097,0.2091979831457138,0.2982911467552185,0.3452354073524475,0.14670544862747192,0.013845388777554035,0.22896599769592285,0.09618200361728668,0.18861086666584015,0.2337699830532074,0.14340358972549438,0.005866709165275097,0.11872687935829163,0.16790300607681274
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.21455132961273193,0.2400680035352707,0.2474849969148636,0.38642045855522156,0.29500120878219604,0.04397977516055107,0.3939064145088196,0.41498205065727234,0.5473989248275757,0.2833994925022125,0.05285148695111275,0.40341857075691223,0.007880004122853279,0.3473595380783081,0.42569106817245483,0.27413034439086914,0.04397977516055107,0.3680553734302521,0.32716336846351624
microsoft,0.19958975911140442,0.18161994218826294,0.23993754386901855,0.1692979484796524,0.08412381261587143,0.14010341465473175,0.1926443874835968,1.0,-0.01847764104604721,0.273572713136673,0.19447508454322815,0.23993754386901855,0.16835573315620422,-0.011674009263515472,0.3869832456111908,-0.012790479697287083,0.32770130038261414,0.2161397784948349,0.1815650463104248,-0.01847764104604721,0.16436052322387695,0.23943206667900085
’,0.0063735563308000565,0.04859831556677818,-0.04090067744255066,0.005770523101091385,0.016935359686613083,-0.06396988034248352,0.12000942975282669,0.05354141443967819,-0.1203070729970932,0.023544762283563614,-0.062016043812036514,-0.04090067744255066,0.034346792846918106,0.006244389805942774,0.11758892983198166,-0.051117122173309326,0.039297353476285934,0.052648309618234634,0.04187680408358574,-0.1203070729970932,-0.03075980395078659,0.045561522245407104
