,to,what,gauge,have,some,lines,been,changed,in,the,west,of,victoria,?
however,0.5474119186401367,0.4480680823326111,0.23552563786506653,0.5919817090034485,0.5966196060180664,0.23029954731464386,0.4543949365615845,0.3768026530742645,0.3982149362564087,0.49814513325691223,0.19416727125644684,0.3800618350505829,0.19028611481189728,0.2152075469493866
",",0.44245919585227966,0.3087472915649414,0.24010542035102844,0.3541618287563324,0.42400437593460083,0.23323656618595123,0.34873589873313904,0.3335177004337311,0.5201468467712402,0.4933079481124878,0.28857502341270447,0.4946078956127167,0.2279360294342041,0.31091248989105225
the,0.535392165184021,0.42745697498321533,0.20929455757141113,0.40389683842658997,0.4566698372364044,0.28391990065574646,0.3563927710056305,0.351829469203949,0.6662389636039734,1.0,0.32918402552604675,0.733189046382904,0.2204313427209854,0.22068053483963013
interstate,0.2701593041419983,0.2636648714542389,0.25917497277259827,0.16590097546577454,0.15349629521369934,0.3093913793563843,0.11803409457206726,0.1370595544576645,0.20061586797237396,0.21078766882419586,0.27777767181396484,0.19796381890773773,0.18427583575248718,0.1831059604883194
trunk,0.227370023727417,0.13156147301197052,0.24391350150108337,0.21669001877307892,0.1627512127161026,0.25635960698127747,0.15776312351226807,0.16110475361347198,0.2005818635225296,0.2530803680419922,0.15864861011505127,0.22713090479373932,0.15093879401683807,0.0736071765422821
routes,0.2783066928386688,0.20309355854988098,0.313140869140625,0.22235806286334991,0.2242531031370163,0.41623997688293457,0.1929437816143036,0.1418878734111786,0.2057504653930664,0.2368125319480896,0.2672584354877472,0.19020642340183258,0.1480977088212967,0.10893595963716507
",",0.44245919585227966,0.3087472915649414,0.24010542035102844,0.3541618287563324,0.42400437593460083,0.23323656618595123,0.34873589873313904,0.3335177004337311,0.5201468467712402,0.4933079481124878,0.28857502341270447,0.4946078956127167,0.2279360294342041,0.31091248989105225
as,0.42092081904411316,0.31749409437179565,0.18890291452407837,0.37788212299346924,0.4293700158596039,0.18591980636119843,0.3975982367992401,0.21351832151412964,0.3887844979763031,0.48381632566452026,0.1651858687400818,0.3886612355709076,0.19515912234783173,0.27043893933296204
well,0.3422003388404846,0.4154493808746338,0.1948573887348175,0.46326565742492676,0.549889862537384,0.21488098800182343,0.4239274561405182,0.258247435092926,0.36612698435783386,0.42630070447921753,0.2059277892112732,0.3343164324760437,0.15728411078453064,0.24815571308135986
as,0.42092081904411316,0.31749409437179565,0.18890291452407837,0.37788212299346924,0.4293700158596039,0.18591980636119843,0.3975982367992401,0.21351832151412964,0.3887844979763031,0.48381632566452026,0.1651858687400818,0.3886612355709076,0.19515912234783173,0.27043893933296204
