,tension,",",compression,",",and,drag,are,what,kind,of,forces,?
for,0.23103433847427368,0.4464869201183319,0.2499852478504181,0.4464869201183319,0.5064792633056641,0.24048064649105072,0.3895993232727051,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.14048048853874207,0.264628142118454
example,0.24762237071990967,0.3094974756240845,0.33515071868896484,0.3094974756240845,0.35305824875831604,0.1449754685163498,0.4108889698982239,0.3456268310546875,0.4014129340648651,0.3570667505264282,0.17236046493053436,0.30374911427497864
",",0.15723368525505066,1.0000001192092896,0.19348332285881042,1.0000001192092896,0.6633074283599854,0.259497731924057,0.4062570035457611,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2544684410095215,0.31091248989105225
friction,0.5158755779266357,0.21246513724327087,0.5011070370674133,0.21246513724327087,0.2637402415275574,0.4210326671600342,0.23794537782669067,0.2582229971885681,0.2899458408355713,0.21519047021865845,0.3687760531902313,0.18292373418807983
is,0.2469489723443985,0.4691906273365021,0.2661573588848114,0.4691906273365021,0.3859752118587494,0.2002873420715332,0.5330929756164551,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.18792390823364258,0.22961433231830597
caused,0.3140510320663452,0.2600580155849457,0.26213592290878296,0.2600580155849457,0.2892237603664398,0.18849490582942963,0.20968151092529297,0.22264783084392548,0.23614826798439026,0.29665443301200867,0.2633538842201233,0.20679491758346558
by,0.23650865256786346,0.3680937886238098,0.20253512263298035,0.3680937886238098,0.4289871156215668,0.15916773676872253,0.37842893600463867,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.294624388217926,0.17966607213020325
the,0.28513848781585693,0.4933079481124878,0.24867193400859833,0.4933079481124878,0.5171257257461548,0.23696613311767578,0.40399202704429626,0.42745697498321533,0.2516445517539978,0.733189046382904,0.3134811818599701,0.22068053483963013
gradients,0.394568532705307,0.22679220139980316,0.491068959236145,0.22679220139980316,0.261011004447937,0.21468858420848846,0.2966657876968384,0.28271761536598206,0.20358537137508392,0.2172093391418457,0.29828113317489624,0.19242653250694275
of,0.21522673964500427,0.4946078956127167,0.2915203273296356,0.4946078956127167,0.5116966962814331,0.17295612394809723,0.39081433415412903,0.33290785551071167,0.2285657674074173,1.0,0.3090144991874695,0.1826142966747284
numerous,0.18286597728729248,0.27380234003067017,0.19417670369148254,0.27380234003067017,0.3871175944805145,0.2141829878091812,0.4010654389858246,0.1867249608039856,0.15630383789539337,0.3024154603481293,0.14131122827529907,0.0875130444765091
electrostatic,0.3880235254764557,0.21243512630462646,0.4149089753627777,0.21243512630462646,0.21460993587970734,0.26168522238731384,0.2062145322561264,0.19989687204360962,0.2522798478603363,0.2530308961868286,0.3278909921646118,0.1316060572862625
potentials,0.23272670805454254,0.25780218839645386,0.3027926981449127,0.25780218839645386,0.26859092712402344,0.17756973206996918,0.3672924041748047,0.25516554713249207,0.28224653005599976,0.2506366968154907,0.2295393943786621,0.18962641060352325
between,0.3867897689342499,0.27714940905570984,0.16630549728870392,0.27714940905570984,0.40645647048950195,0.12726271152496338,0.2766000032424927,0.2462156116962433,0.13910992443561554,0.3737983703613281,0.252635657787323,0.12887074053287506
the,0.28513848781585693,0.4933079481124878,0.24867193400859833,0.4933079481124878,0.5171257257461548,0.23696613311767578,0.40399202704429626,0.42745697498321533,0.2516445517539978,0.733189046382904,0.3134811818599701,0.22068053483963013
atoms,0.3382819890975952,0.19749411940574646,0.33687764406204224,0.19749411940574646,0.21866731345653534,0.16394074261188507,0.271334171295166,0.2511626183986664,0.19860222935676575,0.20656298100948334,0.2677111327648163,0.17423541843891144
",",0.15723368525505066,1.0000001192092896,0.19348332285881042,1.0000001192092896,0.6633074283599854,0.259497731924057,0.4062570035457611,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.2544684410095215,0.31091248989105225
but,0.24956241250038147,0.48126736283302307,0.23537655174732208,0.48126736283302307,0.5762497186660767,0.20131391286849976,0.47990062832832336,0.5029441118240356,0.3482404947280884,0.39942997694015503,0.2680845558643341,0.27921953797340393
manifests,0.3285611867904663,0.16382864117622375,0.2847486436367035,0.16382864117622375,0.1728373020887375,0.16500099003314972,0.19827784597873688,0.2511559724807739,0.2691616415977478,0.24713654816150665,0.2260396033525467,0.15408824384212494
as,0.1588457226753235,0.48816442489624023,0.19827286899089813,0.48816442489624023,0.49487000703811646,0.24074022471904755,0.3826591968536377,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.1724308878183365,0.27043893933296204
