,why,did,the,shah,of,iran,gave,an,interview,?
this,0.5040162205696106,0.3609912693500519,0.6274310946464539,0.16165891289710999,0.45148900151252747,0.18372657895088196,0.24411337077617645,0.41881775856018066,0.15469960868358612,0.3155723512172699
renewal,0.14274784922599792,0.08989977836608887,0.25515222549438477,0.25684353709220886,0.25080376863479614,0.12109732627868652,0.08999666571617126,0.16241851449012756,0.11267493665218353,0.10891313850879669
of,0.28464117646217346,0.2513895630836487,0.733189046382904,0.21966372430324554,1.0,0.23381876945495605,0.3650403320789337,0.32280945777893066,0.11406674236059189,0.1826142966747284
hostilities,0.21157251298427582,0.26414963603019714,0.2873523533344269,0.24894990026950836,0.23821476101875305,0.20780524611473083,0.21708421409130096,0.19498908519744873,0.14020681381225586,0.14715032279491425
in,0.23227278888225555,0.2593238651752472,0.6662389636039734,0.13658541440963745,0.5696388483047485,0.2470509260892868,0.24152803421020508,0.2605783939361572,0.06966886669397354,0.20430970191955566
the,0.30742117762565613,0.34736719727516174,1.0,0.19914765655994415,0.733189046382904,0.2222200483083725,0.32555076479911804,0.4207492768764496,0.1324702501296997,0.22068053483963013
arab–israeli,0.297986775636673,0.22819143533706665,0.31903916597366333,0.34456825256347656,0.2506354749202728,0.3626239597797394,0.1594005525112152,0.290620356798172,0.2284141182899475,0.25565993785858154
conflict,0.2798466384410858,0.20577645301818848,0.2974752187728882,0.16777439415454865,0.2620731294155121,0.19575084745883942,0.1203543022274971,0.2422652542591095,0.17241808772087097,0.26744839549064636
released,0.2057911455631256,0.20844610035419464,0.24578391015529633,0.1958290934562683,0.17721395194530487,0.13507571816444397,0.1846257448196411,0.15115685760974884,0.2592306435108185,0.20329579710960388
the,0.30742117762565613,0.34736719727516174,1.0,0.19914765655994415,0.733189046382904,0.2222200483083725,0.32555076479911804,0.4207492768764496,0.1324702501296997,0.22068053483963013
underlying,0.35194048285484314,0.17368075251579285,0.3030717074871063,0.14812642335891724,0.30307427048683167,0.1863209307193756,0.10599944740533829,0.21435019373893738,0.11384036391973495,0.2342413365840912
economic,0.19009041786193848,0.14787930250167847,0.282455176115036,0.16182874143123627,0.3030148148536682,0.19921056926250458,0.1314300000667572,0.15034084022045135,0.16179102659225464,0.1206481084227562
pressure,0.19398412108421326,0.18982082605361938,0.28285476565361023,0.1278265118598938,0.22627468407154083,0.13686884939670563,0.10505831241607666,0.20067937672138214,0.1834547072649002,0.142023503780365
on,0.2698206305503845,0.2670976221561432,0.5107308030128479,0.10634800791740417,0.3966929316520691,0.1285727322101593,0.2442021518945694,0.3192969560623169,0.18283188343048096,0.2714994251728058
oil,0.20345439016819,0.10956666618585587,0.21849922835826874,0.15343987941741943,0.22900764644145966,0.29594725370407104,0.04455534741282463,0.13089607656002045,0.11831619590520859,0.14867261052131653
prices,0.13124977052211761,0.22555270791053772,0.24549299478530884,0.13716241717338562,0.168605774641037,0.1807108074426651,0.12051510065793991,0.11885417997837067,0.12054481357336044,0.14604969322681427
