,when,did,dfds,terminate,its,services,to,norway,?
the,0.5091903209686279,0.34736719727516174,0.34959444403648376,0.24870391190052032,0.559237003326416,0.2381475418806076,0.535392165184021,0.20952337980270386,0.22068053483963013
dfds,0.32049065828323364,0.26871174573898315,0.9999999403953552,0.27549925446510315,0.2598530054092407,0.29071518778800964,0.3211943805217743,0.2515466809272766,0.36004528403282166
ferry,0.1616441160440445,0.10035678744316101,0.21836510300636292,0.30672645568847656,0.15035302937030792,0.36380061507225037,0.20805752277374268,0.2277572602033615,0.11376336216926575
service,0.23540960252285004,0.14130860567092896,0.2548087239265442,0.26906314492225647,0.180259108543396,0.7696225047111511,0.24411341547966003,0.13201364874839783,0.1676298975944519
to,0.5423505902290344,0.4452643394470215,0.3211943805217743,0.31959468126296997,0.3691340684890747,0.27867045998573303,1.0,0.19345083832740784,0.29463258385658264
gothenburg,0.17663000524044037,0.14423108100891113,0.29445141553878784,0.14539919793605804,0.15706183016300201,0.15357576310634613,0.13430055975914001,0.45111823081970215,0.13408420979976654
",",0.36674630641937256,0.3015086054801941,0.40807899832725525,0.20923475921154022,0.33157986402511597,0.24788528680801392,0.44245919585227966,0.23151691257953644,0.31091248989105225
sweden,0.15684205293655396,0.14059685170650482,0.24154555797576904,0.03618037700653076,0.1542040854692459,0.1730002462863922,0.15696309506893158,0.5971549153327942,0.1268482208251953
",",0.36674630641937256,0.3015086054801941,0.40807899832725525,0.20923475921154022,0.33157986402511597,0.24788528680801392,0.44245919585227966,0.23151691257953644,0.31091248989105225
ceased,0.2627754211425781,0.2881433069705963,0.26045462489128113,0.32259446382522583,0.3000630736351013,0.30033233761787415,0.23600272834300995,0.11625184863805771,0.17789196968078613
at,0.38876327872276306,0.28390252590179443,0.26351240277290344,0.12163619697093964,0.2685394287109375,0.2512115240097046,0.36524343490600586,0.1873781532049179,0.21978627145290375
the,0.5091903209686279,0.34736719727516174,0.34959444403648376,0.24870391190052032,0.559237003326416,0.2381475418806076,0.535392165184021,0.20952337980270386,0.22068053483963013
end,0.3228412866592407,0.18808481097221375,0.23333491384983063,0.32483959197998047,0.19770386815071106,0.12854823470115662,0.3229445815086365,0.13534168899059296,0.12543344497680664
