,where,are,international,corporations,headquartered,?
orange,0.14082323014736176,0.191231831908226,0.06425401568412781,0.07214798778295517,0.14929425716400146,0.1066059097647667
county,0.18380607664585114,0.16119374334812164,0.20254679024219513,0.21545498073101044,0.27043119072914124,0.07680056244134903
is,0.3586711287498474,0.5330929756164551,0.19279639422893524,0.2094166874885559,0.22352874279022217,0.22961433231830597
a,0.40997210144996643,0.265255331993103,0.24617823958396912,0.20268648862838745,0.22641313076019287,0.23916715383529663
rapidly,0.2290879338979721,0.2320833057165146,0.17831026017665863,0.26405659317970276,0.15566714107990265,0.11245343834161758
developing,0.2389208972454071,0.2817016839981079,0.26478275656700134,0.3668200671672821,0.22912892699241638,0.1301516592502594
business,0.21156923472881317,0.16427041590213776,0.2881801724433899,0.5044231414794922,0.3217640817165375,0.1545659303665161
center,0.2405661791563034,0.14647969603538513,0.27054473757743835,0.17959286272525787,0.3166922330856323,0.12538520991802216
that,0.4876193106174469,0.45265161991119385,0.16969050467014313,0.22704839706420898,0.16854065656661987,0.32716336846351624
includes,0.1867043823003769,0.4409101605415344,0.17068599164485931,0.16427810490131378,0.18830236792564392,0.14011523127555847
downtown,0.23497049510478973,0.16882547736167908,0.23388855159282684,0.333681583404541,0.3790072500705719,0.15638743340969086
santa,0.18257969617843628,0.13769486546516418,0.07480284571647644,0.13595880568027496,0.22950880229473114,0.17321589589118958
ana,0.1638922095298767,0.11092314124107361,0.13048742711544037,0.10636485368013382,0.17775286734104156,0.17085084319114685
",",0.3149496018886566,0.4062570035457611,0.23395943641662598,0.26229405403137207,0.2735316753387451,0.31091248989105225
the,0.5003893971443176,0.40399202704429626,0.23719607293605804,0.2883489727973938,0.306002676486969,0.22068053483963013
south,0.2539864182472229,0.21281804144382477,0.233249232172966,0.1858939528465271,0.25355064868927,0.12336621433496475
coast,0.253967821598053,0.19096210598945618,0.20013831555843353,0.17947141826152802,0.1838752180337906,0.15869849920272827
metro,0.13991737365722656,0.1307276040315628,0.23392783105373383,0.2371087670326233,0.2510732412338257,0.15922676026821136
and,0.43859338760375977,0.48576638102531433,0.2444424331188202,0.2872149348258972,0.1958991438150406,0.20544172823429108
newport,0.21791596710681915,0.15845486521720886,0.17193451523780823,0.1862994134426117,0.25388485193252563,0.10541155934333801
center,0.2405661791563034,0.14647969603538513,0.27054473757743835,0.17959286272525787,0.3166922330856323,0.12538520991802216
districts,0.178152933716774,0.26054954528808594,0.17420406639575958,0.28071463108062744,0.3347044289112091,0.10677915066480637
;,-0.020392686128616333,0.15315808355808258,0.08798732608556747,0.09784794598817825,0.11036629229784012,0.10349778085947037
as,0.35409465432167053,0.3826591968536377,0.20422232151031494,0.24266347289085388,0.1895751804113388,0.27043893933296204
