,what,are,malum,prohibitum,considerations,?
other,0.341873437166214,0.5932393670082092,0.22143089771270752,0.245432510972023,0.3414900600910187,0.24682199954986572
legal,0.26388198137283325,0.15840981900691986,0.209456205368042,0.4491698145866394,0.3294948935508728,0.2143220454454422
requirements,0.32438647747039795,0.3621426522731781,0.2050660252571106,0.3067960739135742,0.5009763836860657,0.2940613329410553
come,0.39461299777030945,0.4015005826950073,0.22362318634986877,0.19744159281253815,0.2957605719566345,0.22318024933338165
from,0.2737620174884796,0.2674213647842407,0.24531400203704834,0.2678500711917877,0.22581163048744202,0.19969791173934937
malum,0.229874849319458,0.2510751783847809,1.0,0.21378986537456512,0.11904660612344742,0.19177968800067902
prohibitum,0.24296018481254578,0.2010275423526764,0.21378986537456512,0.9999998807907104,0.2422601580619812,0.24928122758865356
considerations,0.33581599593162537,0.3040275573730469,0.11904660612344742,0.2422601580619812,1.0000001192092896,0.32653504610061646
",",0.3087472915649414,0.4062570035457611,0.35154953598976135,0.2603853940963745,0.3588588535785675,0.31091248989105225
or,0.33867141604423523,0.5374364256858826,0.24977870285511017,0.3474422097206116,0.2636309862136841,0.32389625906944275
things,0.5577362775802612,0.4354586899280548,0.22597160935401917,0.26351073384284973,0.40938600897789,0.36181706190109253
that,0.6297725439071655,0.45265161991119385,0.21141020953655243,0.25363099575042725,0.32378801703453064,0.32716336846351624
are,0.29724663496017456,1.0,0.2510751783847809,0.2010275423526764,0.3040275573730469,0.24591213464736938
a,0.3320399522781372,0.265255331993103,0.3143913447856903,0.19239941239356995,0.25780433416366577,0.23916715383529663
matter,0.41697224974632263,0.31021252274513245,0.1915927231311798,0.2824239730834961,0.33491793274879456,0.269619345664978
of,0.33290785551071167,0.39081433415412903,0.20609086751937866,0.2261415421962738,0.31738394498825073,0.1826142966747284
custom,0.2649167776107788,0.1914246678352356,0.09871698170900345,0.26397937536239624,0.23127295076847076,0.26820895075798035
or,0.33867141604423523,0.5374364256858826,0.24977870285511017,0.3474422097206116,0.2636309862136841,0.32389625906944275
expectation,0.36794713139533997,0.1712159663438797,0.13175010681152344,0.25517481565475464,0.39215561747550964,0.2760455310344696
",",0.3087472915649414,0.4062570035457611,0.35154953598976135,0.2603853940963745,0.3588588535785675,0.31091248989105225
such,0.23989605903625488,0.4654397666454315,0.1849316656589508,0.2648928463459015,0.32583755254745483,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.2265096753835678,0.21710404753684998,0.28692948818206787,0.27043893933296204
isolating,0.19420933723449707,0.23888137936592102,0.15637549757957458,0.2670375406742096,0.27430087327957153,0.09073444455862045
businesses,0.23735997080802917,0.3308294415473938,0.17417213320732117,0.32531842589378357,0.3237168490886688,0.15998470783233643
to,0.455847829580307,0.3504326641559601,0.20076020061969757,0.21970012784004211,0.32354405522346497,0.29463258385658264
a,0.3320399522781372,0.265255331993103,0.3143913447856903,0.19239941239356995,0.25780433416366577,0.23916715383529663
business,0.21758167445659637,0.16427041590213776,0.22959740459918976,0.25080570578575134,0.3132753074169159,0.1545659303665161
district,0.13126243650913239,0.17725017666816711,0.24210740625858307,0.15225598216056824,0.1599990427494049,0.06725285202264786
and,0.31309178471565247,0.48576638102531433,0.2838752269744873,0.19057999551296234,0.3384689688682556,0.20544172823429108
residences,0.18808840215206146,0.21818752586841583,0.1471506804227829,0.22198577225208282,0.32666102051734924,0.09362275153398514
to,0.455847829580307,0.3504326641559601,0.20076020061969757,0.21970012784004211,0.32354405522346497,0.29463258385658264
a,0.3320399522781372,0.265255331993103,0.3143913447856903,0.19239941239356995,0.25780433416366577,0.23916715383529663
residential,0.09814727306365967,0.2325010895729065,0.1443386822938919,0.21721287071704865,0.25458914041519165,0.08603290468454361
district,0.13126243650913239,0.17725017666816711,0.24210740625858307,0.15225598216056824,0.1599990427494049,0.06725285202264786
.,0.3567904531955719,0.3452940285205841,0.24703136086463928,0.20559075474739075,0.30719783902168274,0.4130953550338745
