,what,did,luther,need,to,do,to,avoid,excommunication,?
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.2725224494934082,0.41031414270401,0.3025321364402771,0.41031414270401,0.16278992593288422,0.18193912506103516,0.2714994251728058
15,-0.01077192835509777,0.03605250269174576,0.08575411885976791,-0.07048962265253067,-0.047946229577064514,-0.05615809187293053,-0.047946229577064514,-0.026731790974736214,0.039789892733097076,-0.010706285014748573
june,0.2171148657798767,0.26244688034057617,0.16906097531318665,0.1157255470752716,0.22441016137599945,0.13082730770111084,0.22441016137599945,0.10286762565374374,0.2532768249511719,0.31416764855384827
1520,0.066243477165699,0.15639068186283112,0.25964635610580444,0.05597216263413429,0.08302489668130875,0.06960137188434601,0.08302489668130875,0.018311282619833946,0.20972155034542084,0.1734924167394638
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.25983062386512756,0.44245919585227966,0.3283645510673523,0.44245919585227966,0.22226782143115997,0.301778107881546,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.2594960331916809,0.535392165184021,0.30239659547805786,0.535392165184021,0.24833035469055176,0.2982163727283478,0.22068053483963013
pope,0.20446611940860748,0.17841137945652008,0.27229586243629456,0.19196546077728271,0.25680112838745117,0.1851387321949005,0.25680112838745117,0.15261927247047424,0.5479821562767029,0.25004681944847107
warned,0.3375804126262665,0.4010273814201355,0.19505824148654938,0.2636027932167053,0.3152705729007721,0.2702232301235199,0.3152705729007721,0.2684057354927063,0.343982994556427,0.2909487187862396
luther,0.2134782373905182,0.23667675256729126,1.0,0.09852059930562973,0.18029534816741943,0.10933273285627365,0.18029534816741943,0.08383923768997192,0.3701219856739044,0.1732746809720993
with,0.2464839518070221,0.25472134351730347,0.14705438911914825,0.3471839725971222,0.4239959120750427,0.23744353652000427,0.4239959120750427,0.27490565180778503,0.2390652447938919,0.2433311939239502
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.2594960331916809,0.535392165184021,0.30239659547805786,0.535392165184021,0.24833035469055176,0.2982163727283478,0.22068053483963013
papal,0.12481020390987396,0.17935830354690552,0.23832891881465912,0.15676411986351013,0.2142687439918518,0.14900337159633636,0.2142687439918518,0.18839003145694733,0.5225529074668884,0.18529073894023895
