,what,are,the,total,number,of,votes,to,be,counted,during,the,voting,process,?
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.27667245268821716,0.3024539053440094,0.5696388483047485,0.21167227625846863,0.45010748505592346,0.3481820821762085,0.2735283672809601,0.4627237319946289,0.6662389636039734,0.21573682129383087,0.19851736724376678,0.20430970191955566
total,0.19850242137908936,0.2363838106393814,0.27068960666656494,0.9999999403953552,0.42508429288864136,0.29045331478118896,0.32263991236686707,0.22792020440101624,0.1491360366344452,0.3607708811759949,0.25091752409935,0.27068960666656494,0.19442199170589447,0.11342456936836243,0.14396025240421295
there,0.35085538029670715,0.5433560013771057,0.47025805711746216,0.2835027277469635,0.35469454526901245,0.44397735595703125,0.2523314952850342,0.40669289231300354,0.41019052267074585,0.3929148316383362,0.31077060103416443,0.47025805711746216,0.26268646121025085,0.22823791205883026,0.29405656456947327
are,0.29724663496017456,1.0,0.40399202704429626,0.2363838106393814,0.3537501394748688,0.39081433415412903,0.1935156136751175,0.3504326641559601,0.5556803941726685,0.35623326897621155,0.2297976016998291,0.40399202704429626,0.22587110102176666,0.23280955851078033,0.24591213464736938
352,-0.1412608027458191,-0.15514309704303741,-0.10727708786725998,0.015630701556801796,-0.16501063108444214,-0.07894662022590637,-0.058684367686510086,-0.1519891619682312,-0.2099187970161438,-0.14680394530296326,-0.08195660263299942,-0.10727708786725998,-0.05181531980633736,-0.14374248683452606,-0.06872464716434479
votes,0.2574002146720886,0.1935156136751175,0.2303277552127838,0.32263991236686707,0.26704689860343933,0.20024310052394867,1.0000001192092896,0.24744294583797455,0.2269240915775299,0.35033467411994934,0.14557041227817535,0.2303277552127838,0.707249104976654,0.22570452094078064,0.23052719235420227
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.25815486907958984,0.2535701394081116,0.4946078956127167,0.26709359884262085,0.44245919585227966,0.39254459738731384,0.2928816080093384,0.3225448727607727,0.4933079481124878,0.2596084773540497,0.2061346471309662,0.31091248989105225
but,0.5029441118240356,0.47990062832832336,0.4859698414802551,0.21521452069282532,0.27500495314598083,0.39942997694015503,0.3149188756942749,0.5542377829551697,0.5764366984367371,0.36842891573905945,0.3328759968280792,0.4859698414802551,0.3002881109714508,0.30837446451187134,0.27921953797340393
for,0.3017193675041199,0.3895993232727051,0.4739971458911896,0.18924455344676971,0.2861633002758026,0.4185989499092102,0.2052048295736313,0.4451248347759247,0.3801851272583008,0.25948771834373474,0.3448435664176941,0.4739971458911896,0.2609013319015503,0.3253439664840698,0.264628142118454
most,0.3219912350177765,0.48698675632476807,0.47635307908058167,0.2879014015197754,0.31398043036460876,0.4178851246833801,0.18047475814819336,0.321603000164032,0.3381733000278473,0.3247467875480652,0.3715948462486267,0.47635307908058167,0.18403410911560059,0.16820742189884186,0.2107497900724411
acts,0.24949195981025696,0.23050709068775177,0.2568269371986389,0.1567201167345047,0.10436370968818665,0.26445579528808594,0.14132311940193176,0.2012343853712082,0.22936326265335083,0.1921008825302124,0.1837656944990158,0.2568269371986389,0.1663884073495865,0.2278299331665039,0.07075770199298859
there,0.35085538029670715,0.5433560013771057,0.47025805711746216,0.2835027277469635,0.35469454526901245,0.44397735595703125,0.2523314952850342,0.40669289231300354,0.41019052267074585,0.3929148316383362,0.31077060103416443,0.47025805711746216,0.26268646121025085,0.22823791205883026,0.29405656456947327
must,0.30362528562545776,0.3923934996128082,0.2713140547275543,0.19731371104717255,0.30579131841659546,0.24322323501110077,0.2632567584514618,0.43356871604919434,0.4737209677696228,0.2621626555919647,0.11629661172628403,0.2713140547275543,0.2528917193412781,0.26807907223701477,0.23707495629787445
be,0.3929833769798279,0.5556803941726685,0.4248143136501312,0.1491360366344452,0.28840136528015137,0.33904364705085754,0.2269240915775299,0.4972836375236511,1.0,0.32951149344444275,0.24990400671958923,0.4248143136501312,0.2873421013355255,0.34692826867103577,0.3324260413646698
a,0.3320399522781372,0.265255331993103,0.5829201340675354,0.20922091603279114,0.2992287278175354,0.5052502155303955,0.2119992971420288,0.45503583550453186,0.39883795380592346,0.21565376222133636,0.30341604351997375,0.5829201340675354,0.21578288078308105,0.2601566016674042,0.23916715383529663
qualified,0.19747373461723328,0.21301324665546417,0.23118680715560913,0.08660460263490677,0.19206583499908447,0.1594466269016266,0.28051993250846863,0.2360132336616516,0.214191272854805,0.29875898361206055,0.16717010736465454,0.23118680715560913,0.2731616497039795,0.2024116814136505,0.1370558738708496
majority,0.25967487692832947,0.3146342635154724,0.28757327795028687,0.3051055669784546,0.3336901366710663,0.29706597328186035,0.4475650489330292,0.26316750049591064,0.26356902718544006,0.26091232895851135,0.15277083218097687,0.28757327795028687,0.3618720471858978,0.21917319297790527,0.220119908452034
vote,0.30723845958709717,0.20448122918605804,0.22779929637908936,0.25600868463516235,0.20210234820842743,0.19845709204673767,0.8366243839263916,0.2892617881298065,0.276218980550766,0.3492794334888458,0.14643460512161255,0.22779929637908936,0.7671977281570435,0.25696372985839844,0.2888886630535126
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.25815486907958984,0.2535701394081116,0.4946078956127167,0.26709359884262085,0.44245919585227966,0.39254459738731384,0.2928816080093384,0.3225448727607727,0.4933079481124878,0.2596084773540497,0.2061346471309662,0.31091248989105225
if,0.5277165174484253,0.32547882199287415,0.33724796772003174,0.24030356109142303,0.3394574522972107,0.2557544410228729,0.3350085914134979,0.4559597074985504,0.5628611445426941,0.270921915769577,0.2040780633687973,0.33724796772003174,0.31887760758399963,0.3343040645122528,0.4441644251346588
not,0.5449194312095642,0.46186959743499756,0.4310511648654938,0.21460457146167755,0.30033785104751587,0.3307090103626251,0.2747427225112915,0.5149973034858704,0.5788898468017578,0.3233438730239868,0.2700311541557312,0.4310511648654938,0.31135764718055725,0.36931324005126953,0.41942933201789856
consensus,0.40389591455459595,0.19513879716396332,0.2295674830675125,0.14971140027046204,0.27737006545066833,0.14788506925106049,0.44090357422828674,0.3241267502307892,0.3306424021720886,0.23315739631652832,0.09933267533779144,0.2295674830675125,0.5053186416625977,0.40646040439605713,0.3630031645298004
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.2295650690793991,0.3256329298019409,0.5352458953857422,0.26459193229675293,0.4645031690597534,0.4383580684661865,0.2520693242549896,0.3485563397407532,0.5934505462646484,0.26005733013153076,0.23766504228115082,0.4130953550338745
