,of,what,is,ozone,a,reactive,part,of,oxygen,?
trioxygen,0.2611474394798279,0.22967909276485443,0.2844085693359375,0.5370907187461853,0.322094589471817,0.5947404503822327,0.25306031107902527,0.2611474394798279,0.903572678565979,0.22053253650665283
(,0.35032153129577637,0.2411840260028839,0.35393038392066956,0.22719724476337433,0.3206180930137634,0.1804579645395279,0.2208257019519806,0.35032153129577637,0.189798504114151,0.40561532974243164
o,0.16054381430149078,0.1489914506673813,0.18684464693069458,0.19024091958999634,0.18840523064136505,0.16997556388378143,0.0867111086845398,0.16054381430149078,0.2476140707731247,0.23868927359580994
3,0.046857766807079315,0.04473085701465607,0.1504552811384201,0.09555689245462418,0.08904784172773361,0.0516420416533947,0.008150993846356869,0.046857766807079315,0.08124106377363205,0.005975271109491587
),0.3680361211299896,0.26259949803352356,0.37732169032096863,0.20087186992168427,0.3640355169773102,0.17651374638080597,0.24734117090702057,0.3680361211299896,0.19541971385478973,0.42300865054130554
is,0.4854315221309662,0.28837618231773376,1.0,0.21112559735774994,0.658733606338501,0.26290470361709595,0.4582172930240631,0.4854315221309662,0.21825239062309265,0.22961433231830597
usually,0.33931583166122437,0.32521089911460876,0.4230746626853943,0.1744820922613144,0.46690207719802856,0.31690773367881775,0.2375156730413437,0.33931583166122437,0.27663707733154297,0.19435347616672516
known,0.35814476013183594,0.20381177961826324,0.41921812295913696,0.1608014553785324,0.30882248282432556,0.24049335718154907,0.30880099534988403,0.35814476013183594,0.127934530377388,0.18314571678638458
as,0.3886612355709076,0.31749409437179565,0.43216490745544434,0.18256303668022156,0.39550232887268066,0.22025346755981445,0.2563304007053375,0.3886612355709076,0.16691245138645172,0.27043893933296204
ozone,0.22780866920948029,0.17115569114685059,0.21112559735774994,1.0,0.14839500188827515,0.4491610825061798,0.1557547152042389,0.22780866920948029,0.5093002915382385,0.159791961312294
and,0.5116966962814331,0.31309178471565247,0.3859752118587494,0.20956946909427643,0.3739250600337982,0.23052793741226196,0.35301485657691956,0.5116966962814331,0.22261030972003937,0.20544172823429108
is,0.4854315221309662,0.28837618231773376,1.0,0.21112559735774994,0.658733606338501,0.26290470361709595,0.4582172930240631,0.4854315221309662,0.21825239062309265,0.22961433231830597
a,0.5052502155303955,0.3320399522781372,0.658733606338501,0.14839500188827515,1.0,0.2509640157222748,0.3994528353214264,0.5052502155303955,0.21662019193172455,0.23916715383529663
very,0.34437474608421326,0.37053924798965454,0.3671363294124603,0.16313162446022034,0.45312565565109253,0.3619876205921173,0.28112098574638367,0.34437474608421326,0.26703813672065735,0.20864155888557434
reactive,0.1701417863368988,0.26621317863464355,0.26290470361709595,0.4491610825061798,0.2509640157222748,0.9999999403953552,0.18338006734848022,0.1701417863368988,0.516227126121521,0.20790518820285797
allotrope,0.2864323854446411,0.15761715173721313,0.3405674993991852,0.4511291980743408,0.29432785511016846,0.554145097732544,0.22730351984500885,0.2864323854446411,0.4825264811515808,0.22829397022724152
of,1.0,0.33290785551071167,0.4854315221309662,0.22780866920948029,0.5052502155303955,0.1701417863368988,0.452393114566803,1.0,0.16848602890968323,0.1826142966747284
oxygen,0.16848602890968323,0.16781960427761078,0.21825239062309265,0.5093002915382385,0.21662019193172455,0.516227126121521,0.17520982027053833,0.16848602890968323,0.9999999403953552,0.16786395013332367
that,0.41498205065727234,0.6297725439071655,0.3995479643344879,0.20993545651435852,0.47537946701049805,0.28881174325942993,0.37747326493263245,0.41498205065727234,0.2717767655849457,0.32716336846351624
is,0.4854315221309662,0.28837618231773376,1.0,0.21112559735774994,0.658733606338501,0.26290470361709595,0.4582172930240631,0.4854315221309662,0.21825239062309265,0.22961433231830597
damaging,0.2376689463853836,0.28500422835350037,0.22195081412792206,0.25061196088790894,0.27328136563301086,0.2916387915611267,0.2183329164981842,0.2376689463853836,0.20402778685092926,0.17482057213783264
to,0.41548454761505127,0.455847829580307,0.42745086550712585,0.22140559554100037,0.45503583550453186,0.23919129371643066,0.2875264883041382,0.41548454761505127,0.24193501472473145,0.29463258385658264
lung,0.2046266794204712,0.1267283409833908,0.17784476280212402,0.22799858450889587,0.19050072133541107,0.1958773285150528,0.08994408696889877,0.2046266794204712,0.3408856987953186,0.13700449466705322
tissue,0.22979585826396942,0.21392318606376648,0.18431530892848969,0.38910025358200073,0.21925245225429535,0.3333335816860199,0.2313867062330246,0.22979585826396942,0.4308755099773407,0.17040768265724182
.,0.5352458953857422,0.3567904531955719,0.4569662809371948,0.2529839873313904,0.50484299659729,0.29787561297416687,0.32817673683166504,0.5352458953857422,0.2554275095462799,0.4130953550338745
