,the,administrators,and,directors,gilruth,",",von,braun,and,debus,reported,to,who,?
under,0.3348022699356079,0.21137739717960358,0.3005301356315613,0.1644994616508484,0.13800138235092163,0.24875585734844208,0.15125398337841034,0.13057060539722443,0.3005301356315613,0.1733972728252411,0.13320215046405792,0.27177539467811584,0.2962189018726349,0.18233340978622437
webb,0.2468639612197876,0.18999096751213074,0.2483363300561905,0.21531036496162415,0.38565221428871155,0.2445290982723236,0.16131410002708435,0.19681517779827118,0.2483363300561905,0.19708803296089172,0.2132902443408966,0.2667657732963562,0.27205929160118103,0.11173157393932343
's,-0.01540423184633255,0.02016485296189785,0.06895173341035843,0.0054014031775295734,0.036437392234802246,-0.0016132977325469255,0.014292019419372082,0.07161460071802139,0.06895173341035843,0.1478736847639084,-0.04995298013091087,0.03782717138528824,0.05599616840481758,-0.023395681753754616
reorganization,0.3860357403755188,0.3180873990058899,0.2374240756034851,0.28516775369644165,0.22699971497058868,0.24624890089035034,0.15207917988300323,0.15637964010238647,0.2374240756034851,0.17995265126228333,0.19002988934516907,0.278310090303421,0.19986726343631744,0.18253321945667267
",",0.4933079481124878,0.27954280376434326,0.6633074283599854,0.2604709565639496,0.3928506076335907,1.0000001192092896,0.1878369003534317,0.30214038491249084,0.6633074283599854,0.27239662408828735,0.2771649956703186,0.44245919585227966,0.3365725874900818,0.31091248989105225
the,1.0,0.25064438581466675,0.5171257257461548,0.28179070353507996,0.31088438630104065,0.4933079481124878,0.21817399561405182,0.18706366419792175,0.5171257257461548,0.28357821702957153,0.24444028735160828,0.535392165184021,0.3733934462070465,0.22068053483963013
directors,0.28179070353507996,0.2927064597606659,0.26189514994621277,1.0,0.27351289987564087,0.2604709565639496,0.1740315854549408,0.15592078864574432,0.26189514994621277,0.259645938873291,0.12811759114265442,0.2201766073703766,0.2551603317260742,0.10687020421028137
of,0.733189046382904,0.22883084416389465,0.5116966962814331,0.23341327905654907,0.24688945710659027,0.4946078956127167,0.19899946451187134,0.16651400923728943,0.5116966962814331,0.2073785960674286,0.23745855689048767,0.41548454761505127,0.2827862501144409,0.1826142966747284
the,1.0,0.25064438581466675,0.5171257257461548,0.28179070353507996,0.31088438630104065,0.4933079481124878,0.21817399561405182,0.18706366419792175,0.5171257257461548,0.28357821702957153,0.24444028735160828,0.535392165184021,0.3733934462070465,0.22068053483963013
manned,0.2392944097518921,0.26937881112098694,0.21635916829109192,0.20132751762866974,0.1787903755903244,0.1752677708864212,0.18751578032970428,0.1773994415998459,0.21635916829109192,0.2584986388683319,0.23425589501857758,0.21649380028247833,0.20781661570072174,0.17514055967330933
spacecraft,0.21476294100284576,0.20923808217048645,0.19242209196090698,0.1447637975215912,0.20520354807376862,0.1987742930650711,0.20203648507595062,0.27506953477859497,0.19242209196090698,0.2790997624397278,0.19649997353553772,0.25703316926956177,0.17995841801166534,0.17708687484264374
center,0.29064592719078064,0.20766445994377136,0.28670641779899597,0.1799750030040741,0.20316052436828613,0.1905742734670639,0.09751670062541962,0.18801414966583252,0.28670641779899597,0.1836739033460617,0.17755943536758423,0.17764393985271454,0.09184163808822632,0.12538520991802216
