,where,did,the,song,dynasty,continue,to,cause,problems,for,kublai,?
the,0.5003893971443176,0.34736719727516174,1.0,0.300855815410614,0.26267939805984497,0.28966447710990906,0.535392165184021,0.2551237642765045,0.2659202516078949,0.4739971458911896,0.32886171340942383,0.22068053483963013
hostile,0.25040051341056824,0.17339487373828888,0.26774856448173523,0.16923494637012482,0.19986844062805176,0.18934597074985504,0.2607683837413788,0.19554579257965088,0.17070941627025604,0.2334216982126236,0.21211838722229004,0.13611407577991486
but,0.49101024866104126,0.49033689498901367,0.4859698414802551,0.2108549177646637,0.16503159701824188,0.3877575993537903,0.5542377829551697,0.3522830903530121,0.34171879291534424,0.45162561535835266,0.31653639674186707,0.27921953797340393
weakened,0.16538457572460175,0.26741889119148254,0.2491329163312912,0.16162626445293427,0.20009702444076538,0.23468522727489471,0.2734542787075043,0.3432978689670563,0.2669820189476013,0.1627531796693802,0.3000311553478241,0.10974195599555969
song,0.21509398519992828,0.1988414227962494,0.300855815410614,1.0000001192092896,0.24676866829395294,0.08143613487482071,0.21862304210662842,0.12708215415477753,0.14158661663532257,0.2420910745859146,0.19827966392040253,0.20782215893268585
dynasty,0.11917287111282349,0.19201454520225525,0.26267939805984497,0.24676866829395294,1.0,0.08556067943572998,0.1214921623468399,0.08277885615825653,0.10537845641374588,0.1219317764043808,0.44820716977119446,0.15884074568748474
remained,0.22419263422489166,0.371289998292923,0.3492392301559448,0.07259444892406464,0.14595769345760345,0.2908732295036316,0.22385163605213165,0.1075228601694107,0.1685045212507248,0.17849485576152802,0.21006032824516296,0.08263323456048965
an,0.24824833869934082,0.22598257660865784,0.4207492768764496,0.17795759439468384,0.17141813039779663,0.2012978345155716,0.3138085603713989,0.22220543026924133,0.1804785281419754,0.3236706852912903,0.11958086490631104,0.19793890416622162
obstacle,0.23952177166938782,0.15920250117778778,0.2663123905658722,0.07649683207273483,0.14189434051513672,0.205917090177536,0.25087273120880127,0.264285683631897,0.3152335286140442,0.20685003697872162,0.16873803734779358,0.17443440854549408
in,0.5344807505607605,0.2593238651752472,0.6662389636039734,0.22749996185302734,0.15246383845806122,0.249076247215271,0.45010748505592346,0.24822883307933807,0.21061907708644867,0.4322226941585541,0.2070179283618927,0.20430970191955566
the,0.5003893971443176,0.34736719727516174,1.0,0.300855815410614,0.26267939805984497,0.28966447710990906,0.535392165184021,0.2551237642765045,0.2659202516078949,0.4739971458911896,0.32886171340942383,0.22068053483963013
south,0.2539864182472229,0.1510593444108963,0.3129390776157379,0.1371280550956726,0.25719618797302246,0.2162933051586151,0.25657615065574646,0.12208899855613708,0.07712676376104355,0.17502866685390472,0.17525014281272888,0.12336621433496475
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.2374095469713211,0.20616187155246735,0.2855175733566284,0.4645031690597534,0.267557293176651,0.2602308988571167,0.4726039469242096,0.2311694622039795,0.4130953550338745
,where,did,the,song,dynasty,continue,to,cause,problems,for,kublai,?
ogedei,0.1854211539030075,0.22194498777389526,0.3310999870300293,0.2714416980743408,0.35991188883781433,0.16324402391910553,0.21953663229942322,0.18370670080184937,0.15178509056568146,0.20815277099609375,0.4682755172252655,0.25477075576782227
's,0.0007701900321990252,0.05069678649306297,-0.01540423184633255,0.10946188867092133,-0.03789631649851799,-0.010923145338892937,0.03782717138528824,-0.04770376905798912,-0.0541396401822567,-0.07241261005401611,-0.017352506518363953,-0.023395681753754616
grandson,0.15122255682945251,0.23734170198440552,0.2345878779888153,0.12984967231750488,0.3519798219203949,0.1487409770488739,0.20269344747066498,0.12040353566408157,0.05275013670325279,0.18843108415603638,0.43646734952926636,0.14955078065395355
kaidu,0.17483992874622345,0.11646674573421478,0.3133460581302643,0.16781628131866455,0.2929975390434265,0.11711647361516953,0.15125685930252075,0.1064508855342865,0.1776580810546875,0.1858125627040863,0.46869194507598877,0.17311614751815796
refused,0.19023770093917847,0.5581128597259521,0.2606237530708313,0.1210370883345604,0.11513999104499817,0.339839369058609,0.41818010807037354,0.16191600263118744,0.19098621606826782,0.23069624602794647,0.2515299916267395,0.14580921828746796
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.21862304210662842,0.1214921623468399,0.4441169500350952,1.0,0.3172815442085266,0.28989166021347046,0.4451248347759247,0.2918815314769745,0.29463258385658264
submit,0.19960597157478333,0.2791823148727417,0.19348543882369995,0.15533261001110077,0.1504974514245987,0.2672584056854248,0.28412961959838867,0.11832904070615768,0.18453575670719147,0.21797220408916473,0.1930585503578186,0.27356526255607605
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.21862304210662842,0.1214921623468399,0.4441169500350952,1.0,0.3172815442085266,0.28989166021347046,0.4451248347759247,0.2918815314769745,0.29463258385658264
kublai,0.2104915827512741,0.2875992953777313,0.32886171340942383,0.19827966392040253,0.44820716977119446,0.24254213273525238,0.2918815314769745,0.10910730063915253,0.19834230840206146,0.20383915305137634,0.9999999403953552,0.14562560617923737
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.24326705932617188,0.21357402205467224,0.3147966265678406,0.48971283435821533,0.2858448028564453,0.285793662071228,0.5064792633056641,0.25078991055488586,0.20544172823429108
threatened,0.21205323934555054,0.2603054344654083,0.2181938886642456,0.11851277947425842,0.10459259152412415,0.2571391761302948,0.2676365375518799,0.33004704117774963,0.2494424283504486,0.16307809948921204,0.17373771965503693,0.1536843329668045
the,0.5003893971443176,0.34736719727516174,1.0,0.300855815410614,0.26267939805984497,0.28966447710990906,0.535392165184021,0.2551237642765045,0.2659202516078949,0.4739971458911896,0.32886171340942383,0.22068053483963013
western,0.21352119743824005,0.15773870050907135,0.37920868396759033,0.1642152965068817,0.19577579200267792,0.14025022089481354,0.18838192522525787,0.07355423271656036,0.08675570040941238,0.15054884552955627,0.26490509510040283,0.17439141869544983
