,who,received,the,ball,that,cam,newton,lost,during,a,tackle,to,make,it,a,denver,touchdown,?
a,0.36608949303627014,0.22444266080856323,0.5829201340675354,0.23578347265720367,0.47537946701049805,0.18400311470031738,0.1884482353925705,0.24504798650741577,0.30341604351997375,1.0,0.21756082773208618,0.45503583550453186,0.34303420782089233,0.5452592968940735,1.0,0.179859921336174,0.22309942543506622,0.23916715383529663
few,0.3378944993019104,0.20588521659374237,0.34660017490386963,0.14746533334255219,0.3973994851112366,0.09409287571907043,0.11871075630187988,0.2104174643754959,0.24526533484458923,0.2765968441963196,0.16386419534683228,0.36415213346481323,0.3115702271461487,0.3329008221626282,0.2765968441963196,0.09060504287481308,0.12841562926769257,0.2334265559911728
plays,0.24272681772708893,0.16136498749256134,0.1760704517364502,0.24181239306926727,0.16184067726135254,0.08695978671312332,0.14049376547336578,0.2038467973470688,0.16301082074642181,0.2085086703300476,0.1835140734910965,0.1692625880241394,0.1284123957157135,0.15999141335487366,0.2085086703300476,0.22016258537769318,0.18257291615009308,0.14138242602348328
later,0.35185644030570984,0.25276055932044983,0.4060266613960266,0.11628908663988113,0.42443475127220154,0.1849190890789032,0.2175983041524887,0.2926208972930908,0.4405536353588104,0.34254932403564453,0.05370161309838295,0.393297016620636,0.24852634966373444,0.3362252712249756,0.34254932403564453,0.17681528627872467,0.1513894498348236,0.1417175978422165
",",0.3365725874900818,0.2926693558692932,0.4933079481124878,0.2170172780752182,0.4137537479400635,0.22727563977241516,0.2648763358592987,0.26788443326950073,0.3225448727607727,0.427140474319458,0.25377723574638367,0.44245919585227966,0.324553906917572,0.48329564929008484,0.427140474319458,0.25173696875572205,0.2072077840566635,0.31091248989105225
on,0.2340552806854248,0.2403624951839447,0.5107308030128479,0.1605052351951599,0.42569106817245483,0.13481371104717255,0.14340966939926147,0.19934038817882538,0.3347817361354828,0.3848365545272827,0.19387972354888916,0.41031414270401,0.27031177282333374,0.4529881477355957,0.3848365545272827,0.1561855524778366,0.16085277497768402,0.2714994251728058
3rd-and-10,0.29338204860687256,0.08139646053314209,0.33422017097473145,0.17531351745128632,0.20360630750656128,0.09452923387289047,0.12724831700325012,0.12798193097114563,0.19089891016483307,0.2929282486438751,0.09726150333881378,0.281330943107605,0.11947067081928253,0.24000751972198486,0.2929282486438751,0.18539512157440186,0.1702631413936615,0.12372670322656631
from,0.27839982509613037,0.26433753967285156,0.40150508284568787,0.21110084652900696,0.3477667272090912,0.14114953577518463,0.12768514454364777,0.257583886384964,0.3186885714530945,0.322764128446579,0.12361330538988113,0.4069952368736267,0.24641869962215424,0.325604110956192,0.322764128446579,0.1697966605424881,0.17096304893493652,0.19969791173934937
the,0.3733934462070465,0.24890556931495667,1.0,0.18895584344863892,0.5473989248275757,0.18275147676467896,0.1876603662967682,0.3376973867416382,0.4838213622570038,0.5829201340675354,0.1645001471042633,0.535392165184021,0.3146495521068573,0.6251175999641418,0.5829201340675354,0.2052404284477234,0.1805710643529892,0.22068053483963013
15-yard,0.28564170002937317,0.16868723928928375,0.3201746642589569,0.2848057448863983,0.2890847623348236,0.1506340056657791,0.3043619990348816,0.24919722974300385,0.3200560212135315,0.2976670563220978,0.2571808099746704,0.22907891869544983,0.17889414727687836,0.23375633358955383,0.2976670563220978,0.2546687722206116,0.3747864067554474,0.14087530970573425
