,when,did,seven,protestant,churches,agree,with,the,nazi,policy,of,forcing,jews,to,wear,yellow,arm,bands,?
on,0.37706470489501953,0.2670976221561432,0.31168052554130554,0.13991612195968628,0.171710804104805,0.23403891921043396,0.40749499201774597,0.5107308030128479,0.14304089546203613,0.2777305543422699,0.3966929316520691,0.24936386942863464,0.13907738029956818,0.41031414270401,0.1701345592737198,0.19073064625263214,0.16991524398326874,0.19421984255313873,0.2714994251728058
17,0.06161060184240341,0.07127774506807327,0.1310725063085556,0.14354142546653748,0.1883780062198639,0.21665628254413605,0.1727735996246338,0.10537172853946686,0.06931304186582565,0.16659723222255707,0.12138522416353226,0.10204973071813583,0.13263754546642303,0.07247230410575867,0.08892115205526352,0.07767323404550552,0.017256777733564377,0.14832472801208496,0.17603135108947754
december,0.28435230255126953,0.2542226016521454,0.22196315228939056,0.19944745302200317,0.11603458970785141,0.21604493260383606,0.14869219064712524,0.23266014456748962,0.09933268278837204,0.2248694747686386,0.1503814309835434,0.1780734360218048,0.0901043564081192,0.21181435883045197,0.042092110961675644,0.07737807184457779,0.08062364906072617,0.1185411661863327,0.2480352818965912
1941,-0.016656924039125443,0.00970092136412859,0.09289748221635818,0.13028165698051453,0.15098150074481964,0.09959778934717178,0.0991211086511612,0.15564635396003723,0.08812884986400604,0.04596048966050148,0.21092641353607178,-0.03523692861199379,0.102481909096241,0.08114954829216003,0.038138020783662796,0.12199833989143372,-0.07839537411928177,0.05102808400988579,-0.06466483324766159
",",0.36674630641937256,0.3015086054801941,0.32867714762687683,0.2710806429386139,0.247207909822464,0.26245203614234924,0.4120737314224243,0.4933079481124878,0.22584949433803558,0.2903050184249878,0.4946078956127167,0.23144863545894623,0.27184903621673584,0.44245919585227966,0.2098228484392166,0.26202648878097534,0.1692921221256256,0.24625691771507263,0.31091248989105225
seven,0.1915208101272583,0.11491922289133072,0.9999999403953552,0.10599703341722488,0.14888305962085724,0.12095683813095093,0.19141453504562378,0.28151169419288635,0.10156159102916718,0.09374725073575974,0.273354172706604,0.089729905128479,0.12953230738639832,0.2853301167488098,0.16732172667980194,0.2130563110113144,0.044066835194826126,0.0960586667060852,0.1732930988073349
protestant,0.17039497196674347,0.23091652989387512,0.10599703341722488,1.0,0.5902429819107056,0.24114708602428436,0.19056472182273865,0.2679212689399719,0.355474591255188,0.24725140631198883,0.31440475583076477,0.1571025252342224,0.4756074845790863,0.23639842867851257,0.21729803085327148,0.11705918610095978,0.02329445816576481,0.17025385797023773,0.14798137545585632
regional,0.12165960669517517,0.15632236003875732,0.12541323900222778,0.1399213820695877,0.18051792681217194,0.08189952373504639,0.12053577601909637,0.3125704526901245,0.14616169035434723,0.1793891191482544,0.2853882610797882,0.09314999729394913,0.08944650739431381,0.2016860693693161,0.19477985799312592,0.13531865179538727,0.09877122938632965,0.18432216346263885,0.09246466308832169
church,0.20053261518478394,0.16781097650527954,0.11763262003660202,0.590944766998291,0.7955681681632996,0.17496943473815918,0.17961077392101288,0.23846197128295898,0.2243148535490036,0.20519693195819855,0.3079429268836975,0.1302495002746582,0.2682075798511505,0.24439501762390137,0.1002381294965744,0.011241978034377098,0.10638739913702011,0.16641028225421906,0.18081501126289368
confederations,0.18096259236335754,0.22156284749507904,0.22324134409427643,0.32533374428749084,0.32790324091911316,0.1710946261882782,0.20449325442314148,0.3340309262275696,0.28130897879600525,0.27723240852355957,0.2930212914943695,0.16802676022052765,0.2689463496208191,0.23383289575576782,0.17167773842811584,0.0826428160071373,0.14444535970687866,0.2207019180059433,0.17003127932548523
