,what,is,the,temperature,in,the,highest,portion,of,the,mountain,range,in,winter,?
average,0.24068789184093475,0.2669461667537689,0.27058175206184387,0.5536684989929199,0.23465414345264435,0.27058175206184387,0.3058578670024872,0.22382406890392303,0.23717734217643738,0.27058175206184387,0.15085172653198242,0.24371084570884705,0.23465414345264435,0.2082352638244629,0.21764592826366425
temperatures,0.2523624897003174,0.2816123366355896,0.27544233202934265,0.9382470846176147,0.2835210859775543,0.27544233202934265,0.25494149327278137,0.25421249866485596,0.2011728584766388,0.27544233202934265,0.23176394402980804,0.3323036730289459,0.2835210859775543,0.40831759572029114,0.1895846426486969
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.2518121302127838,0.3841303884983063,0.40399202704429626,0.16502201557159424,0.25618046522140503,0.39081433415412903,0.40399202704429626,0.20260895788669586,0.31786245107650757,0.3841303884983063,0.1793580800294876,0.24591213464736938
less,0.31119704246520996,0.3123510479927063,0.29185041785240173,0.28562256693840027,0.2661931812763214,0.29185041785240173,0.16155767440795898,0.2550872266292572,0.30836719274520874,0.29185041785240173,0.0967601090669632,0.2469327300786972,0.2661931812763214,0.17079046368598938,0.22418740391731262
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.22318358719348907,0.3270052373409271,0.3227543234825134,0.22231288254261017,0.2770152688026428,0.33036211133003235,0.3227543234825134,0.10671819746494293,0.23669376969337463,0.3270052373409271,0.16952922940254211,0.24917294085025787
9,-0.048040688037872314,-0.010735063813626766,0.023652536794543266,-0.00546722486615181,0.002698394237086177,0.023652536794543266,-0.045674316585063934,-0.0005881630931980908,0.01387986820191145,0.023652536794543266,-0.0698469877243042,-0.022102663293480873,0.002698394237086177,-0.082668736577034,-0.026682810857892036
°c,0.2101275473833084,0.22964106500148773,0.1833128035068512,0.7912421226501465,0.19822709262371063,0.1833128035068512,0.2879323661327362,0.19587382674217224,0.11791849136352539,0.1833128035068512,0.19521906971931458,0.2928276062011719,0.19822709262371063,0.3468666970729828,0.2095707356929779
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.20595431327819824,0.3087427020072937,0.33289089798927307,0.17115482687950134,0.21240881085395813,0.35032153129577637,0.33289089798927307,0.1770557463169098,0.17347285151481628,0.3087427020072937,0.18090569972991943,0.40561532974243164
48,-0.06401275843381882,-0.03782394528388977,0.0778689980506897,0.08887791633605957,0.04260919615626335,0.0778689980506897,0.04288685321807861,-0.03969898074865341,-0.03928153216838837,0.0778689980506897,0.0515206940472126,0.013980153016746044,0.04260919615626335,0.25633668899536133,-0.07097072154283524
°f,0.20015408098697662,0.23312681913375854,0.22598426043987274,0.7363657355308533,0.23065856099128723,0.22598426043987274,0.30840063095092773,0.20027956366539001,0.13844995200634003,0.22598426043987274,0.225771963596344,0.2655501663684845,0.23065856099128723,0.38381844758987427,0.19986218214035034
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.2232651710510254,0.3326910734176636,0.3456730246543884,0.20505082607269287,0.21075260639190674,0.3680361211299896,0.3456730246543884,0.20643679797649384,0.18445400893688202,0.3326910734176636,0.19428998231887817,0.42300865054130554
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.269207626581192,1.0,0.6662389636039734,0.3400614559650421,0.2811550498008728,0.5696388483047485,0.6662389636039734,0.2510811388492584,0.2084861844778061,1.0,0.29423755407333374,0.20430970191955566
winter,0.12829793989658356,0.18459556996822357,0.30035296082496643,0.3353411555290222,0.29423755407333374,0.30035296082496643,0.17009207606315613,0.12601608037948608,0.23947669565677643,0.30035296082496643,0.29311588406562805,0.14883331954479218,0.29423755407333374,1.0,0.1591269075870514
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2216416299343109,0.4954058527946472,0.5171257257461548,0.22372882068157196,0.28324267268180847,0.5116966962814331,0.5171257257461548,0.2430269569158554,0.27470090985298157,0.4954058527946472,0.2760835289955139,0.20544172823429108
below,0.23541416227817535,0.24241961538791656,0.2930138111114502,0.3020179271697998,0.29600706696510315,0.2930138111114502,0.27219003438949585,0.2037440538406372,0.23283669352531433,0.2930138111114502,0.12646813690662384,0.1905408352613449,0.29600706696510315,0.11926586180925369,0.17692236602306366
0,0.05378047749400139,-0.013776509091258049,0.06647186726331711,0.005446380004286766,0.0413811095058918,0.06647186726331711,-0.044451162219047546,-0.060097284615039825,0.0813891589641571,0.06647186726331711,-0.050839073956012726,-0.024001460522413254,0.0413811095058918,0.0892946869134903,0.0436553880572319
°c,0.2101275473833084,0.22964106500148773,0.1833128035068512,0.7912421226501465,0.19822709262371063,0.1833128035068512,0.2879323661327362,0.19587382674217224,0.11791849136352539,0.1833128035068512,0.19521906971931458,0.2928276062011719,0.19822709262371063,0.3468666970729828,0.2095707356929779
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.20595431327819824,0.3087427020072937,0.33289089798927307,0.17115482687950134,0.21240881085395813,0.35032153129577637,0.33289089798927307,0.1770557463169098,0.17347285151481628,0.3087427020072937,0.18090569972991943,0.40561532974243164
32,-0.003086621640250087,-0.013622135855257511,-0.06675421446561813,0.06069326400756836,-0.04161756858229637,-0.06675421446561813,0.015002666041254997,0.03429482877254486,-0.06897011399269104,-0.06675421446561813,0.04620746523141861,0.02000763826072216,-0.04161756858229637,0.04855940490961075,0.04494665935635567
°f,0.20015408098697662,0.23312681913375854,0.22598426043987274,0.7363657355308533,0.23065856099128723,0.22598426043987274,0.30840063095092773,0.20027956366539001,0.13844995200634003,0.22598426043987274,0.225771963596344,0.2655501663684845,0.23065856099128723,0.38381844758987427,0.19986218214035034
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.2232651710510254,0.3326910734176636,0.3456730246543884,0.20505082607269287,0.21075260639190674,0.3680361211299896,0.3456730246543884,0.20643679797649384,0.18445400893688202,0.3326910734176636,0.19428998231887817,0.42300865054130554
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.269207626581192,1.0,0.6662389636039734,0.3400614559650421,0.2811550498008728,0.5696388483047485,0.6662389636039734,0.2510811388492584,0.2084861844778061,1.0,0.29423755407333374,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.27585095167160034,0.6662389636039734,1.0,0.36945265531539917,0.42017096281051636,0.733189046382904,1.0,0.2931090295314789,0.2311336100101471,0.6662389636039734,0.30035296082496643,0.22068053483963013
highest,0.19637788832187653,0.27460670471191406,0.36945265531539917,0.24991264939308167,0.3400614559650421,0.36945265531539917,1.0,0.2561848759651184,0.3223685622215271,0.36945265531539917,0.40284499526023865,0.3153218924999237,0.3400614559650421,0.17009207606315613,0.11527936160564423
parts,0.3415631353855133,0.330430269241333,0.4042440354824066,0.19462113082408905,0.3282690644264221,0.4042440354824066,0.18758945167064667,0.43526872992515564,0.3379773199558258,0.4042440354824066,0.18428632616996765,0.28398099541664124,0.3282690644264221,0.21587981283664703,0.12310896813869476
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.21649840474128723,0.5696388483047485,0.733189046382904,0.3223685622215271,0.31845465302467346,1.0,0.733189046382904,0.22943821549415588,0.234999418258667,0.5696388483047485,0.23947669565677643,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.27585095167160034,0.6662389636039734,1.0,0.36945265531539917,0.42017096281051636,0.733189046382904,1.0,0.2931090295314789,0.2311336100101471,0.6662389636039734,0.30035296082496643,0.22068053483963013
ranges,0.20017047226428986,0.26551249623298645,0.2618407607078552,0.3037571609020233,0.19038642942905426,0.2618407607078552,0.31168368458747864,0.3473726511001587,0.25018027424812317,0.2618407607078552,0.49311503767967224,0.7761017680168152,0.19038642942905426,0.16650091111660004,0.10840721428394318
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2795942425727844,0.5591574311256409,0.5934505462646484,0.2254713773727417,0.23307131230831146,0.5352458953857422,0.5934505462646484,0.19740812480449677,0.25816646218299866,0.5591574311256409,0.3007909059524536,0.4130953550338745
