,who,was,one,of,the,most,famous,people,born,in,warsaw,?
one,0.40083858370780945,0.3752199709415436,1.0000001192092896,0.4999135136604309,0.5514441132545471,0.5404669642448425,0.3981626033782959,0.2841606140136719,0.14028091728687286,0.4129433035850525,0.13329707086086273,0.2673267424106598
of,0.2827862501144409,0.4069072902202606,0.4999135136604309,1.0,0.733189046382904,0.4178851246833801,0.3074295222759247,0.3251037895679474,0.19769194722175598,0.5696388483047485,0.19253842532634735,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.5514441132545471,0.733189046382904,1.0,0.47635307908058167,0.28616565465927124,0.36838498711586,0.19202874600887299,0.6662389636039734,0.23137180507183075,0.22068053483963013
most,0.35393568873405457,0.29933857917785645,0.5404669642448425,0.4178851246833801,0.47635307908058167,1.0,0.4934774339199066,0.31049904227256775,0.15688008069992065,0.41416558623313904,0.06817606836557388,0.2107497900724411
famous,0.31358224153518677,0.31606587767601013,0.3981626033782959,0.3074295222759247,0.28616565465927124,0.4934774339199066,1.0,0.23596899211406708,0.29805615544319153,0.34673580527305603,0.1640854775905609,0.10379006713628769
people,0.3933800458908081,0.2518421411514282,0.2841606140136719,0.3251037895679474,0.36838498711586,0.31049904227256775,0.23596899211406708,1.0000001192092896,0.20905455946922302,0.39605680108070374,0.17416244745254517,0.23739641904830933
born,0.3351559042930603,0.388632208108902,0.14028091728687286,0.19769194722175598,0.19202874600887299,0.15688008069992065,0.29805615544319153,0.20905455946922302,1.0,0.30027052760124207,0.19116704165935516,0.19166848063468933
in,0.2792111933231354,0.45514053106307983,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.41416558623313904,0.34673580527305603,0.39605680108070374,0.30027052760124207,1.0,0.22642600536346436,0.20430970191955566
warsaw,0.16496863961219788,0.2614976763725281,0.13329707086086273,0.19253842532634735,0.23137180507183075,0.06817606836557388,0.1640854775905609,0.17416244745254517,0.19116704165935516,0.22642600536346436,1.0,0.09769917279481888
was,0.3318818509578705,1.0000001192092896,0.3752199709415436,0.4069072902202606,0.48711544275283813,0.29933857917785645,0.31606587767601013,0.2518421411514282,0.388632208108902,0.45514053106307983,0.2614976763725281,0.18412111699581146
maria,0.20343798398971558,0.2511068880558014,0.10247346013784409,0.2167290449142456,0.15531538426876068,0.10189182311296463,0.15317188203334808,0.12651340663433075,0.2546442747116089,0.20570816099643707,0.24506551027297974,0.16458186507225037
skłodowska-curie,0.24025875329971313,0.35623714327812195,0.1802564412355423,0.31845957040786743,0.2656698524951935,0.1454557180404663,0.23781250417232513,0.1740151345729828,0.36228814721107483,0.3447987735271454,0.4748847484588623,0.23305024206638336
",",0.3365725874900818,0.45456063747406006,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.3636029064655304,0.2816491723060608,0.36644625663757324,0.37898433208465576,0.5201468467712402,0.25300899147987366,0.31091248989105225
who,0.9999998807907104,0.3318818509578705,0.40083858370780945,0.2827862501144409,0.3733934462070465,0.35393568873405457,0.31358224153518677,0.3933800458908081,0.3351559042930603,0.2792111933231354,0.16496863961219788,0.26220351457595825
achieved,0.17179545760154724,0.28734347224235535,0.28541597723960876,0.2701522707939148,0.2821090817451477,0.23950539529323578,0.2454318255186081,0.10217859596014023,0.18539857864379883,0.24532650411128998,0.10826688259840012,0.17008265852928162
international,0.14208874106407166,0.22185437381267548,0.21395300328731537,0.23367412388324738,0.23719607293605804,0.20767533779144287,0.18504607677459717,0.1695372462272644,0.15808475017547607,0.26377472281455994,0.23553436994552612,0.15335838496685028
recognition,0.2689022123813629,0.23298479616641998,0.22886428236961365,0.295685350894928,0.31624147295951843,0.24535296857357025,0.22723084688186646,0.19681936502456665,0.1971936672925949,0.29843124747276306,0.12345626205205917,0.20074869692325592
for,0.37110671401023865,0.3863949179649353,0.384836345911026,0.4185989499092102,0.4739971458911896,0.3906237483024597,0.2801532745361328,0.24900002777576447,0.23335127532482147,0.4322226941585541,0.1427849680185318,0.264628142118454
her,0.3824957311153412,0.34084662795066833,0.2888909876346588,0.27399197220802307,0.354963481426239,0.22567227482795715,0.19807639718055725,0.2337643951177597,0.29251915216445923,0.30892789363861084,0.15207961201667786,0.20310723781585693
research,0.17335498332977295,0.21417704224586487,0.22946274280548096,0.22573977708816528,0.24391183257102966,0.19659404456615448,0.08861950784921646,0.15202772617340088,0.12500299513339996,0.21249429881572723,0.22989749908447266,0.13481977581977844
on,0.2340552806854248,0.3909217119216919,0.3601475656032562,0.3966929316520691,0.5107308030128479,0.28303956985473633,0.18182522058486938,0.2559742033481598,0.19591502845287323,0.46853652596473694,0.19170401990413666,0.2714994251728058
radioactivity,0.17840851843357086,0.21809430420398712,0.2690456211566925,0.2589235305786133,0.22687268257141113,0.1932973563671112,0.11375859379768372,0.1984819918870926,0.07070070505142212,0.2322056144475937,0.11177259683609009,0.1957060694694519
and,0.41279885172843933,0.3740963041782379,0.42438167333602905,0.5116966962814331,0.5171257257461548,0.4309377074241638,0.2970265746116638,0.3016039729118347,0.25002726912498474,0.4954058527946472,0.2083624005317688,0.20544172823429108
was,0.3318818509578705,1.0000001192092896,0.3752199709415436,0.4069072902202606,0.48711544275283813,0.29933857917785645,0.31606587767601013,0.2518421411514282,0.388632208108902,0.45514053106307983,0.2614976763725281,0.18412111699581146
the,0.3733934462070465,0.48711544275283813,0.5514441132545471,0.733189046382904,1.0,0.47635307908058167,0.28616565465927124,0.36838498711586,0.19202874600887299,0.6662389636039734,0.23137180507183075,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.4552372097969055,0.3536086082458496,0.49448907375335693,0.34339818358421326,0.36207643151283264,0.19699515402317047,0.24503421783447266,0.4127444326877594,0.19408388435840607,0.18701928853988647
female,0.3403880000114441,0.17758683860301971,0.2639651894569397,0.26416701078414917,0.2673940658569336,0.21267154812812805,0.21798281371593475,0.17549920082092285,0.21698401868343353,0.1986217200756073,0.08794830739498138,0.17839525640010834
recipient,0.2305098921060562,0.188251331448555,0.1686515361070633,0.22786900401115417,0.2247254103422165,0.19410037994384766,0.13546717166900635,0.18272767961025238,0.2425277680158615,0.2077549695968628,0.18346071243286133,0.11042160540819168
of,0.2827862501144409,0.4069072902202606,0.4999135136604309,1.0,0.733189046382904,0.4178851246833801,0.3074295222759247,0.3251037895679474,0.19769194722175598,0.5696388483047485,0.19253842532634735,0.1826142966747284
