,where,does,the,rhine,make,a,distinctive,turn,to,the,north,?
the,0.5003893971443176,0.35928019881248474,1.0,0.30735138058662415,0.3146495521068573,0.5829201340675354,0.2618619501590729,0.3359498679637909,0.535392165184021,1.0,0.36298373341560364,0.22068053483963013
river,0.1886204034090042,0.14026834070682526,0.2894456386566162,0.3672541379928589,0.08974401652812958,0.20514865219593048,0.1403593271970749,0.1675623506307602,0.13636653125286102,0.2894456386566162,0.3617013692855835,0.15390869975090027
makes,0.23640434443950653,0.5149580240249634,0.3029823303222656,0.0952049121260643,0.7288578748703003,0.3509295880794525,0.30458974838256836,0.32135719060897827,0.35811367630958557,0.3029823303222656,0.08648290485143661,0.22145044803619385
a,0.40997210144996643,0.38201746344566345,0.5829201340675354,0.1823403388261795,0.34303420782089233,1.0,0.32299163937568665,0.3154307007789612,0.45503583550453186,0.5829201340675354,0.25008413195610046,0.23916715383529663
distinctive,0.1831856369972229,0.19526974856853485,0.2618619501590729,0.08180461078882217,0.27586492896080017,0.32299163937568665,0.9999999403953552,0.17533601820468903,0.20251458883285522,0.2618619501590729,0.15242160856723785,0.07970129698514938
turn,0.24833731353282928,0.28909701108932495,0.3359498679637909,0.1900423914194107,0.3822169303894043,0.3154307007789612,0.17533601820468903,0.9999999403953552,0.3696671724319458,0.3359498679637909,0.1600038856267929,0.2072952687740326
to,0.47735077142715454,0.4391997456550598,0.535392165184021,0.1736302673816681,0.497876912355423,0.45503583550453186,0.20251458883285522,0.3696671724319458,1.0,0.535392165184021,0.2743184268474579,0.29463258385658264
the,0.5003893971443176,0.35928019881248474,1.0,0.30735138058662415,0.3146495521068573,0.5829201340675354,0.2618619501590729,0.3359498679637909,0.535392165184021,1.0,0.36298373341560364,0.22068053483963013
north,0.23586879670619965,0.11500263214111328,0.36298373341560364,0.3832572400569916,0.11821365356445312,0.25008413195610046,0.15242160856723785,0.1600038856267929,0.2743184268474579,0.36298373341560364,1.0,0.11829731613397598
near,0.4188554286956787,0.11424306035041809,0.2879819869995117,0.2615382969379425,0.14311455190181732,0.25033900141716003,0.0934932753443718,0.14778853952884674,0.2456841915845871,0.2879819869995117,0.39731860160827637,0.10734958201646805
chur,0.15503880381584167,0.116458959877491,0.2933478355407715,0.26268666982650757,0.14857687056064606,0.20532819628715515,0.10036338120698929,0.12699630856513977,0.20567215979099274,0.2933478355407715,0.19699539244174957,0.18571597337722778
.,0.41390106081962585,0.3022993505001068,0.5934505462646484,0.2089352011680603,0.3547073304653168,0.50484299659729,0.1806178092956543,0.30823618173599243,0.4645031690597534,0.5934505462646484,0.3171539604663849,0.4130953550338745
