,what,does,afc,stand,for,?
the,0.42745697498321533,0.35928019881248474,0.25863510370254517,0.2531624138355255,0.4739971458911896,0.22068053483963013
american,0.1909721940755844,0.1448984146118164,0.18992678821086884,0.23966065049171448,0.2306184321641922,0.18877598643302917
football,0.21136903762817383,0.13112355768680573,0.5084695816040039,0.17516693472862244,0.23134100437164307,0.14957410097122192
conference,0.15329721570014954,0.12769374251365662,0.3807511031627655,0.18535684049129486,0.21981438994407654,0.11172781884670258
(,0.2411840260028839,0.2728188931941986,0.27387434244155884,0.15827840566635132,0.3357032239437103,0.40561532974243164
afc,0.1550256609916687,0.10621067136526108,1.0,0.1930726319551468,0.23089082539081573,0.2026895433664322
),0.26259949803352356,0.2575884759426117,0.25836482644081116,0.14393578469753265,0.3639558255672455,0.42300865054130554
champion,0.11434172838926315,0.1396913230419159,0.40495696663856506,0.22467979788780212,0.19510509073734283,0.14080514013767242
denver,0.1275133192539215,0.14473900198936462,0.27175816893577576,0.18953661620616913,0.22017966210842133,0.1520889848470688
broncos,0.1787765771150589,0.11294085532426834,0.4436691403388977,0.17206242680549622,0.2739109396934509,0.18377114832401276
defeated,0.13652801513671875,0.07701926678419113,0.241952583193779,0.12291444092988968,0.15790952742099762,0.1413237303495407
the,0.42745697498321533,0.35928019881248474,0.25863510370254517,0.2531624138355255,0.4739971458911896,0.22068053483963013
national,0.16882304847240448,0.16890141367912292,0.20656158030033112,0.16672809422016144,0.36267757415771484,0.15643028914928436
football,0.21136903762817383,0.13112355768680573,0.5084695816040039,0.17516693472862244,0.23134100437164307,0.14957410097122192
conference,0.15329721570014954,0.12769374251365662,0.3807511031627655,0.18535684049129486,0.21981438994407654,0.11172781884670258
(,0.2411840260028839,0.2728188931941986,0.27387434244155884,0.15827840566635132,0.3357032239437103,0.40561532974243164
nfc,0.19796092808246613,0.15085840225219727,0.6895114183425903,0.18949678540229797,0.3079942464828491,0.15073348581790924
),0.26259949803352356,0.2575884759426117,0.25836482644081116,0.14393578469753265,0.3639558255672455,0.42300865054130554
champion,0.11434172838926315,0.1396913230419159,0.40495696663856506,0.22467979788780212,0.19510509073734283,0.14080514013767242
carolina,0.1956660896539688,0.10159022361040115,0.21097522974014282,0.1150020882487297,0.17749637365341187,0.11847445368766785
panthers,0.17002959549427032,0.14570607244968414,0.33692118525505066,0.15634028613567352,0.25358447432518005,0.16608978807926178
24–10,0.05741516873240471,0.10564347356557846,0.12495440989732742,0.1175815686583519,0.09523067623376846,0.06738992035388947
to,0.455847829580307,0.4391997456550598,0.18302594125270844,0.23655876517295837,0.4451248347759247,0.29463258385658264
earn,0.16168662905693054,0.24419745802879333,0.19533829391002655,0.13430798053741455,0.29041293263435364,0.20429526269435883
their,0.35142919421195984,0.29094186425209045,0.13482747972011566,0.22814789414405823,0.3406745493412018,0.1898253709077835
third,0.2033906877040863,0.16555646061897278,0.20008410513401031,0.11331292986869812,0.2187870591878891,0.15394791960716248
super,0.13651713728904724,0.10955630242824554,0.37206512689590454,0.10913664847612381,0.22938419878482819,0.166326642036438
bowl,0.15942467749118805,0.11175493150949478,0.41199249029159546,0.1444433629512787,0.24430087208747864,0.21118052303791046
title,0.205022931098938,0.21870116889476776,0.2193080484867096,0.08563011139631271,0.2096623331308365,0.34551161527633667
.,0.3567904531955719,0.3022993505001068,0.28921979665756226,0.2296130359172821,0.4726039469242096,0.4130953550338745
