,what,festival,is,held,in,october,in,newcastle,?
in,0.30808621644973755,0.27311140298843384,0.5394441485404968,0.3127288818359375,1.0,0.27560389041900635,1.0,0.19270820915699005,0.20430970191955566
october,0.24927909672260284,0.14442837238311768,0.24397309124469757,0.20754745602607727,0.27560389041900635,1.0,0.27560389041900635,0.2442861795425415,0.29706719517707825
",",0.3087472915649414,0.25094273686408997,0.4691906273365021,0.2880980372428894,0.5201468467712402,0.4369233250617981,0.5201468467712402,0.251589834690094,0.31091248989105225
there,0.35085538029670715,0.1472439467906952,0.3904260993003845,0.26702648401260376,0.5361666083335876,0.1823807954788208,0.5361666083335876,0.1536160409450531,0.29405656456947327
is,0.28837618231773376,0.1853252649307251,1.0,0.19884860515594482,0.5394441485404968,0.24397309124469757,0.5394441485404968,0.1841045320034027,0.22961433231830597
the,0.42745697498321533,0.20982226729393005,0.5823672413825989,0.32185450196266174,0.6662389636039734,0.2621108889579773,0.6662389636039734,0.2253497689962387,0.22068053483963013
design,0.23893405497074127,0.10533132404088974,0.18976035714149475,0.10020676255226135,0.21856798231601715,0.18925181031227112,0.21856798231601715,0.16873028874397278,0.16351860761642456
event,0.26981404423713684,0.3299560546875,0.2078172266483307,0.45807647705078125,0.27304479479789734,0.2035062313079834,0.27304479479789734,0.13599464297294617,0.16076280176639557
festival—an,0.14677608013153076,0.9651968479156494,0.18650808930397034,0.3940545320510864,0.2899926006793976,0.1683303266763687,0.2899926006793976,0.15809619426727295,0.19962012767791748
annual,0.14798973500728607,0.4463697373867035,0.20538382232189178,0.3879128098487854,0.2557781934738159,0.15383629500865936,0.2557781934738159,0.13734354078769684,0.1083487942814827
festival,0.15385980904102325,0.9999999403953552,0.1853252649307251,0.3763343393802643,0.27311140298843384,0.14442837238311768,0.27311140298843384,0.14734795689582825,0.17767390608787537
providing,0.21766136586666107,0.05259343236684799,0.27256250381469727,0.11135388910770416,0.19932186603546143,0.14573243260383606,0.19932186603546143,0.19025731086730957,0.1936793476343155
the,0.42745697498321533,0.20982226729393005,0.5823672413825989,0.32185450196266174,0.6662389636039734,0.2621108889579773,0.6662389636039734,0.2253497689962387,0.22068053483963013
public,0.1729622185230255,0.21379180252552032,0.1980048567056656,0.2436896711587906,0.29074716567993164,0.1963523030281067,0.29074716567993164,0.12273108959197998,0.19872993230819702
with,0.2464839518070221,0.13961061835289001,0.3250955045223236,0.1774713099002838,0.4080928862094879,0.18983426690101624,0.4080928862094879,0.1710812896490097,0.2433311939239502
an,0.2821882665157318,0.14465829730033875,0.4654068350791931,0.09179631620645523,0.2605783939361572,0.2439003735780716,0.2605783939361572,0.162101611495018,0.19793890416622162
opportunity,0.2871367037296295,0.1604440063238144,0.12906494736671448,0.1804240345954895,0.1546517312526703,0.16350531578063965,0.1546517312526703,0.2690531313419342,0.19524551928043365
to,0.455847829580307,0.19796393811702728,0.42745086550712585,0.22177374362945557,0.45010748505592346,0.23106063902378082,0.45010748505592346,0.23559264838695526,0.29463258385658264
see,0.44941186904907227,0.14510594308376312,0.30759111046791077,0.1043744757771492,0.2973747253417969,0.18807104229927063,0.2973747253417969,0.12204934656620026,0.42005208134651184
work,0.3762225806713104,0.17123357951641083,0.22475390136241913,0.16347256302833557,0.2753349542617798,0.20572103559970856,0.2753349542617798,0.17684167623519897,0.2621155381202698
by,0.2455483376979828,0.14534176886081696,0.3899846076965332,0.19236290454864502,0.370934396982193,0.17728064954280853,0.370934396982193,0.1767825335264206,0.17966607213020325
regional,0.1532609760761261,0.15549807250499725,0.1760118007659912,0.22057965397834778,0.2730329930782318,0.14679858088493347,0.2730329930782318,0.21795861423015594,0.09246466308832169
",",0.3087472915649414,0.25094273686408997,0.4691906273365021,0.2880980372428894,0.5201468467712402,0.4369233250617981,0.5201468467712402,0.251589834690094,0.31091248989105225
national,0.16882304847240448,0.1687808781862259,0.23413582146167755,0.2380104959011078,0.28915393352508545,0.2443588823080063,0.28915393352508545,0.20298312604427338,0.15643028914928436
and,0.31309178471565247,0.19459347426891327,0.3859752118587494,0.22757986187934875,0.4954058527946472,0.2883152663707733,0.4954058527946472,0.20204751193523407,0.20544172823429108
international,0.10870302468538284,0.3008427023887634,0.19279639422893524,0.26113346219062805,0.26377472281455994,0.18584056198596954,0.26377472281455994,0.21848909556865692,0.15335838496685028
designers,0.22550532221794128,0.10226429998874664,0.17819638550281525,0.09541904181241989,0.19176839292049408,0.1990223079919815,0.19176839292049408,0.16425751149654388,0.15633709728717804
.,0.3567904531955719,0.16963402926921844,0.4569662809371948,0.2628571093082428,0.5591574311256409,0.36217865347862244,0.5591574311256409,0.2714749276638031,0.4130953550338745
