,to,what,may,general,global,fields,be,transferred,to,or,from,?
certain,0.4444960355758667,0.4561643898487091,0.327302485704422,0.22299392521381378,0.16080521047115326,0.21314837038516998,0.47409647703170776,0.19577093422412872,0.4444960355758667,0.49912479519844055,0.27161097526550293,0.2516106069087982
arithmetic,0.2076125293970108,0.27624577283859253,0.20105329155921936,0.19879138469696045,0.1617203801870346,0.1757422387599945,0.25647488236427307,0.11865738034248352,0.2076125293970108,0.2303122878074646,0.12665455043315887,0.24343055486679077
questions,0.317446768283844,0.4857400059700012,0.2296697348356247,0.22032441198825836,0.12632718682289124,0.243109330534935,0.3082304298877716,0.11078771948814392,0.317446768283844,0.2771713435649872,0.11736684292554855,0.42967134714126587
related,0.2702969014644623,0.258600115776062,0.1937730610370636,0.1951095461845398,0.15104854106903076,0.1407257467508316,0.24775327742099762,0.1969451904296875,0.2702969014644623,0.2758271098136902,0.2994314432144165,0.17689068615436554
to,1.0,0.455847829580307,0.391582727432251,0.24755197763442993,0.21649709343910217,0.24277333915233612,0.4972836375236511,0.2984115183353424,1.0,0.38921234011650085,0.4069952368736267,0.29463258385658264
q,0.17006663978099823,0.2383371889591217,0.11795824766159058,0.1039775088429451,0.21561165153980255,0.14258049428462982,0.1806275099515915,0.09467185288667679,0.17006663978099823,0.20536281168460846,0.14714966714382172,0.31306079030036926
or,0.38921234011650085,0.33867141604423523,0.399771511554718,0.16815856099128723,0.17781540751457214,0.25209224224090576,0.5260903835296631,0.16945241391658783,0.38921234011650085,1.0000001192092896,0.31242018938064575,0.32389625906944275
more,0.47084665298461914,0.3484537899494171,0.3057594895362854,0.2037004828453064,0.2011394202709198,0.1719146966934204,0.5445363521575928,0.20250381529331207,0.47084665298461914,0.41612157225608826,0.2529715299606323,0.27894994616508484
general,0.24755197763442993,0.24928055703639984,0.22961640357971191,1.0000001192092896,0.1201898530125618,0.15041391551494598,0.1851358562707901,0.16026398539543152,0.24755197763442993,0.16815856099128723,0.1645994782447815,0.1972234547138214
global,0.21649709343910217,0.21706031262874603,0.14656244218349457,0.1201898530125618,0.9999999403953552,0.2607198655605316,0.1929779201745987,0.12125207483768463,0.21649709343910217,0.17781540751457214,0.1645282357931137,0.22985349595546722
fields,0.24277333915233612,0.14054246246814728,0.19828727841377258,0.15041391551494598,0.2607198655605316,0.9999999403953552,0.25505945086479187,0.09969035536050797,0.24277333915233612,0.25209224224090576,0.12092243134975433,0.1411406248807907
may,0.391582727432251,0.25739946961402893,0.9999998807907104,0.22961640357971191,0.14656244218349457,0.19828727841377258,0.45514434576034546,0.22716312110424042,0.391582727432251,0.399771511554718,0.23997589945793152,0.2768254578113556
be,0.4972836375236511,0.3929833769798279,0.45514434576034546,0.1851358562707901,0.1929779201745987,0.25505945086479187,1.0,0.2329823523759842,0.4972836375236511,0.5260903835296631,0.3107333183288574,0.3324260413646698
transferred,0.2984115183353424,0.16428381204605103,0.22716312110424042,0.16026398539543152,0.12125207483768463,0.09969035536050797,0.2329823523759842,1.0000001192092896,0.2984115183353424,0.16945241391658783,0.3169066309928894,0.1139405146241188
back,0.4675939381122589,0.2965294420719147,0.17179588973522186,0.11903300881385803,0.13200615346431732,0.06148241460323334,0.22852785885334015,0.3582495450973511,0.4675939381122589,0.2011139988899231,0.38032060861587524,0.2397768795490265
and,0.48971283435821533,0.31309178471565247,0.34598252177238464,0.25860127806663513,0.22193439304828644,0.3074205219745636,0.41766801476478577,0.25792068243026733,0.48971283435821533,0.4713204801082611,0.3601827025413513,0.20544172823429108
forth,0.3385196924209595,0.23450849950313568,0.1334809958934784,0.08944036066532135,0.12122823297977448,0.2409018576145172,0.2324558049440384,0.22890383005142212,0.3385196924209595,0.27001717686653137,0.23085170984268188,0.19201600551605225
to,1.0,0.455847829580307,0.391582727432251,0.24755197763442993,0.21649709343910217,0.24277333915233612,0.4972836375236511,0.2984115183353424,1.0,0.38921234011650085,0.4069952368736267,0.29463258385658264
the,0.535392165184021,0.42745697498321533,0.2694292366504669,0.28634732961654663,0.17898012697696686,0.16397054493427277,0.4248143136501312,0.34201255440711975,0.535392165184021,0.4174870550632477,0.40150508284568787,0.22068053483963013
completed,0.2867361009120941,0.19063329696655273,0.15949372947216034,0.09847341477870941,0.17266596853733063,0.11240461468696594,0.2236461490392685,0.3408220708370209,0.2867361009120941,0.18763747811317444,0.19565615057945251,0.08272653818130493
