,how,many,expansion,stages,are,used,by,the,triple,expansion,engine,?
such,0.307365357875824,0.5649948120117188,0.2061477154493332,0.22536690533161163,0.4654397666454315,0.4262988865375519,0.2736194431781769,0.3575236201286316,0.17431879043579102,0.2061477154493332,0.12399271875619888,0.17851735651493073
engines,0.1776673048734665,0.23802568018436432,0.2381553053855896,0.27338987588882446,0.21946673095226288,0.2519303560256958,0.18518580496311188,0.2245008647441864,0.06898585706949234,0.2381553053855896,0.8767010569572449,0.18940703570842743
use,0.39296725392341614,0.3544585704803467,0.24896211922168732,0.18449784815311432,0.4174068570137024,0.7127541303634644,0.21048003435134888,0.34342584013938904,0.133891761302948,0.24896211922168732,0.2398114949464798,0.32795652747154236
either,0.35004037618637085,0.3275146186351776,0.21168653666973114,0.1931481957435608,0.4060882031917572,0.362758606672287,0.2713143825531006,0.3795609474182129,0.19354122877120972,0.21168653666973114,0.20280469954013824,0.31498292088508606
three,0.23807744681835175,0.4501400589942932,0.14777670800685883,0.2902289628982544,0.38895705342292786,0.20464463531970978,0.28754812479019165,0.43452659249305725,0.2431621253490448,0.14777670800685883,0.16516578197479248,0.20928427577018738
or,0.3378981947898865,0.36905089020729065,0.16794072091579437,0.19435784220695496,0.5374364256858826,0.4951852560043335,0.30274316668510437,0.4174870550632477,0.22375483810901642,0.16794072091579437,0.1524530053138733,0.32389625906944275
four,0.1955733299255371,0.4139232039451599,0.1601896435022354,0.27883031964302063,0.3568944036960602,0.190225750207901,0.2771659195423126,0.40344667434692383,0.19668996334075928,0.1601896435022354,0.23402813076972961,0.14532537758350372
expansion,0.1856977343559265,0.18235675990581512,1.0,0.2172745317220688,0.1472935825586319,0.17978183925151825,0.1673589050769806,0.31353142857551575,0.14901380240917206,1.0,0.2244432121515274,0.18286365270614624
stages,0.22623389959335327,0.28329411149024963,0.2172745317220688,1.0000001192092896,0.26579415798187256,0.16860392689704895,0.19454042613506317,0.29316213726997375,0.15978610515594482,0.2172745317220688,0.22898422181606293,0.12672165036201477
and,0.33647966384887695,0.5296266674995422,0.1901247650384903,0.207217738032341,0.48576638102531433,0.3150506615638733,0.4289871156215668,0.5171257257461548,0.2567623555660248,0.1901247650384903,0.18437977135181427,0.20544172823429108
are,0.311818927526474,0.5655534863471985,0.1472935825586319,0.26579415798187256,1.0,0.3322218656539917,0.37842893600463867,0.40399202704429626,0.14917704463005066,0.1472935825586319,0.10557017475366592,0.24591213464736938
known,0.16194356977939606,0.30594465136528015,0.1330479085445404,0.20259521901607513,0.26720109581947327,0.37155357003211975,0.24461808800697327,0.3624623417854309,0.08096436411142349,0.1330479085445404,0.09790419042110443,0.18314571678638458
as,0.33782753348350525,0.4070141911506653,0.21941451728343964,0.14936216175556183,0.3826591968536377,0.35160550475120544,0.3815547823905945,0.48381632566452026,0.16639026999473572,0.21941451728343964,0.15144379436969757,0.27043893933296204
triple,0.1421651691198349,0.1304754614830017,0.14901380240917206,0.15978610515594482,0.14917704463005066,0.13288719952106476,0.2308378964662552,0.23220868408679962,1.0000001192092896,0.14901380240917206,0.08910412341356277,0.10550399124622345
and,0.33647966384887695,0.5296266674995422,0.1901247650384903,0.207217738032341,0.48576638102531433,0.3150506615638733,0.4289871156215668,0.5171257257461548,0.2567623555660248,0.1901247650384903,0.18437977135181427,0.20544172823429108
quadruple,0.262861043214798,0.2198113352060318,0.213178813457489,0.25225675106048584,0.19777806103229523,0.15091346204280853,0.1877603977918625,0.2659114599227905,0.5148621797561646,0.213178813457489,0.24966120719909668,0.09576638042926788
expansion,0.1856977343559265,0.18235675990581512,1.0,0.2172745317220688,0.1472935825586319,0.17978183925151825,0.1673589050769806,0.31353142857551575,0.14901380240917206,1.0,0.2244432121515274,0.18286365270614624
engines,0.1776673048734665,0.23802568018436432,0.2381553053855896,0.27338987588882446,0.21946673095226288,0.2519303560256958,0.18518580496311188,0.2245008647441864,0.06898585706949234,0.2381553053855896,0.8767010569572449,0.18940703570842743
respectively,0.18500657379627228,0.25986623764038086,0.13862113654613495,0.15540823340415955,0.30626973509788513,0.13573609292507172,0.3243499994277954,0.3498423993587494,0.3034023344516754,0.13862113654613495,0.20336924493312836,0.1307799071073532
.,0.3287222981452942,0.3974229395389557,0.18406090140342712,0.2273997664451599,0.3452940285205841,0.33111312985420227,0.3936232924461365,0.5934505462646484,0.2163039892911911,0.18406090140342712,0.21814921498298645,0.4130953550338745
