,when,does,immunodeficiency,occur,?
immunodeficiency,0.2870454788208008,0.2663459777832031,1.0000001192092896,0.3624119162559509,0.21612292528152466
occurs,0.30547669529914856,0.22991113364696503,0.3560836613178253,0.7793484926223755,0.15104985237121582
when,0.9999999403953552,0.3380102217197418,0.2870454788208008,0.2505786716938019,0.22841128706932068
the,0.5091903209686279,0.35928019881248474,0.2426232546567917,0.26611819863319397,0.22068053483963013
immune,0.2670612335205078,0.22944720089435577,0.7258189916610718,0.28991711139678955,0.16080476343631744
system,0.27706024050712585,0.2021704614162445,0.3595936596393585,0.2386063188314438,0.15556083619594574
is,0.3471449911594391,0.4403602182865143,0.25795841217041016,0.24761207401752472,0.22961433231830597
less,0.37969323992729187,0.33181050419807434,0.33082878589630127,0.301411509513855,0.22418740391731262
active,0.2615574598312378,0.19193916022777557,0.2768459916114807,0.2133788913488388,0.20374006032943726
than,0.2883036434650421,0.32178643345832825,0.24738198518753052,0.29560738801956177,0.24917294085025787
normal,0.3445010781288147,0.4030308723449707,0.31013959646224976,0.3421280086040497,0.19617988169193268
",",0.36674630641937256,0.28617382049560547,0.26120924949645996,0.28566715121269226,0.31091248989105225
resulting,0.3644998371601105,0.23127596080303192,0.32418322563171387,0.42692849040031433,0.10813049972057343
in,0.4431333839893341,0.214483380317688,0.19726061820983887,0.26916563510894775,0.20430970191955566
recurring,0.19178509712219238,0.17042160034179688,0.25722652673721313,0.29702210426330566,0.18640388548374176
and,0.4716290831565857,0.3461615741252899,0.2479945421218872,0.2570546269416809,0.20544172823429108
life-threatening,0.3871557414531708,0.35830312967300415,0.4624336361885071,0.36927667260169983,0.2533680498600006
infections,0.24293172359466553,0.21957433223724365,0.6607382297515869,0.3824034035205841,0.19163957238197327
.,0.475719153881073,0.3022993505001068,0.2702282965183258,0.21290622651576996,0.4130953550338745
