,who,is,the,general,secretary,for,the,national,association,of,schoolmasters,union,of,women,teachers,?
chris,0.26527297496795654,0.12766964733600616,0.1503218412399292,0.16537192463874817,0.13975505530834198,0.17490077018737793,0.1503218412399292,0.14873717725276947,0.11547330021858215,0.05191632732748985,0.26590442657470703,0.09913414716720581,0.05191632732748985,0.1167285144329071,0.10518679767847061,0.12341532111167908
keates,0.3482110798358917,0.27335241436958313,0.2620507478713989,0.16928230226039886,0.256079763174057,0.28492963314056396,0.2620507478713989,0.23047256469726562,0.13541513681411743,0.25467649102211,0.31991952657699585,0.08490092307329178,0.25467649102211,0.16944558918476105,0.14973405003547668,0.13968534767627716
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.3022127151489258,0.24522995948791504,0.4464869201183319,0.4933079481124878,0.23933029174804688,0.19516262412071228,0.4946078956127167,0.2928258180618286,0.2362271547317505,0.4946078956127167,0.18865817785263062,0.28049156069755554,0.31091248989105225
the,0.3733934462070465,0.5823672413825989,1.0,0.28634732961654663,0.23160062730312347,0.4739971458911896,1.0,0.32739606499671936,0.26550325751304626,0.733189046382904,0.2969346046447754,0.24421639740467072,0.733189046382904,0.279754102230072,0.22025763988494873,0.22068053483963013
general,0.2461782991886139,0.20144300162792206,0.28634732961654663,1.0000001192092896,0.3713289499282837,0.23497237265110016,0.28634732961654663,0.18858538568019867,0.12800951302051544,0.28352999687194824,0.17119605839252472,0.25239288806915283,0.28352999687194824,0.13451071083545685,0.16037723422050476,0.1972234547138214
secretary,0.2019355148077011,0.14854203164577484,0.23160062730312347,0.3713289499282837,0.9999999403953552,0.20553922653198242,0.23160062730312347,0.24246008694171906,0.20324014127254486,0.21537087857723236,0.2543528378009796,0.2843669056892395,0.21537087857723236,0.15128642320632935,0.21682043373584747,0.10113837569952011
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.28352999687194824,0.21537087857723236,0.4185989499092102,0.733189046382904,0.3314673602581024,0.2501356303691864,1.0,0.2380235493183136,0.2642118036746979,1.0,0.22431409358978271,0.27737662196159363,0.1826142966747284
national,0.18105065822601318,0.23413582146167755,0.32739606499671936,0.18858538568019867,0.24246008694171906,0.36267757415771484,0.32739606499671936,1.0000001192092896,0.4218963384628296,0.3314673602581024,0.20852729678153992,0.27432581782341003,0.3314673602581024,0.2657333314418793,0.1428430825471878,0.15643028914928436
association,0.18668070435523987,0.23086927831172943,0.26550325751304626,0.12800951302051544,0.20324014127254486,0.2684359848499298,0.26550325751304626,0.4218963384628296,0.9999999403953552,0.2501356303691864,0.276056706905365,0.2163797914981842,0.2501356303691864,0.26040002703666687,0.27001574635505676,0.1542656421661377
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.28352999687194824,0.21537087857723236,0.4185989499092102,0.733189046382904,0.3314673602581024,0.2501356303691864,1.0,0.2380235493183136,0.2642118036746979,1.0,0.22431409358978271,0.27737662196159363,0.1826142966747284
schoolmasters,0.35995298624038696,0.23129291832447052,0.2969346046447754,0.17119605839252472,0.2543528378009796,0.22795943915843964,0.2969346046447754,0.20852729678153992,0.276056706905365,0.2380235493183136,1.0,0.23041173815727234,0.2380235493183136,0.32917115092277527,0.5886385440826416,0.25438573956489563
union,0.16662479937076569,0.16997112333774567,0.24421639740467072,0.25239288806915283,0.2843669056892395,0.20406247675418854,0.24421639740467072,0.27432581782341003,0.2163797914981842,0.2642118036746979,0.23041173815727234,0.9999999403953552,0.2642118036746979,0.1915007084608078,0.19396467506885529,0.07797172665596008
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.28352999687194824,0.21537087857723236,0.4185989499092102,0.733189046382904,0.3314673602581024,0.2501356303691864,1.0,0.2380235493183136,0.2642118036746979,1.0,0.22431409358978271,0.27737662196159363,0.1826142966747284
women,0.3193221390247345,0.20067402720451355,0.279754102230072,0.13451071083545685,0.15128642320632935,0.255394846200943,0.279754102230072,0.2657333314418793,0.26040002703666687,0.22431409358978271,0.32917115092277527,0.1915007084608078,0.22431409358978271,0.9999998807907104,0.30141299962997437,0.1616753786802292
teachers,0.34250906109809875,0.15701442956924438,0.22025763988494873,0.16037723422050476,0.21682043373584747,0.274332195520401,0.22025763988494873,0.1428430825471878,0.27001574635505676,0.27737662196159363,0.5886385440826416,0.19396467506885529,0.27737662196159363,0.30141299962997437,1.0,0.19522249698638916
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.3022127151489258,0.24522995948791504,0.4464869201183319,0.4933079481124878,0.23933029174804688,0.19516262412071228,0.4946078956127167,0.2928258180618286,0.2362271547317505,0.4946078956127167,0.18865817785263062,0.28049156069755554,0.31091248989105225
said,0.391315758228302,0.2595660388469696,0.3024602234363556,0.15353232622146606,0.23239754140377045,0.31942054629325867,0.3024602234363556,0.17149223387241364,0.09803316742181778,0.29014745354652405,0.2433495670557022,0.12060912698507309,0.29014745354652405,0.18698371946811676,0.2628622353076935,0.28991883993148804
that,0.45444270968437195,0.3995479643344879,0.5473989248275757,0.2510950565338135,0.18073731660842896,0.4137635827064514,0.5473989248275757,0.20268747210502625,0.16232246160507202,0.41498205065727234,0.2940709590911865,0.17320044338703156,0.41498205065727234,0.18742111325263977,0.24071024358272552,0.32716336846351624
teachers,0.34250906109809875,0.15701442956924438,0.22025763988494873,0.16037723422050476,0.21682043373584747,0.274332195520401,0.22025763988494873,0.1428430825471878,0.27001574635505676,0.27737662196159363,0.5886385440826416,0.19396467506885529,0.27737662196159363,0.30141299962997437,1.0,0.19522249698638916
who,0.9999998807907104,0.24293622374534607,0.3733934462070465,0.2461782991886139,0.2019355148077011,0.37110671401023865,0.3733934462070465,0.18105065822601318,0.18668070435523987,0.2827862501144409,0.35995298624038696,0.16662479937076569,0.2827862501144409,0.3193221390247345,0.34250906109809875,0.26220351457595825
have,0.39246654510498047,0.3613572418689728,0.40389683842658997,0.1695498526096344,0.12411808222532272,0.41175219416618347,0.40389683842658997,0.16939407587051392,0.21060673892498016,0.3802283704280853,0.23612672090530396,0.16471676528453827,0.3802283704280853,0.23165501654148102,0.25109589099884033,0.32991164922714233
sex,0.25053244829177856,0.19569729268550873,0.20066885650157928,0.17207737267017365,0.13739854097366333,0.18860077857971191,0.20066885650157928,0.09279101341962814,0.0732809454202652,0.18436278402805328,0.24847716093063354,0.1801331490278244,0.18436278402805328,0.31661856174468994,0.1686410754919052,0.16873355209827423
with,0.3282766342163086,0.3250955045223236,0.4223487675189972,0.1510423719882965,0.1384381204843521,0.39140474796295166,0.4223487675189972,0.15206176042556763,0.17323976755142212,0.41827285289764404,0.18549782037734985,0.19172410666942596,0.41827285289764404,0.1728040874004364,0.17936164140701294,0.2433311939239502
pupils,0.2637689411640167,0.1490861177444458,0.161826953291893,0.049591291695833206,0.17642676830291748,0.148450568318367,0.161826953291893,0.0913393422961235,0.05283350124955177,0.17450828850269318,0.4371972382068634,0.1577123999595642,0.17450828850269318,0.23192963004112244,0.5050403475761414,0.06499303877353668
over,0.316001296043396,0.2159561663866043,0.39856547117233276,0.17738531529903412,0.10930119454860687,0.3419422209262848,0.39856547117233276,0.23819220066070557,0.14511895179748535,0.36136594414711,0.21493268013000488,0.18018433451652527,0.36136594414711,0.15232501924037933,0.16751357913017273,0.25742942094802856
the,0.3733934462070465,0.5823672413825989,1.0,0.28634732961654663,0.23160062730312347,0.4739971458911896,1.0,0.32739606499671936,0.26550325751304626,0.733189046382904,0.2969346046447754,0.24421639740467072,0.733189046382904,0.279754102230072,0.22025763988494873,0.22068053483963013
age,0.2584081292152405,0.17962174117565155,0.24711290001869202,0.12573859095573425,0.18432171642780304,0.23129768669605255,0.24711290001869202,0.1868857890367508,0.11691182851791382,0.2372717410326004,0.27249881625175476,0.09703131020069122,0.2372717410326004,0.20069469511508942,0.24455204606056213,0.16859300434589386
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.28352999687194824,0.21537087857723236,0.4185989499092102,0.733189046382904,0.3314673602581024,0.2501356303691864,1.0,0.2380235493183136,0.2642118036746979,1.0,0.22431409358978271,0.27737662196159363,0.1826142966747284
consent,0.33707305788993835,0.16072668135166168,0.22271060943603516,0.18496134877204895,0.25260278582572937,0.2607952356338501,0.22271060943603516,0.08008264005184174,0.2173594832420349,0.24433499574661255,0.24267084896564484,0.20051713287830353,0.24433499574661255,0.2422434240579605,0.27865928411483765,0.2684990465641022
should,0.2982507050037384,0.33635082840919495,0.32399165630340576,0.21871064603328705,0.19308027625083923,0.3225788176059723,0.32399165630340576,0.18848706781864166,0.11084072291851044,0.23792634904384613,0.23865912854671478,0.23935925960540771,0.23792634904384613,0.23267942667007446,0.21522067487239838,0.4442402422428131
not,0.369414746761322,0.3776007890701294,0.4310511648654938,0.19737575948238373,0.12748879194259644,0.39280617237091064,0.4310511648654938,0.18304212391376495,0.18355706334114075,0.3307090103626251,0.24024684727191925,0.22089463472366333,0.3307090103626251,0.20434243977069855,0.22176165878772736,0.41942933201789856
be,0.3371641933917999,0.4819129705429077,0.4248143136501312,0.1851358562707901,0.11574884504079819,0.3801851272583008,0.4248143136501312,0.1411116123199463,0.12827831506729126,0.33904364705085754,0.2214430719614029,0.16980519890785217,0.33904364705085754,0.19141218066215515,0.20256873965263367,0.3324260413646698
placed,0.1622145026922226,0.2521167993545532,0.38702741265296936,0.18460458517074585,0.18509428203105927,0.258872926235199,0.38702741265296936,0.21277602016925812,0.10861420631408691,0.2962164878845215,0.14519378542900085,0.14106673002243042,0.2962164878845215,0.09512387961149216,0.10758554190397263,0.18964257836341858
on,0.2340552806854248,0.3635730445384979,0.5107308030128479,0.18019753694534302,0.18767742812633514,0.36199691891670227,0.5107308030128479,0.18674622476100922,0.12186131626367569,0.3966929316520691,0.27691414952278137,0.15769828855991364,0.3966929316520691,0.15954512357711792,0.24610933661460876,0.2714994251728058
the,0.3733934462070465,0.5823672413825989,1.0,0.28634732961654663,0.23160062730312347,0.4739971458911896,1.0,0.32739606499671936,0.26550325751304626,0.733189046382904,0.2969346046447754,0.24421639740467072,0.733189046382904,0.279754102230072,0.22025763988494873,0.22068053483963013
sex,0.25053244829177856,0.19569729268550873,0.20066885650157928,0.17207737267017365,0.13739854097366333,0.18860077857971191,0.20066885650157928,0.09279101341962814,0.0732809454202652,0.18436278402805328,0.24847716093063354,0.1801331490278244,0.18436278402805328,0.31661856174468994,0.1686410754919052,0.16873355209827423
offenders,0.39643898606300354,0.21843719482421875,0.24946783483028412,0.2083752304315567,0.17584696412086487,0.32734668254852295,0.24946783483028412,0.1454928070306778,0.1407645344734192,0.19608259201049805,0.2956262230873108,0.17107081413269043,0.19608259201049805,0.32288065552711487,0.2645241916179657,0.31221598386764526
register,0.22290268540382385,0.18546757102012634,0.21045131981372833,0.12054441124200821,0.15797673165798187,0.21003350615501404,0.21045131981372833,0.2875954210758209,0.19160938262939453,0.17440496385097504,0.3029194176197052,0.14259059727191925,0.17440496385097504,0.1359495222568512,0.19366194307804108,0.18827666342258453
