,where,does,the,council,meet,?
the,0.5003893971443176,0.35928019881248474,1.0,0.2829204201698303,0.312436044216156,0.22068053483963013
council,0.17153799533843994,0.13735659420490265,0.2829204201698303,1.0,0.22652576863765717,0.1160062924027443
meets,0.24893836677074432,0.3886438012123108,0.28454074263572693,0.2186029702425003,0.693572461605072,0.16143257915973663
twice,0.2414841651916504,0.25360989570617676,0.3638015687465668,0.14498889446258545,0.17354242503643036,0.16248004138469696
a,0.40997210144996643,0.38201746344566345,0.5829201340675354,0.16385574638843536,0.14505931735038757,0.23916715383529663
year,0.20427323877811432,0.16000528633594513,0.3609684407711029,0.1741928905248642,0.14165005087852478,0.18315006792545319
at,0.4402937591075897,0.17465277016162872,0.457212895154953,0.20668897032737732,0.2383149415254593,0.21978627145290375
various,0.28814008831977844,0.21168746054172516,0.3235042691230774,0.16292308270931244,0.17336764931678772,0.12823495268821716
locations,0.4026567041873932,0.1932622492313385,0.3575807511806488,0.23380643129348755,0.28601810336112976,0.14570996165275574
throughout,0.34492164850234985,0.2064560502767563,0.4158564507961273,0.15285101532936096,0.18562597036361694,0.12665234506130219
the,0.5003893971443176,0.35928019881248474,1.0,0.2829204201698303,0.312436044216156,0.22068053483963013
world,0.29259413480758667,0.15434256196022034,0.33604270219802856,0.17487794160842896,0.18434569239616394,0.17579582333564758
.,0.41390106081962585,0.3022993505001068,0.5934505462646484,0.2314436286687851,0.26616400480270386,0.4130953550338745
