,what,is,the,name,of,the,cbs,affiliate,in,fresno,?
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.20388714969158173,0.38583824038505554,0.44152235984802246,0.1471167653799057,0.1988547295331955,0.39989137649536133,0.14004750549793243,0.24682199954986572
fresno,0.159109428524971,0.2127077877521515,0.22571885585784912,0.17195947468280792,0.1875009983778,0.22571885585784912,0.3356003165245056,0.35740333795547485,0.26126348972320557,1.0000001192092896,0.13224096596240997
stations,0.1621520221233368,0.2002124935388565,0.24762700498104095,0.10590764880180359,0.20414425432682037,0.24762700498104095,0.2841474115848541,0.30964431166648865,0.25864288210868835,0.21780270338058472,0.13192185759544373
include,0.1535889357328415,0.28863582015037537,0.2951717972755432,0.1803218424320221,0.37431180477142334,0.2951717972755432,0.10389185696840286,0.1643057018518448,0.28694382309913635,0.12789462506771088,0.14925788342952728
abc,0.1317344456911087,0.16037321090698242,0.2068762183189392,0.1380753219127655,0.14607268571853638,0.2068762183189392,0.636570394039154,0.2614424228668213,0.1697147786617279,0.28313949704170227,0.19065172970294952
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.2113150954246521,0.16054381430149078,0.19071193039417267,0.1854948252439499,0.21687158942222595,0.17052006721496582,0.1635148525238037,0.23868927359580994
&,0.11141876131296158,0.08384179323911667,0.14992168545722961,0.0724157989025116,0.19900451600551605,0.14992168545722961,0.10962686687707901,0.07999526709318161,0.1358654648065567,0.07416577637195587,0.12596383690834045
o,0.1489914506673813,0.18684464693069458,0.19071193039417267,0.2113150954246521,0.16054381430149078,0.19071193039417267,0.1854948252439499,0.21687158942222595,0.17052006721496582,0.1635148525238037,0.23868927359580994
kfsn,0.33218809962272644,0.24308905005455017,0.20129916071891785,0.17750737071037292,0.09927152842283249,0.20129916071891785,0.3819970190525055,0.37795791029930115,0.18289296329021454,0.2752843499183655,0.4466618001461029
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.18569420278072357,0.20519042015075684,0.5201468467712402,0.2561432421207428,0.31091248989105225
cbs,0.1950361132621765,0.14535778760910034,0.2283918708562851,0.16377106308937073,0.16151919960975647,0.2283918708562851,1.0,0.3508983850479126,0.17584392428398132,0.3356003165245056,0.14594407379627228
affiliate,0.16121849417686462,0.10908813774585724,0.2278994768857956,0.18809930980205536,0.19963958859443665,0.2278994768857956,0.3508983850479126,0.9999999403953552,0.2081480771303177,0.35740333795547485,0.10958297550678253
kgpe,0.04070290923118591,0.15002232789993286,0.12570016086101532,0.19081953167915344,0.1830533891916275,0.12570016086101532,0.23343980312347412,0.1545918583869934,0.18709193170070648,0.30511486530303955,0.16569018363952637
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.18569420278072357,0.20519042015075684,0.5201468467712402,0.2561432421207428,0.31091248989105225
cw,0.15465638041496277,0.1595073789358139,0.2156287580728531,0.21128958463668823,0.1313169300556183,0.2156287580728531,0.46840527653694153,0.36068111658096313,0.1490451544523239,0.24920684099197388,0.206682950258255
affiliate,0.16121849417686462,0.10908813774585724,0.2278994768857956,0.18809930980205536,0.19963958859443665,0.2278994768857956,0.3508983850479126,0.9999999403953552,0.2081480771303177,0.35740333795547485,0.10958297550678253
kfre,0.35177916288375854,0.34374192357063293,0.3055811822414398,0.2095167487859726,0.24395079910755157,0.3055811822414398,0.25563251972198486,0.20684006810188293,0.31704145669937134,0.34172362089157104,0.4252963960170746
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.18569420278072357,0.20519042015075684,0.5201468467712402,0.2561432421207428,0.31091248989105225
fox,0.16651637852191925,0.16790051758289337,0.24760441482067108,0.09461809694766998,0.13095848262310028,0.24760441482067108,0.45025357604026794,0.2543179392814636,0.22528515756130219,0.17610642313957214,0.1670110523700714
affiliate,0.16121849417686462,0.10908813774585724,0.2278994768857956,0.18809930980205536,0.19963958859443665,0.2278994768857956,0.3508983850479126,0.9999999403953552,0.2081480771303177,0.35740333795547485,0.10958297550678253
kmph,0.31598395109176636,0.2567707300186157,0.28248727321624756,0.17887486517429352,0.26873254776000977,0.28248727321624756,0.18689675629138947,0.184177964925766,0.21918794512748718,0.2597353756427765,0.24552498757839203
