,what,conditions,must,be,met,for,a,prescription,for,a,controlled,substance,to,be,valid,?
[,0.010752761736512184,0.06530774384737015,0.021336713805794716,0.02023543231189251,0.1580328345298767,0.10575617104768753,0.03893941268324852,0.03212975338101387,0.10575617104768753,0.03893941268324852,0.022926827892661095,-0.028800934553146362,0.07649242132902145,0.02023543231189251,-0.029419150203466415,0.011015460826456547
citation,0.26448965072631836,0.1639198660850525,0.2634182274341583,0.3005395233631134,0.10164336860179901,0.2762897312641144,0.24621744453907013,0.30565759539604187,0.2762897312641144,0.24621744453907013,0.06171031296253204,0.18866413831710815,0.2558228075504303,0.3005395233631134,0.32996100187301636,0.3382055461406708
needed,0.3631289601325989,0.3033490478992462,0.43420615792274475,0.44150373339653015,0.19599327445030212,0.38127243518829346,0.2915569543838501,0.3513709008693695,0.38127243518829346,0.2915569543838501,0.28072360157966614,0.2910369634628296,0.45002421736717224,0.44150373339653015,0.3909003436565399,0.2863257825374603
],-0.03775298595428467,-0.11442025750875473,0.09150555729866028,-0.0038522027898579836,-0.017486119642853737,-0.023346275091171265,-0.049516137689352036,-0.020173288881778717,-0.023346275091171265,-0.049516137689352036,0.11714577674865723,-2.222671355411876e-05,-0.04249158129096031,-0.0038522027898579836,0.07365494966506958,-0.0022520492784678936
in,0.30808621644973755,0.2580132484436035,0.18276341259479523,0.3481820821762085,0.23768870532512665,0.4322226941585541,0.539380669593811,0.173431396484375,0.4322226941585541,0.539380669593811,0.2597082853317261,0.23259401321411133,0.45010748505592346,0.3481820821762085,0.14782947301864624,0.20430970191955566
the,0.42745697498321533,0.2622014284133911,0.2713140547275543,0.4248143136501312,0.2303115278482437,0.4739971458911896,0.5829201340675354,0.1905282735824585,0.4739971458911896,0.5829201340675354,0.3320712745189667,0.27041906118392944,0.535392165184021,0.4248143136501312,0.22185127437114716,0.22068053483963013
united,0.20036718249320984,0.143827885389328,0.16656838357448578,0.20382754504680634,0.17420080304145813,0.30487096309661865,0.2732578217983246,0.21997572481632233,0.30487096309661865,0.2732578217983246,0.1593356877565384,0.1636503040790558,0.2715383470058441,0.20382754504680634,0.16467852890491486,0.17266890406608582
states,0.21526020765304565,0.1891506314277649,0.1928483098745346,0.24637973308563232,0.15830253064632416,0.2496437132358551,0.24708621203899384,0.23933365941047668,0.2496437132358551,0.24708621203899384,0.21431362628936768,0.20641973614692688,0.2828785181045532,0.24637973308563232,0.1866045594215393,0.16272737085819244
",",0.3087472915649414,0.17239321768283844,0.2231246829032898,0.39254459738731384,0.2948285937309265,0.4464869201183319,0.427140474319458,0.20243588089942932,0.4464869201183319,0.427140474319458,0.20886175334453583,0.21864232420921326,0.44245919585227966,0.39254459738731384,0.24272039532661438,0.31091248989105225
in,0.30808621644973755,0.2580132484436035,0.18276341259479523,0.3481820821762085,0.23768870532512665,0.4322226941585541,0.539380669593811,0.173431396484375,0.4322226941585541,0.539380669593811,0.2597082853317261,0.23259401321411133,0.45010748505592346,0.3481820821762085,0.14782947301864624,0.20430970191955566
order,0.16634008288383484,0.1719450205564499,0.3490719795227051,0.23933173716068268,0.09817913919687271,0.16561681032180786,0.24138490855693817,0.23195110261440277,0.16561681032180786,0.24138490855693817,0.13542775809764862,0.13471028208732605,0.35544881224632263,0.23933173716068268,0.2000628113746643,0.13725648820400238
for,0.3017193675041199,0.27253004908561707,0.31100544333457947,0.3801851272583008,0.276699960231781,0.9999999403953552,0.44038116931915283,0.23479855060577393,0.9999999403953552,0.44038116931915283,0.1490403413772583,0.2509743869304657,0.4451248347759247,0.3801851272583008,0.2891303300857544,0.264628142118454
a,0.3320399522781372,0.24847128987312317,0.3016769587993622,0.39883795380592346,0.15796485543251038,0.44038116931915283,1.0,0.2770058512687683,0.44038116931915283,1.0,0.22610771656036377,0.3087996542453766,0.45503583550453186,0.39883795380592346,0.24365109205245972,0.23916715383529663
prescription,0.2773992717266083,0.37935808300971985,0.27225834131240845,0.2915494441986084,0.12360738962888718,0.23479855060577393,0.2770058512687683,1.0000001192092896,0.23479855060577393,0.2770058512687683,0.2344895899295807,0.4286312758922577,0.29442161321640015,0.2915494441986084,0.33520302176475525,0.1977909505367279
for,0.3017193675041199,0.27253004908561707,0.31100544333457947,0.3801851272583008,0.276699960231781,0.9999999403953552,0.44038116931915283,0.23479855060577393,0.9999999403953552,0.44038116931915283,0.1490403413772583,0.2509743869304657,0.4451248347759247,0.3801851272583008,0.2891303300857544,0.264628142118454
a,0.3320399522781372,0.24847128987312317,0.3016769587993622,0.39883795380592346,0.15796485543251038,0.44038116931915283,1.0,0.2770058512687683,0.44038116931915283,1.0,0.22610771656036377,0.3087996542453766,0.45503583550453186,0.39883795380592346,0.24365109205245972,0.23916715383529663
controlled,0.24713590741157532,0.2445707619190216,0.21840202808380127,0.22525933384895325,0.10930000990629196,0.1490403413772583,0.22610771656036377,0.2344895899295807,0.1490403413772583,0.22610771656036377,1.0,0.2575414478778839,0.20715226233005524,0.22525933384895325,0.16305138170719147,0.1105743944644928
substance,0.2803279459476471,0.32137903571128845,0.27929770946502686,0.37529927492141724,0.0619826503098011,0.2509743869304657,0.3087996542453766,0.4286312758922577,0.2509743869304657,0.3087996542453766,0.2575414478778839,1.0,0.26625680923461914,0.37529927492141724,0.22557997703552246,0.2033585160970688
to,0.455847829580307,0.2756218910217285,0.43356871604919434,0.4972836375236511,0.22639073431491852,0.4451248347759247,0.45503583550453186,0.29442161321640015,0.4451248347759247,0.45503583550453186,0.20715226233005524,0.26625680923461914,1.0,0.4972836375236511,0.2631414234638214,0.29463258385658264
be,0.3929833769798279,0.328298419713974,0.4737209677696228,1.0,0.14667342603206635,0.3801851272583008,0.39883795380592346,0.2915494441986084,0.3801851272583008,0.39883795380592346,0.22525933384895325,0.37529927492141724,0.4972836375236511,1.0,0.3214661478996277,0.3324260413646698
valid,0.30313223600387573,0.2707034647464752,0.3544631600379944,0.3214661478996277,0.16671811044216156,0.2891303300857544,0.24365109205245972,0.33520302176475525,0.2891303300857544,0.24365109205245972,0.16305138170719147,0.22557997703552246,0.2631414234638214,0.3214661478996277,1.0,0.27800852060317993
",",0.3087472915649414,0.17239321768283844,0.2231246829032898,0.39254459738731384,0.2948285937309265,0.4464869201183319,0.427140474319458,0.20243588089942932,0.4464869201183319,0.427140474319458,0.20886175334453583,0.21864232420921326,0.44245919585227966,0.39254459738731384,0.24272039532661438,0.31091248989105225
it,0.45803478360176086,0.24502263963222504,0.17906725406646729,0.5203388929367065,0.10671036690473557,0.32171204686164856,0.5452592968940735,0.280383825302124,0.32171204686164856,0.5452592968940735,0.20507390797138214,0.34216439723968506,0.513711154460907,0.5203388929367065,0.17187722027301788,0.25732165575027466
must,0.30362528562545776,0.2918701767921448,1.0,0.4737209677696228,0.21326644718647003,0.31100544333457947,0.3016769587993622,0.27225834131240845,0.31100544333457947,0.3016769587993622,0.21840202808380127,0.27929770946502686,0.43356871604919434,0.4737209677696228,0.3544631600379944,0.23707495629787445
