,according,to,the,nobel,foundation,what,has,to,happen,before,someone,can,decline,a,prize,?
:245,0.06034258380532265,-0.08667393028736115,0.027225468307733536,0.10187361389398575,0.06301415711641312,-0.10324085503816605,-0.04590592160820961,-0.08667393028736115,-0.21352694928646088,0.008529722690582275,-0.1473989188671112,-0.23725831508636475,-0.012917709536850452,-0.07093654572963715,0.04947676509618759,-0.0019740539137274027
the,0.3202974498271942,0.535392165184021,1.0,0.1909446120262146,0.23942872881889343,0.42745697498321533,0.4177538752555847,0.535392165184021,0.2880464494228363,0.45900648832321167,0.2575405538082123,0.312528520822525,0.2774365544319153,0.5829201340675354,0.18969248235225677,0.22068053483963013
nobel,0.14703601598739624,0.15889747440814972,0.1909446120262146,1.0,0.3038499355316162,0.20388969779014587,0.1386772245168686,0.15889747440814972,0.20630815625190735,0.14439934492111206,0.17190159857273102,0.13431595265865326,0.0838455781340599,0.17441873252391815,0.8436678051948547,0.15008176863193512
foundation,0.21405358612537384,0.20144611597061157,0.23942872881889343,0.3038499355316162,1.0000001192092896,0.19225969910621643,0.14889705181121826,0.20144611597061157,0.12685875594615936,0.13418205082416534,0.16291747987270355,0.1469116061925888,0.18311038613319397,0.18916189670562744,0.31362810730934143,0.1791457086801529
said,0.41748329997062683,0.34274402260780334,0.3024602234363556,0.22553792595863342,0.20144599676132202,0.3951668441295624,0.262355774641037,0.34274402260780334,0.3235124945640564,0.3224467635154724,0.3094611167907715,0.24297991394996643,0.16514275968074799,0.31069710850715637,0.21869288384914398,0.28991883993148804
",",0.3107093870639801,0.44245919585227966,0.4933079481124878,0.29036787152290344,0.21837306022644043,0.3087472915649414,0.3734780251979828,0.44245919585227966,0.25441640615463257,0.3156566619873047,0.23755213618278503,0.3139454126358032,0.26546189188957214,0.427140474319458,0.28670501708984375,0.31091248989105225
``,0.008405309170484543,0.06720756739377975,0.029072100296616554,0.07070272415876389,-0.11778474599123001,0.008517155423760414,0.06254398077726364,0.06720756739377975,0.03577263653278351,0.0842912346124649,0.08897601813077927,0.12428006529808044,0.09821468591690063,0.07272057235240936,0.05278487503528595,0.0685480609536171
any,0.16256706416606903,0.46410247683525085,0.4525727927684784,0.17722132802009583,0.20195481181144714,0.43670421838760376,0.3449929356575012,0.46410247683525085,0.37999701499938965,0.33931565284729004,0.4794093072414398,0.5010802745819092,0.20587308704853058,0.45031747221946716,0.17222774028778076,0.4113408327102661
rumor,0.1821502447128296,0.23599737882614136,0.19854049384593964,0.13015435636043549,0.1579083502292633,0.26104360818862915,0.21242941915988922,0.23599737882614136,0.17874707281589508,0.275869756937027,0.2732155919075012,0.09477322548627853,0.17531000077724457,0.26303011178970337,0.12434355169534683,0.1855040043592453
that,0.29146862030029297,0.5436353087425232,0.5473989248275757,0.20385654270648956,0.23472844064235687,0.6297725439071655,0.41272613406181335,0.5436353087425232,0.45222777128219604,0.40745505690574646,0.47597742080688477,0.4522190988063812,0.2880564332008362,0.47537946701049805,0.18004201352596283,0.32716336846351624
