,when,did,tesla,go,to,tomingaj,?
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.22233200073242188,0.45010748505592346,0.2700164318084717,0.20430970191955566
1874,0.13270780444145203,0.1448199450969696,0.18908177316188812,0.19597074389457703,0.16703231632709503,0.3858950138092041,0.15952123701572418
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.44245919585227966,0.37768206000328064,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.07152407616376877,0.17548894882202148,0.2568499743938446,0.10250775516033173
evaded,0.2900082468986511,0.2994097173213959,0.11831095069646835,0.20831894874572754,0.29878151416778564,0.14824123680591583,0.29822131991386414
being,0.47212454676628113,0.27905046939849854,0.13586261868476868,0.18820080161094666,0.4514104127883911,0.22689186036586761,0.26743772625923157
drafted,0.20070748031139374,0.27433860301971436,0.10320170223712921,0.12374301254749298,0.17979004979133606,0.14840371906757355,0.14424492418766022
into,0.389646977186203,0.14888085424900055,0.13143925368785858,0.25681307911872864,0.38810545206069946,0.12991595268249512,0.15662476420402527
the,0.5091903209686279,0.34736719727516174,0.1324402391910553,0.29801803827285767,0.535392165184021,0.2797015905380249,0.22068053483963013
austro-hungarian,0.1303080916404724,0.18044304847717285,0.30650296807289124,0.08220396935939789,0.1538388729095459,0.43425923585891724,0.16446684300899506
army,0.2435331642627716,0.21148359775543213,0.12703821063041687,0.15382252633571625,0.22938482463359833,0.22279873490333557,0.180583193898201
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.22233200073242188,0.45010748505592346,0.2700164318084717,0.20430970191955566
smiljan,0.24838706851005554,0.17979542911052704,0.3143247961997986,0.1651320457458496,0.20419716835021973,0.34467583894729614,0.2793274521827698
by,0.4376842677593231,0.18574509024620056,0.16513796150684357,0.1252865046262741,0.33534231781959534,0.1625627875328064,0.17966607213020325
running,0.25263121724128723,0.23744943737983704,0.13063423335552216,0.2757730782032013,0.23381315171718597,0.20791570842266083,0.15679655969142914
away,0.38308146595954895,0.2167721837759018,0.09422557801008224,0.34343889355659485,0.36056286096572876,0.20237821340560913,0.15156377851963043
to,0.5423505902290344,0.4452643394470215,0.17548894882202148,0.384844571352005,1.0,0.22044764459133148,0.29463258385658264
tomingaj,0.13473615050315857,0.17888304591178894,0.2568499743938446,0.20928418636322021,0.22044764459133148,1.0,0.21797217428684235
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.44245919585227966,0.37768206000328064,0.31091248989105225
near,0.2606486976146698,0.08748484402894974,0.08963809162378311,0.12512046098709106,0.2456841915845871,0.21042488515377045,0.10734958201646805
gračac,0.20644772052764893,0.1253034919500351,0.24164746701717377,0.14484556019306183,0.1991540789604187,0.2654787302017212,0.16939541697502136
.,0.475719153881073,0.35288307070732117,0.17949827015399933,0.3313661813735962,0.4645031690597534,0.3241021931171417,0.4130953550338745
