,why,did,al-qaeda,tell,isil,to,take,a,hike,?
originating,0.17051327228546143,0.16153547167778015,0.14252938330173492,0.18694323301315308,0.20952606201171875,0.29921507835388184,0.17154759168624878,0.28980782628059387,0.17089611291885376,0.1133110523223877
as,0.3103298544883728,0.3596470057964325,0.1676618605852127,0.26471200585365295,0.2537670135498047,0.42092081904411316,0.26337623596191406,0.39550232887268066,0.128127783536911,0.27043893933296204
the,0.30742117762565613,0.34736719727516174,0.24044957756996155,0.3124232590198517,0.32370734214782715,0.535392165184021,0.31620436906814575,0.5829201340675354,0.20464804768562317,0.22068053483963013
jama'at,0.19572333991527557,0.22050119936466217,0.3516131043434143,0.1743602305650711,0.36520323157310486,0.2093401998281479,0.1998099535703659,0.27266329526901245,0.23199936747550964,0.2109089344739914
al-tawhid,0.3672386109828949,0.3178669810295105,0.46605026721954346,0.30642610788345337,0.3837605118751526,0.31621378660202026,0.24838685989379883,0.34181174635887146,0.23161467909812927,0.39677947759628296
wal-jihad,0.20865313708782196,0.22958853840827942,0.5428434610366821,0.1764432042837143,0.5614559054374695,0.232466459274292,0.22968964278697968,0.2957996428012848,0.19256092607975006,0.22138552367687225
in,0.23227278888225555,0.2593238651752472,0.18540461361408234,0.20067040622234344,0.22452087700366974,0.45010748505592346,0.21975718438625336,0.539380669593811,0.19686806201934814,0.20430970191955566
1999,0.03273749351501465,0.08004042506217957,0.10939542204141617,0.06397692859172821,0.18774457275867462,0.03205801546573639,0.040630243718624115,0.01720399782061577,-0.04637397080659866,0.05416720360517502
",",0.2827242314815521,0.3015086054801941,0.24820753931999207,0.29178953170776367,0.26200172305107117,0.44245919585227966,0.2881867289543152,0.427140474319458,0.17000345885753632,0.31091248989105225
it,0.376611590385437,0.2993364930152893,0.12332122772932053,0.2882797420024872,0.19233690202236176,0.513711154460907,0.27032700181007385,0.5452592968940735,0.2114286720752716,0.25732165575027466
pledged,0.17305155098438263,0.29594528675079346,0.29763200879096985,0.16580499708652496,0.3255492150783539,0.26786842942237854,0.22378724813461304,0.2166944444179535,0.15248066186904907,0.18698956072330475
allegiance,0.13614964485168457,0.23339742422103882,0.24579912424087524,0.1886073797941208,0.279909610748291,0.23390747606754303,0.20814672112464905,0.18146932125091553,0.13059139251708984,0.10591092705726624
to,0.4100138247013092,0.4452643394470215,0.243631973862648,0.3557203412055969,0.20913398265838623,1.0,0.4075521230697632,0.45503583550453186,0.2563929557800293,0.29463258385658264
al-qaeda,0.19908295571804047,0.18361106514930725,0.9999999403953552,0.1784115731716156,0.487177312374115,0.243631973862648,0.2182922661304474,0.24271878600120544,0.18177415430545807,0.1877317875623703
in,0.23227278888225555,0.2593238651752472,0.18540461361408234,0.20067040622234344,0.22452087700366974,0.45010748505592346,0.21975718438625336,0.539380669593811,0.19686806201934814,0.20430970191955566
2004,-0.2488832026720047,-0.11159943789243698,-0.04389890655875206,-0.16685988008975983,-0.08957777172327042,-0.3218703269958496,-0.22032640874385834,-0.21492190659046173,-0.20095022022724152,-0.15923042595386505
",",0.2827242314815521,0.3015086054801941,0.24820753931999207,0.29178953170776367,0.26200172305107117,0.44245919585227966,0.2881867289543152,0.427140474319458,0.17000345885753632,0.31091248989105225
participated,0.17958882451057434,0.2765139937400818,0.25244930386543274,0.15704260766506195,0.2657480537891388,0.2061363309621811,0.23786750435829163,0.18594463169574738,0.14046300947666168,0.11681767553091049
in,0.23227278888225555,0.2593238651752472,0.18540461361408234,0.20067040622234344,0.22452087700366974,0.45010748505592346,0.21975718438625336,0.539380669593811,0.19686806201934814,0.20430970191955566
the,0.30742117762565613,0.34736719727516174,0.24044957756996155,0.3124232590198517,0.32370734214782715,0.535392165184021,0.31620436906814575,0.5829201340675354,0.20464804768562317,0.22068053483963013
iraqi,0.1367911398410797,0.15640580654144287,0.4229657053947449,0.15742777287960052,0.5246331691741943,0.14708885550498962,0.13934366405010223,0.24065756797790527,0.029650043696165085,0.16671344637870789
insurgency,0.1307787299156189,0.19741657376289368,0.37992584705352783,0.11443991959095001,0.4841003119945526,0.20229141414165497,0.1507536619901657,0.23478899896144867,0.16650764644145966,0.11632584035396576
that,0.5601457357406616,0.47518548369407654,0.2736676037311554,0.40882083773612976,0.24527496099472046,0.5436353087425232,0.3651382029056549,0.47537946701049805,0.21375080943107605,0.32716336846351624
followed,0.21311239898204803,0.2675115466117859,0.14164739847183228,0.13912299275398254,0.24778085947036743,0.23444271087646484,0.26372379064559937,0.2840714454650879,0.11644946783781052,0.20567169785499573
the,0.30742117762565613,0.34736719727516174,0.24044957756996155,0.3124232590198517,0.32370734214782715,0.535392165184021,0.31620436906814575,0.5829201340675354,0.20464804768562317,0.22068053483963013
march,0.18702223896980286,0.27992504835128784,0.23852400481700897,0.16400852799415588,0.20834046602249146,0.2274535447359085,0.161266028881073,0.23374363780021667,0.06509869545698166,0.2802562415599823
2003,-0.20915715396404266,-0.1555103063583374,-0.11745160818099976,-0.09757044911384583,-0.21878007054328918,-0.1959497481584549,-0.18570412695407867,-0.15682265162467957,-0.09604307264089584,-0.17560148239135742
invasion,0.21419154107570648,0.1800924837589264,0.30123427510261536,0.11482246965169907,0.3870678246021271,0.2535645365715027,0.2487204372882843,0.15414467453956604,0.13924606144428253,0.18923960626125336
of,0.28464117646217346,0.2513895630836487,0.2458120435476303,0.2505677044391632,0.28227677941322327,0.41548454761505127,0.29282352328300476,0.5052502155303955,0.13279922306537628,0.1826142966747284
iraq,0.16868874430656433,0.17306172847747803,0.4509291350841522,0.14945350587368011,0.5439139008522034,0.18802489340305328,0.14280001819133759,0.19861188530921936,0.06940613687038422,0.13788843154907227
by,0.19170543551445007,0.18574509024620056,0.21088847517967224,0.2655458450317383,0.27227139472961426,0.33534231781959534,0.1697900891304016,0.32094135880470276,0.10306776314973831,0.17966607213020325
western,0.10176598280668259,0.15773870050907135,0.1397458016872406,0.10142219066619873,0.22795885801315308,0.18838192522525787,0.08009413629770279,0.21111781895160675,0.12481643259525299,0.17439141869544983
forces,0.15960682928562164,0.13164828717708588,0.32322177290916443,0.15186208486557007,0.37241923809051514,0.2581802308559418,0.18487201631069183,0.17848460376262665,0.12718665599822998,0.16984491050243378
",",0.2827242314815521,0.3015086054801941,0.24820753931999207,0.29178953170776367,0.26200172305107117,0.44245919585227966,0.2881867289543152,0.427140474319458,0.17000345885753632,0.31091248989105225
joined,0.12598705291748047,0.2579648792743683,0.15740211308002472,0.12861818075180054,0.19859550893306732,0.18175388872623444,0.14950191974639893,0.17133650183677673,0.03216611593961716,0.06566751003265381
the,0.30742117762565613,0.34736719727516174,0.24044957756996155,0.3124232590198517,0.32370734214782715,0.535392165184021,0.31620436906814575,0.5829201340675354,0.20464804768562317,0.22068053483963013
fight,0.28095516562461853,0.32103484869003296,0.27859270572662354,0.32803067564964294,0.2951687276363373,0.3154832720756531,0.32275164127349854,0.23406942188739777,0.15049293637275696,0.16463038325309753
in,0.23227278888225555,0.2593238651752472,0.18540461361408234,0.20067040622234344,0.22452087700366974,0.45010748505592346,0.21975718438625336,0.539380669593811,0.19686806201934814,0.20430970191955566
the,0.30742117762565613,0.34736719727516174,0.24044957756996155,0.3124232590198517,0.32370734214782715,0.535392165184021,0.31620436906814575,0.5829201340675354,0.20464804768562317,0.22068053483963013
syrian,0.0991598591208458,0.13533952832221985,0.3175733685493469,0.14015288650989532,0.46515336632728577,0.143992617726326,0.1511915922164917,0.21663127839565277,0.0334756001830101,0.11978482455015182
civil,0.14097142219543457,0.17288750410079956,0.1956653743982315,0.1134091392159462,0.2860581576824188,0.2019355595111847,0.1342654526233673,0.21693918108940125,0.09037136286497116,0.1494513899087906
