,why,was,there,a,depreciation,of,the,industrialized,nations,dollars,?
anticipating,0.24122962355613708,0.22975191473960876,0.2749370336532593,0.2752250134944916,0.30471038818359375,0.2710530459880829,0.32019659876823425,0.33013206720352173,0.3290095329284668,0.25499624013900757,0.21165360510349274
that,0.5601457357406616,0.33670201897621155,0.6006520986557007,0.47537946701049805,0.29677751660346985,0.41498205065727234,0.5473989248275757,0.23729194700717926,0.23122698068618774,0.28983306884765625,0.32716336846351624
currency,0.16393721103668213,0.14967060089111328,0.16913028061389923,0.15596960484981537,0.24272851645946503,0.16703930497169495,0.20077890157699585,0.26087623834609985,0.31040146946907043,0.46223071217536926,0.15155024826526642
values,0.24030326306819916,0.1286422163248062,0.18684276938438416,0.24416771531105042,0.3090294599533081,0.21286797523498535,0.23992402851581573,0.16176609694957733,0.20351189374923706,0.1972014456987381,0.23432563245296478
would,0.4549354612827301,0.41663143038749695,0.33190950751304626,0.398599237203598,0.24836869537830353,0.3353942930698395,0.4133751392364502,0.19170527160167694,0.2402927726507187,0.24568399786949158,0.37178951501846313
fluctuate,0.2623099088668823,0.12569129467010498,0.3037375211715698,0.26851221919059753,0.30567532777786255,0.29747283458709717,0.3235619068145752,0.33819398283958435,0.23368540406227112,0.24836355447769165,0.13192377984523773
unpredictably,0.2286718189716339,0.15288478136062622,0.15778794884681702,0.25936123728752136,0.2956554889678955,0.23859216272830963,0.24331244826316833,0.23917347192764282,0.1780676245689392,0.1389390081167221,0.13773591816425323
for,0.3869043290615082,0.3863949179649353,0.3728419542312622,0.44038116931915283,0.3224341869354248,0.4185989499092102,0.4739971458911896,0.23118259012699127,0.2684409022331238,0.24730023741722107,0.264628142118454
a,0.2667238116264343,0.4508470594882965,0.4214206337928772,1.0,0.2162998914718628,0.5052502155303955,0.5829201340675354,0.25638556480407715,0.1973731815814972,0.18306249380111694,0.23916715383529663
time,0.3247860372066498,0.3641340136528015,0.3047161102294922,0.3292340338230133,0.2602969706058502,0.35127586126327515,0.43061500787734985,0.1871640682220459,0.25495025515556335,0.20862427353858948,0.27391523122787476
",",0.2827242314815521,0.45456063747406006,0.4587128460407257,0.427140474319458,0.23731209337711334,0.4946078956127167,0.4933079481124878,0.3172111213207245,0.24394330382347107,0.22633887827396393,0.31091248989105225
the,0.30742117762565613,0.48711544275283813,0.47025805711746216,0.5829201340675354,0.20361708104610443,0.733189046382904,1.0,0.30628761649131775,0.3506215214729309,0.2665082812309265,0.22068053483963013
industrialized,0.18029999732971191,0.3069969713687897,0.20775002241134644,0.25638556480407715,0.2617813050746918,0.30613189935684204,0.30628761649131775,1.0000001192092896,0.2869352102279663,0.22681444883346558,0.07084181904792786
nations,0.1802302747964859,0.2097785323858261,0.19052395224571228,0.1973731815814972,0.27192559838294983,0.27521562576293945,0.3506215214729309,0.2869352102279663,0.9999998807907104,0.20626917481422424,0.20999202132225037
increased,0.1506301611661911,0.23245969414710999,0.24919840693473816,0.22370080649852753,0.23388515412807465,0.3371390700340271,0.3188653886318207,0.3483363389968872,0.2566695809364319,0.23358216881752014,0.09587585180997849
their,0.2619993984699249,0.2396296262741089,0.3165968358516693,0.29698723554611206,0.2319982945919037,0.4329940676689148,0.516537070274353,0.25206562876701355,0.2184963822364807,0.20960958302021027,0.1898253709077835
reserves,0.20141912996768951,0.18870507180690765,0.2618570625782013,0.21874254941940308,0.2083500176668167,0.2623094618320465,0.2742844521999359,0.27961936593055725,0.32878533005714417,0.24433618783950806,0.09854976832866669
(,0.23387731611728668,0.2980341613292694,0.22351126372814178,0.3206180930137634,0.22929103672504425,0.35032153129577637,0.33289089798927307,0.16832268238067627,0.1841966062784195,0.12068589776754379,0.40561532974243164
by,0.19170543551445007,0.4752357602119446,0.20383623242378235,0.32094135880470276,0.15333771705627441,0.3646814823150635,0.4408751428127289,0.2767789363861084,0.18318814039230347,0.18719065189361572,0.17966607213020325
expanding,0.2596442699432373,0.2185443788766861,0.27901244163513184,0.2764478623867035,0.32773062586784363,0.2904873490333557,0.3361387550830841,0.3164903521537781,0.2745437026023865,0.17160841822624207,0.23633244633674622
their,0.2619993984699249,0.2396296262741089,0.3165968358516693,0.29698723554611206,0.2319982945919037,0.4329940676689148,0.516537070274353,0.25206562876701355,0.2184963822364807,0.20960958302021027,0.1898253709077835
money,0.2483239769935608,0.26597723364830017,0.2350270301103592,0.2777978479862213,0.2372712939977646,0.23114095628261566,0.2699695825576782,0.30518531799316406,0.2104099690914154,0.503920316696167,0.2069680541753769
supplies,0.1914205551147461,0.2477492392063141,0.2867746651172638,0.2058967798948288,0.16579954326152802,0.24392101168632507,0.31027752161026,0.3386746346950531,0.2720682621002197,0.2774861752986908,0.08799431473016739
),0.25356316566467285,0.3267642855644226,0.24042794108390808,0.3640355169773102,0.24737058579921722,0.3680361211299896,0.3456730246543884,0.18008749186992645,0.1730961948633194,0.1302817463874817,0.42300865054130554
in,0.23227278888225555,0.45514053106307983,0.5361666083335876,0.539380669593811,0.20896035432815552,0.5696388483047485,0.6662389636039734,0.33441880345344543,0.259304404258728,0.21489819884300232,0.20430970191955566
amounts,0.27225637435913086,0.13879379630088806,0.27316442131996155,0.3184053301811218,0.2908591628074646,0.25878721475601196,0.2816965878009796,0.2807799279689789,0.2203277200460434,0.3380405008792877,0.1591416597366333
far,0.3096095025539398,0.24026422202587128,0.3121122121810913,0.21638330817222595,0.24767550826072693,0.3005201518535614,0.38564538955688477,0.22337564826011658,0.23854045569896698,0.10366912186145782,0.2170870453119278
greater,0.1395755410194397,0.1568739414215088,0.23510071635246277,0.20286329090595245,0.20930899679660797,0.34470728039741516,0.2814446687698364,0.20664535462856293,0.1924871951341629,0.009872185066342354,0.09723397344350815
than,0.30495476722717285,0.1872616857290268,0.4433900713920593,0.3126874566078186,0.23393914103507996,0.33036211133003235,0.3227543234825134,0.2227376252412796,0.16992251574993134,0.273632287979126,0.24917294085025787
before,0.32499244809150696,0.38607707619667053,0.29779794812202454,0.3583870828151703,0.19533570110797882,0.3282964527606964,0.45900648832321167,0.20873026549816132,0.21960537135601044,0.23579706251621246,0.2507109045982361
.,0.32909876108169556,0.40146201848983765,0.43897318840026855,0.50484299659729,0.27460184693336487,0.5352458953857422,0.5934505462646484,0.28179144859313965,0.2933122515678406,0.2418067753314972,0.4130953550338745
